┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬────────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd  │  sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼────────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 14000 │ 14000 │ 14000 │ 14000 │ 100 │ 1400000 │    100    │   100   │ 1400000  │ 1400000  │ 1678439100000 │ '2023-03-10T09:05:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 184.6 │ 192.3 │ 7.7 │ 13  │   0   │     0     │  2580000   │ 2645384.6  │     0     │       0       │      0      │      0      │   -0   │      │          │     │      │          │     │
│    1    │ 13900 │ 13900 │ 13900 │ 13900 │     │         │    300    │   200   │ 2780000  │ 4180000  │ 1678441500000 │ '2023-03-10T09:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 184.6 │ 192.3 │ 7.7 │     │ -200  │ -2780000  │  2580000   │ 2645384.6  │   -200    │   -2780000    │      0      │   2780000   │  42.5  │ 200  │ 2780000  │  1  │      │          │     │
│    2    │ 14000 │ 14000 │ 14000 │ 14000 │     │         │   1300    │  1000   │ 14000000 │ 18180000 │ 1678442700000 │ '2023-03-10T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 184.6 │ 192.3 │ 7.7 │     │ 1000  │ 14000000  │  2580000   │ 2645384.6  │    800    │   11220000    │  14000000   │   2780000   │ -214.1 │      │          │     │ 1000 │ 14000000 │ 5.4 │
│    3    │ 14000 │ 14000 │ 14000 │ 14000 │     │         │   1500    │   200   │ 2800000  │ 20980000 │ 1678443300000 │ '2023-03-10T10:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 184.6 │ 192.3 │ 7.7 │     │  200  │  2800000  │  2580000   │ 2645384.6  │   1000    │   14020000    │  16800000   │   2780000   │ -42.8  │      │          │     │ 200  │ 2800000  │ 1.1 │
│    4    │ 14000 │ 14000 │ 14000 │ 14000 │     │         │   1900    │   400   │ 5600000  │ 26580000 │ 1678443900000 │ '2023-03-10T10:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 184.6 │ 192.3 │ 7.7 │     │  400  │  5600000  │  2580000   │ 2645384.6  │   1400    │   19620000    │  22400000   │   2780000   │ -85.6  │      │          │     │ 400  │ 5600000  │ 2.2 │
│    5    │ 14000 │ 14000 │ 14000 │ 14000 │     │         │   2100    │   200   │ 2800000  │ 29380000 │ 1678445400000 │ '2023-03-10T10:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 184.6 │ 192.3 │ 7.7 │     │  200  │  2800000  │  2580000   │ 2645384.6  │   1600    │   22420000    │  25200000   │   2780000   │ -42.8  │      │          │     │ 200  │ 2800000  │ 1.1 │
│    6    │ 13900 │ 13900 │ 13900 │ 13900 │     │         │   2300    │   200   │ 2780000  │ 32160000 │ 1678446000000 │ '2023-03-10T11:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 184.6 │ 192.3 │ 7.7 │     │ -200  │ -2780000  │  2580000   │ 2645384.6  │   1400    │   19640000    │  25200000   │   5560000   │  42.5  │ 200  │ 2780000  │  1  │      │          │     │
│    7    │ 13700 │ 13700 │ 13700 │ 13700 │     │         │   4100    │  1800   │ 24660000 │ 56820000 │ 1678453500000 │ '2023-03-10T13:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 184.6 │ 192.3 │ 7.7 │     │ -1800 │ -24660000 │  2580000   │ 2645384.6  │   -400    │   -5020000    │  25200000   │  30220000   │ 377.2  │ 1800 │ 24660000 │ 9.4 │      │          │     │
│    8    │ 13900 │ 13900 │ 13900 │ 13900 │     │         │   4200    │   100   │ 1390000  │ 58210000 │ 1678454100000 │ '2023-03-10T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 184.6 │ 192.3 │ 7.7 │     │  100  │  1390000  │  2580000   │ 2645384.6  │   -300    │   -3630000    │  26590000   │  30220000   │ -21.3  │      │          │     │ 100  │ 1390000  │ 0.5 │
│    9    │ 13900 │ 13900 │ 13900 │ 13900 │     │         │   4300    │   100   │ 1390000  │ 59600000 │ 1678455900000 │ '2023-03-10T13:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 184.6 │ 192.3 │ 7.7 │     │ -100  │ -1390000  │  2580000   │ 2645384.6  │   -400    │   -5020000    │  26590000   │  31610000   │  21.3  │ 100  │ 1390000  │ 0.5 │      │          │     │
│   10    │ 13900 │ 13900 │ 13900 │ 13900 │     │         │   4400    │   100   │ 1390000  │ 60990000 │ 1678457100000 │ '2023-03-10T14:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 184.6 │ 192.3 │ 7.7 │     │ -100  │ -1390000  │  2580000   │ 2645384.6  │   -500    │   -6410000    │  26590000   │  33000000   │  21.3  │ 100  │ 1390000  │ 0.5 │      │          │     │
