┌─────────┬─────┬─────┬─────┬─────┬──────┬─────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │  sd  │ val_sd  │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │ asd │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │ val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼──────┼─────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼─────┤
│    0    │ 900 │ 900 │ 900 │ 900 │ 1400 │ 1260000 │   1400    │  1400   │ 1260000 │ 1260000  │ 1678439100000 │ '2023-03-10T09:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1321.4 │ 100 │  0  │ 14  │ -1400 │ -1260000  │ 1189285.7  │   90000    │   -1400   │   -1260000    │      0      │   1260000   │ -1.1  │      │         │     │
│    1    │ 900 │ 900 │ 900 │ 900 │      │         │   2500    │  1100   │ 990000  │ 2250000  │ 1678439700000 │ '2023-03-10T09:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1321.4 │ 100 │  0  │     │ 1100  │  990000   │ 1189285.7  │   90000    │   -300    │    -270000    │   990000    │   1260000   │  0.9  │ 1100 │ 990000  │ 0.8 │
│    2    │ 900 │ 900 │ 900 │ 900 │      │         │   2600    │   100   │  90000  │ 2340000  │ 1678440600000 │ '2023-03-10T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1321.4 │ 100 │  0  │     │  100  │   90000   │ 1189285.7  │   90000    │   -200    │    -180000    │   1080000   │   1260000   │  0.1  │ 100  │  90000  │ 0.1 │
│    3    │ 900 │ 900 │ 900 │ 900 │      │         │   2800    │   200   │ 180000  │ 2520000  │ 1678441200000 │ '2023-03-10T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1321.4 │ 100 │  0  │     │  200  │  180000   │ 1189285.7  │   90000    │     0     │       0       │   1260000   │   1260000   │  0.2  │ 200  │ 180000  │ 0.2 │
│    4    │ 900 │ 900 │ 900 │ 900 │      │         │   3700    │   900   │ 810000  │ 3330000  │ 1678441800000 │ '2023-03-10T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1321.4 │ 100 │  0  │     │  900  │  810000   │ 1189285.7  │   90000    │    900    │    810000     │   2070000   │   1260000   │  0.7  │ 900  │ 810000  │ 0.7 │
│    5    │ 900 │ 900 │ 900 │ 900 │      │         │   4300    │   600   │ 540000  │ 3870000  │ 1678442100000 │ '2023-03-10T09:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1321.4 │ 100 │  0  │     │  600  │  540000   │ 1189285.7  │   90000    │   1500    │    1350000    │   2610000   │   1260000   │  0.5  │ 600  │ 540000  │ 0.5 │
│    6    │ 900 │ 900 │ 900 │ 900 │      │         │   9300    │  5000   │ 4500000 │ 8370000  │ 1678444800000 │ '2023-03-10T10:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1321.4 │ 100 │  0  │     │ 5000  │  4500000  │ 1189285.7  │   90000    │   6500    │    5850000    │   7110000   │   1260000   │  4.1  │ 5000 │ 4500000 │ 3.8 │
│    7    │ 900 │ 900 │ 900 │ 900 │      │         │   10300   │  1000   │ 900000  │ 9270000  │ 1678446300000 │ '2023-03-10T11:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1321.4 │ 100 │  0  │     │ 1000  │  900000   │ 1189285.7  │   90000    │   7500    │    6750000    │   8010000   │   1260000   │  0.8  │ 1000 │ 900000  │ 0.8 │
│    8    │ 900 │ 900 │ 900 │ 900 │      │         │   10800   │   500   │ 450000  │ 9720000  │ 1678453800000 │ '2023-03-10T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1321.4 │ 100 │  0  │     │  500  │  450000   │ 1189285.7  │   90000    │   8000    │    7200000    │   8460000   │   1260000   │  0.4  │ 500  │ 450000  │ 0.4 │
│    9    │ 900 │ 900 │ 900 │ 900 │      │         │   11000   │   200   │ 180000  │ 9900000  │ 1678455000000 │ '2023-03-10T13:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1321.4 │ 100 │  0  │     │  200  │  180000   │ 1189285.7  │   90000    │   8200    │    7380000    │   8640000   │   1260000   │  0.2  │ 200  │ 180000  │ 0.2 │
│   10    │ 900 │ 900 │ 900 │ 900 │      │         │   18000   │  7000   │ 6300000 │ 16200000 │ 1678455300000 │ '2023-03-10T13:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1321.4 │ 100 │  0  │     │ 7000  │  6300000  │ 1189285.7  │   90000    │   15200   │   13680000    │  14940000   │   1260000   │  5.7  │ 7000 │ 6300000 │ 5.3 │
