┌─────────┬───────┬───────┬───────┬───────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  uk  │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │  auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 14200 │ 14200 │ 14200 │ 14200 │ 2000 │ 28400000 │   2000    │  2000   │ 28400000 │ 28400000  │ 1678439100000 │ '2023-03-10T09:05:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 344.4 │ 877.8 │ 222.2 │  9  │   0   │     0     │ 4994444.4  │ 12312222.2 │     0     │       0       │      0      │      0      │  -0   │      │          │     │      │          │     │
│    1    │ 14000 │ 14000 │ 14000 │ 14000 │      │          │   3500    │  1500   │ 21000000 │ 49400000  │ 1678439400000 │ '2023-03-10T09:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 344.4 │ 877.8 │ 222.2 │     │ -1500 │ -21000000 │ 4994444.4  │ 12312222.2 │   -1500   │   -21000000   │      0      │  21000000   │  2.9  │ 1500 │ 21000000 │ 1.7 │      │          │     │
│    2    │ 14500 │ 14500 │ 14500 │ 14500 │      │          │   5400    │  1900   │ 27550000 │ 76950000  │ 1678440000000 │ '2023-03-10T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 344.4 │ 877.8 │ 222.2 │     │ 1900  │ 27550000  │ 4994444.4  │ 12312222.2 │    400    │    6550000    │  27550000   │  21000000   │ -3.8  │      │          │     │ 1900 │ 27550000 │ 5.5 │
│    3    │ 14500 │ 14500 │ 14500 │ 14500 │      │          │   6500    │  1100   │ 15950000 │ 92900000  │ 1678441500000 │ '2023-03-10T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 344.4 │ 877.8 │ 222.2 │     │ 1100  │ 15950000  │ 4994444.4  │ 12312222.2 │   1500    │   22500000    │  43500000   │  21000000   │ -2.2  │      │          │     │ 1100 │ 15950000 │ 3.2 │
│    4    │ 14000 │ 14000 │ 14000 │ 14000 │      │          │   7800    │  1300   │ 18200000 │ 111100000 │ 1678445100000 │ '2023-03-10T10:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 344.4 │ 877.8 │ 222.2 │     │ -1300 │ -18200000 │ 4994444.4  │ 12312222.2 │    200    │    4300000    │  43500000   │  39200000   │  2.5  │ 1300 │ 18200000 │ 1.5 │      │          │     │
│    5    │ 14100 │ 14100 │ 14100 │ 14100 │      │          │   7900    │   100   │ 1410000  │ 112510000 │ 1678453800000 │ '2023-03-10T13:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 344.4 │ 877.8 │ 222.2 │     │ -100  │ -1410000  │ 4994444.4  │ 12312222.2 │    100    │    2890000    │  43500000   │  40610000   │  0.2  │ 100  │ 1410000  │ 0.1 │      │          │     │
│    6    │ 14000 │ 14000 │ 14000 │ 14000 │      │          │   10900   │  3000   │ 42000000 │ 154510000 │ 1678454100000 │ '2023-03-10T13:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 344.4 │ 877.8 │ 222.2 │     │ -3000 │ -42000000 │ 4994444.4  │ 12312222.2 │   -2900   │   -39110000   │  43500000   │  82610000   │  5.7  │ 3000 │ 42000000 │ 3.4 │      │          │     │
│    7    │ 14100 │ 14100 │ 14100 │ 14100 │      │          │   12900   │  2000   │ 28200000 │ 182710000 │ 1678457400000 │ '2023-03-10T14:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 344.4 │ 877.8 │ 222.2 │     │ -2000 │ -28200000 │ 4994444.4  │ 12312222.2 │   -4900   │   -67310000   │  43500000   │  110810000  │  3.9  │ 2000 │ 28200000 │ 2.3 │      │          │     │
│    8    │ 14500 │ 14500 │ 14500 │ 14500 │      │          │   13000   │   100   │ 1450000  │ 184160000 │ 1678459500000 │ '2023-03-10T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 344.4 │ 877.8 │ 222.2 │     │  100  │  1450000  │ 4994444.4  │ 12312222.2 │   -4800   │   -65860000   │  44950000   │  110810000  │ -0.2  │      │          │     │ 100  │ 1450000  │ 0.3 │
└─────────┴───────┴───────┴───────┴───────┴──────┴──────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴───────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴──────────┴─────┘

