┌─────────┬──────┬──────┬──────┬──────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬────┬──────────┬─────┬───────┬─────┬─────┬───────┬───────────┬───────────┬───────────────┐
│ (index) │  c   │  h   │  l   │  o   │  sd  │  val_sd  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │  asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ acum_busd │ acum_busd_val │
├─────────┼──────┼──────┼──────┼──────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼───────┼─────┼─────┼───────┼───────────┼───────────┼───────────────┤
│    0    │ 6.75 │ 6.75 │ 6.75 │ 6.75 │ 100  │  675000  │    100    │   100   │  675000  │  675000   │ 1670836680000 │ '2022-12-12T09:18:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 0.1 │ -100  │  -675000  │   -100    │    -675000    │
│    1    │ 6.75 │ 6.75 │ 6.75 │ 6.75 │ 200  │ 1350000  │    300    │   200   │ 1350000  │  2025000  │ 1670836800000 │ '2022-12-12T09:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 0.2 │ -200  │ -1350000  │   -300    │   -2025000    │
│    2    │ 6.75 │ 6.75 │ 6.75 │ 6.75 │ 500  │ 3375000  │    800    │   500   │ 3375000  │  5400000  │ 1670836920000 │ '2022-12-12T09:22:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 0.6 │ -500  │ -3375000  │   -800    │   -5400000    │
│    3    │ 6.82 │ 6.82 │ 6.82 │ 6.82 │ 200  │ 1364000  │   1000    │   200   │ 1364000  │  6764000  │ 1670837160000 │ '2022-12-12T09:26:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 0.2 │ -200  │ -1364000  │   -1000   │   -6764000    │
│    4    │ 6.82 │ 6.82 │ 6.82 │ 6.82 │ 200  │ 1364000  │   1200    │   200   │ 1364000  │  8128000  │ 1670837400000 │ '2022-12-12T09:30:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 0.2 │ -200  │ -1364000  │   -1200   │   -8128000    │
│    5    │ 6.81 │ 6.81 │ 6.81 │ 6.81 │ 200  │ 1362000  │   1400    │   200   │ 1362000  │  9490000  │ 1670837640000 │ '2022-12-12T09:34:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 0.2 │ -200  │ -1362000  │   -1400   │   -9490000    │
│    6    │ 6.8  │ 6.8  │ 6.8  │ 6.8  │ 300  │ 2040000  │   1700    │   300   │ 2040000  │ 11530000  │ 1670837760000 │ '2022-12-12T09:36:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 0.4 │ -300  │ -2040000  │   -1700   │   -11530000   │
│    7    │ 6.75 │ 6.75 │ 6.75 │ 6.75 │ 100  │  675000  │   1800    │   100   │  675000  │ 12205000  │ 1670837880000 │ '2022-12-12T09:38:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 0.1 │ -100  │  -675000  │   -1800   │   -12205000   │
│    8    │  7   │  7   │  7   │  7   │ 100  │  700000  │   1900    │   100   │  700000  │ 12905000  │ 1670838120000 │ '2022-12-12T09:42:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 0.1 │ -100  │  -700000  │   -1900   │   -12905000   │
│    9    │ 7.1  │ 7.1  │ 7.1  │ 7.1  │ 5800 │ 41180000 │   7700    │  5800   │ 41180000 │ 54085000  │ 1670838360000 │ '2022-12-12T09:46:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 7.1 │ -5800 │ -41180000 │   -7700   │   -54085000   │
│   10    │ 7.1  │ 7.1  │ 7.1  │ 7.1  │ 1000 │ 7100000  │   8700    │  1000   │ 7100000  │ 61185000  │ 1670838600000 │ '2022-12-12T09:50:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 1.2 │ -1000 │ -7100000  │   -8700   │   -61185000   │
│   11    │ 7.1  │ 7.1  │ 7.1  │ 7.1  │ 100  │  710000  │   8800    │   100   │  710000  │ 61895000  │ 1670839080000 │ '2022-12-12T09:58:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 0.1 │ -100  │  -710000  │   -8800   │   -61895000   │
│   12    │ 7.1  │ 7.1  │ 7.1  │ 7.1  │ 300  │ 2130000  │   9100    │   300   │ 2130000  │ 64025000  │ 1670839680000 │ '2022-12-12T10:08:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 0.4 │ -300  │ -2130000  │   -9100   │   -64025000   │
│   13    │ 7.1  │ 7.1  │ 7.1  │ 7.1  │ 1000 │ 7100000  │   10100   │  1000   │ 7100000  │ 71125000  │ 1670840160000 │ '2022-12-12T10:16:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 1.2 │ -1000 │ -7100000  │  -10100   │   -71125000   │
│   14    │ 7.1  │ 7.1  │ 7.1  │ 7.1  │ 500  │ 3550000  │   10600   │   500   │ 3550000  │ 74675000  │ 1670841240000 │ '2022-12-12T10:34:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 0.6 │ -500  │ -3550000  │  -10600   │   -74675000   │
│   15    │ 7.1  │ 7.1  │ 7.1  │ 7.1  │ 1100 │ 7810000  │   11700   │  1100   │ 7810000  │ 82485000  │ 1670842080000 │ '2022-12-12T10:48:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 1.3 │ -1100 │ -7810000  │  -11700   │   -82485000   │
│   16    │ 7.1  │ 7.1  │ 7.1  │ 7.1  │ 500  │ 3550000  │   12200   │   500   │ 3550000  │ 86035000  │ 1670851920000 │ '2022-12-12T13:32:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 0.6 │ -500  │ -3550000  │  -12200   │   -86035000   │
│   17    │  7   │  7   │  7   │  7   │ 2600 │ 18200000 │   14800   │  2600   │ 18200000 │ 104235000 │ 1670856240000 │ '2022-12-12T14:44:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 822.2 │  0  │ 3.2 │ -2600 │ -18200000 │  -14800   │  -104235000   │
└─────────┴──────┴──────┴──────┴──────┴──────┴──────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴────┴──────────┴─────┴───────┴─────┴─────┴───────┴───────────┴───────────┴───────────────┘

