┌─────────┬──────┬──────┬──────┬──────┬───────┬────────────────────┬───────────┬─────────┬────────────────────┬────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬────┬────────┬─────┬─────┬──────┬───────┬────────────────────┬───────────┬───────────────┐
│ (index) │  c   │  h   │  l   │  o   │  bu   │       val_bu       │ total_vol │ sum_vol │        val         │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb │  abu   │ asd │ auk │ rbu  │ bu-sd │     bu-sd_val      │ acum_busd │ acum_busd_val │
├─────────┼──────┼──────┼──────┼──────┼───────┼────────────────────┼───────────┼─────────┼────────────────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼────┼────────┼─────┼─────┼──────┼───────┼────────────────────┼───────────┼───────────────┤
│    0    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 92000 │     427800000      │   92000   │  92000  │     427800000      │ 427800000  │ 1670836500000 │ '2022-12-12T09:15:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 12.2 │ 92000 │     427800000      │   92000   │   427800000   │
│    1    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 33000 │     153450000      │  125000   │  33000  │     153450000      │ 581250000  │ 1670836800000 │ '2022-12-12T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 4.4  │ 33000 │     153450000      │  125000   │   581250000   │
│    2    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 7500  │      34875000      │  132500   │  7500   │      34875000      │ 616125000  │ 1670837100000 │ '2022-12-12T09:25:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │  1   │ 7500  │      34875000      │  132500   │   616125000   │
│    3    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 14500 │      67425000      │  147000   │  14500  │      67425000      │ 683550000  │ 1670837400000 │ '2022-12-12T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 1.9  │ 14500 │      67425000      │  147000   │   683550000   │
│    4    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 10000 │      46500000      │  157000   │  10000  │      46500000      │ 730050000  │ 1670837700000 │ '2022-12-12T09:35:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 1.3  │ 10000 │      46500000      │  157000   │   730050000   │
│    5    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 4100  │      19065000      │  161100   │  4100   │      19065000      │ 749115000  │ 1670838000000 │ '2022-12-12T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.5  │ 4100  │      19065000      │  161100   │   749115000   │
│    6    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 4000  │      18600000      │  165100   │  4000   │      18600000      │ 767715000  │ 1670838300000 │ '2022-12-12T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.5  │ 4000  │      18600000      │  165100   │   767715000   │
│    7    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 2500  │      11625000      │  167600   │  2500   │      11625000      │ 779340000  │ 1670838600000 │ '2022-12-12T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.3  │ 2500  │      11625000      │  167600   │   779340000   │
│    8    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 16300 │      75795000      │  183900   │  16300  │      75795000      │ 855135000  │ 1670838900000 │ '2022-12-12T09:55:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 2.2  │ 16300 │      75795000      │  183900   │   855135000   │
│    9    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 4200  │      19530000      │  188100   │  4200   │      19530000      │ 874665000  │ 1670839200000 │ '2022-12-12T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.6  │ 4200  │      19530000      │  188100   │   874665000   │
│   10    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 15200 │      70680000      │  203300   │  15200  │      70680000      │ 945345000  │ 1670839500000 │ '2022-12-12T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │  2   │ 15200 │      70680000      │  203300   │   945345000   │
│   11    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 2000  │      9300000       │  205300   │  2000   │      9300000       │ 954645000  │ 1670839800000 │ '2022-12-12T10:10:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.3  │ 2000  │      9300000       │  205300   │   954645000   │
│   12    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │  900  │ 4185000.0000000005 │  206200   │   900   │ 4185000.0000000005 │ 958830000  │ 1670840100000 │ '2022-12-12T10:15:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.1  │  900  │ 4185000.0000000005 │  206200   │   958830000   │
│   13    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 6300  │      29295000      │  212500   │  6300   │      29295000      │ 988125000  │ 1670840400000 │ '2022-12-12T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.8  │ 6300  │      29295000      │  212500   │   988125000   │
│   14    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │  600  │      2790000       │  213100   │   600   │      2790000       │ 990915000  │ 1670840700000 │ '2022-12-12T10:25:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.1  │  600  │      2790000       │  213100   │   990915000   │
│   15    │ 4.65 │ 4.65 │ 4.65 │ 4.65 │ 2200  │      10230000      │  215300   │  2200   │      10230000      │ 1001145000 │ 1670841000000 │ '2022-12-12T10:30:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7516.2 │  0  │  0  │ 0.3  │ 2200  │      10230000      │  215300   │  1001145000   │
