┌─────────┬───────┬───────┬───────┬───────┬────────┬────────────┬───────────┬─────────┬────────────┬─────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬────┬──────────┬─────┬────────┬─────┬──────┬─────────┬─────────────┬───────────┬───────────────┐
│ (index) │   c   │   h   │   l   │   o   │   sd   │   val_sd   │ total_vol │ sum_vol │    val     │  acum_val   │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │  asd   │ auk │ rsd  │  bu-sd  │  bu-sd_val  │ acum_busd │ acum_busd_val │
├─────────┼───────┼───────┼───────┼───────┼────────┼────────────┼───────────┼─────────┼────────────┼─────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼────────┼─────┼──────┼─────────┼─────────────┼───────────┼───────────────┤
│    0    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │ 356900 │ 4479095000 │  356900   │ 356900  │ 4479095000 │ 4479095000  │ 1670836440000 │ '2022-12-12T09:14:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 40.4 │ -356900 │ -4479095000 │  -356900  │  -4479095000  │
│    1    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  5600  │  70280000  │  362500   │  5600   │  70280000  │ 4549375000  │ 1670836560000 │ '2022-12-12T09:16:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.6  │  -5600  │  -70280000  │  -362500  │  -4549375000  │
│    2    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  5500  │  69025000  │  368000   │  5500   │  69025000  │ 4618400000  │ 1670836680000 │ '2022-12-12T09:18:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.6  │  -5500  │  -69025000  │  -368000  │  -4618400000  │
│    3    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  7800  │  97890000  │  375800   │  7800   │  97890000  │ 4716290000  │ 1670836800000 │ '2022-12-12T09:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.9  │  -7800  │  -97890000  │  -375800  │  -4716290000  │
│    4    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  6900  │  86595000  │  382700   │  6900   │  86595000  │ 4802885000  │ 1670836920000 │ '2022-12-12T09:22:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.8  │  -6900  │  -86595000  │  -382700  │  -4802885000  │
│    5    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  8900  │ 111695000  │  391600   │  8900   │ 111695000  │ 4914580000  │ 1670837040000 │ '2022-12-12T09:24:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  1   │  -8900  │ -111695000  │  -391600  │  -4914580000  │
│    6    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │ 18400  │ 230920000  │  410000   │  18400  │ 230920000  │ 5145500000  │ 1670837160000 │ '2022-12-12T09:26:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 2.1  │ -18400  │ -230920000  │  -410000  │  -5145500000  │
│    7    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  3400  │  42670000  │  413400   │  3400   │  42670000  │ 5188170000  │ 1670837280000 │ '2022-12-12T09:28:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.4  │  -3400  │  -42670000  │  -413400  │  -5188170000  │
│    8    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  2500  │  31375000  │  415900   │  2500   │  31375000  │ 5219545000  │ 1670837400000 │ '2022-12-12T09:30:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.3  │  -2500  │  -31375000  │  -415900  │  -5219545000  │
│    9    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  4600  │  57730000  │  420500   │  4600   │  57730000  │ 5277275000  │ 1670837520000 │ '2022-12-12T09:32:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.5  │  -4600  │  -57730000  │  -420500  │  -5277275000  │
│   10    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │ 14200  │ 178210000  │  434700   │  14200  │ 178210000  │ 5455485000  │ 1670837640000 │ '2022-12-12T09:34:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 1.6  │ -14200  │ -178210000  │  -434700  │  -5455485000  │
│   11    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  200   │  2510000   │  434900   │   200   │  2510000   │ 5457995000  │ 1670837760000 │ '2022-12-12T09:36:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -200   │  -2510000   │  -434900  │  -5457995000  │
│   12    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  2900  │  36395000  │  437800   │  2900   │  36395000  │ 5494390000  │ 1670837880000 │ '2022-12-12T09:38:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.3  │  -2900  │  -36395000  │  -437800  │  -5494390000  │
│   13    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  6000  │  75300000  │  443800   │  6000   │  75300000  │ 5569690000  │ 1670838000000 │ '2022-12-12T09:40:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.7  │  -6000  │  -75300000  │  -443800  │  -5569690000  │
│   14    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  3000  │  37650000  │  446800   │  3000   │  37650000  │ 5607340000  │ 1670838120000 │ '2022-12-12T09:42:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.3  │  -3000  │  -37650000  │  -446800  │  -5607340000  │
│   15    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  2400  │  30120000  │  449200   │  2400   │  30120000  │ 5637460000  │ 1670838240000 │ '2022-12-12T09:44:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.3  │  -2400  │  -30120000  │  -449200  │  -5637460000  │
│   16    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  500   │  6275000   │  449700   │   500   │  6275000   │ 5643735000  │ 1670838360000 │ '2022-12-12T09:46:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -500   │  -6275000   │  -449700  │  -5643735000  │
│   17    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  300   │  3765000   │  450000   │   300   │  3765000   │ 5647500000  │ 1670838480000 │ '2022-12-12T09:48:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -300   │  -3765000   │  -450000  │  -5647500000  │
│   18    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  2900  │  36395000  │  452900   │  2900   │  36395000  │ 5683895000  │ 1670838600000 │ '2022-12-12T09:50:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.3  │  -2900  │  -36395000  │  -452900  │  -5683895000  │
│   19    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  100   │  1255000   │  453000   │   100   │  1255000   │ 5685150000  │ 1670838720000 │ '2022-12-12T09:52:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -100   │  -1255000   │  -453000  │  -5685150000  │
│   20    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  400   │  5020000   │  453400   │   400   │  5020000   │ 5690170000  │ 1670838840000 │ '2022-12-12T09:54:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -400   │  -5020000   │  -453400  │  -5690170000  │
├─────────┼───────┼───────┼───────┼───────┼────────┼────────────┼───────────┼─────────┼────────────┼─────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼────────┼─────┼──────┼─────────┼─────────────┼───────────┼───────────────┤
│ (index) │   c   │   h   │   l   │   o   │   sd   │   val_sd   │ total_vol │ sum_vol │    val     │  acum_val   │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │  asd   │ auk │ rsd  │  bu-sd  │  bu-sd_val  │ acum_busd │ acum_busd_val │
├─────────┼───────┼───────┼───────┼───────┼────────┼────────────┼───────────┼─────────┼────────────┼─────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼────────┼─────┼──────┼─────────┼─────────────┼───────────┼───────────────┤
│   21    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  200   │  2510000   │  453600   │   200   │  2510000   │ 5692680000  │ 1670838960000 │ '2022-12-12T09:56:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │  0   │  -200   │  -2510000   │  -453600  │  -5692680000  │
│   22    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  4000  │  50200000  │  457600   │  4000   │  50200000  │ 5742880000  │ 1670839080000 │ '2022-12-12T09:58:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.5  │  -4000  │  -50200000  │  -457600  │  -5742880000  │
│   23    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  600   │  7530000   │  458200   │   600   │  7530000   │ 5750410000  │ 1670839200000 │ '2022-12-12T10:00:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -600   │  -7530000   │  -458200  │  -5750410000  │
│   24    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  500   │  6275000   │  458700   │   500   │  6275000   │ 5756685000  │ 1670839320000 │ '2022-12-12T10:02:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -500   │  -6275000   │  -458700  │  -5756685000  │
│   25    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  1300  │  16315000  │  460000   │  1300   │  16315000  │ 5773000000  │ 1670839440000 │ '2022-12-12T10:04:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -1300  │  -16315000  │  -460000  │  -5773000000  │
│   26    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  1600  │  20080000  │  461600   │  1600   │  20080000  │ 5793080000  │ 1670839680000 │ '2022-12-12T10:08:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.2  │  -1600  │  -20080000  │  -461600  │  -5793080000  │
│   27    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  1200  │  15060000  │  462800   │  1200   │  15060000  │ 5808140000  │ 1670839800000 │ '2022-12-12T10:10:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -1200  │  -15060000  │  -462800  │  -5808140000  │
│   28    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  1000  │  12550000  │  463800   │  1000   │  12550000  │ 5820690000  │ 1670839920000 │ '2022-12-12T10:12:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -1000  │  -12550000  │  -463800  │  -5820690000  │
│   29    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  600   │  7530000   │  464400   │   600   │  7530000   │ 5828220000  │ 1670840040000 │ '2022-12-12T10:14:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.1  │  -600   │  -7530000   │  -464400  │  -5828220000  │
│   30    │ 12.55 │ 12.55 │ 12.55 │ 12.55 │  7800  │  97890000  │  472200   │  7800   │  97890000  │ 5926110000  │ 1670840160000 │ '2022-12-12T10:16:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 8830.6 │  0  │ 0.9  │  -7800  │  -97890000  │  -472200  │  -5926110000  │
