┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬───────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │  val_bu   │ rbu │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼───────────┼─────┤
│    0    │ 49.3  │ 49.9  │ 49.3  │ 49.9  │ 200 │ 9920000 │    200    │   200   │  9920000  │  9920000  │ 1670836500000 │ '2022-12-12T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 827.8 │ 238.9 │ 11.1 │ 18  │   0   │     0     │ 41044444.4 │ 10996927.8 │     0     │       0       │      0      │      0      │   0   │      │          │     │      │           │     │
│    1    │ 49.2  │ 49.2  │ 49.2  │ 49.2  │     │         │    400    │   200   │  9840000  │ 19760000  │ 1670837100000 │ '2022-12-12T09:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 827.8 │ 238.9 │ 11.1 │     │ -200  │ -9840000  │ 41044444.4 │ 10996927.8 │   -200    │   -9840000    │      0      │   9840000   │ -0.3  │ 200  │ 9840000  │ 0.8 │      │           │     │
│    2    │ 49.2  │ 49.2  │ 49.2  │ 49.2  │     │         │    700    │   300   │ 14760000  │ 34520000  │ 1670837400000 │ '2022-12-12T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 827.8 │ 238.9 │ 11.1 │     │  300  │ 14760000  │ 41044444.4 │ 10996927.8 │    100    │    4920000    │  14760000   │   9840000   │  0.5  │      │          │     │ 300  │ 14760000  │ 0.4 │
│    3    │ 49.2  │ 49.2  │ 49.2  │ 49.2  │     │         │   1200    │   500   │ 24600000  │ 59120000  │ 1670838000000 │ '2022-12-12T09:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 827.8 │ 238.9 │ 11.1 │     │ -500  │ -24600000 │ 41044444.4 │ 10996927.8 │   -400    │   -19680000   │  14760000   │  34440000   │ -0.8  │ 500  │ 24600000 │ 2.1 │      │           │     │
│    4    │ 49.9  │ 49.9  │ 49.9  │ 49.9  │     │         │   1300    │   100   │  4990000  │ 64110000  │ 1670838300000 │ '2022-12-12T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 827.8 │ 238.9 │ 11.1 │     │  100  │  4990000  │ 41044444.4 │ 10996927.8 │   -300    │   -14690000   │  19750000   │  34440000   │  0.2  │      │          │     │ 100  │  4990000  │ 0.1 │
│    5    │ 49.8  │ 49.8  │ 49.8  │ 49.8  │     │         │   1400    │   100   │  4980000  │ 69090000  │ 1670838600000 │ '2022-12-12T09:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 827.8 │ 238.9 │ 11.1 │     │ -100  │ -4980000  │ 41044444.4 │ 10996927.8 │   -400    │   -19670000   │  19750000   │  39420000   │ -0.2  │ 100  │ 4980000  │ 0.4 │      │           │     │
│    6    │ 49.9  │ 49.9  │ 49.8  │ 49.8  │     │         │   9600    │  8200   │ 408780000 │ 477870000 │ 1670838900000 │ '2022-12-12T09:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 827.8 │ 238.9 │ 11.1 │     │ 8200  │ 408780000 │ 41044444.4 │ 10996927.8 │   7800    │   389110000   │  428530000  │  39420000   │ 13.6  │      │          │     │ 8200 │ 408780000 │ 9.9 │
│    7    │ 49.8  │ 49.8  │ 49.8  │ 49.8  │     │         │   11600   │  2000   │ 99600000  │ 577470000 │ 1670839500000 │ '2022-12-12T10:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 827.8 │ 238.9 │ 11.1 │     │ -2000 │ -99600000 │ 41044444.4 │ 10996927.8 │   5800    │   289510000   │  428530000  │  139020000  │ -3.3  │ 2000 │ 99600000 │ 8.4 │      │           │     │
│    8    │ 49.1  │ 49.1  │ 49.1  │ 49.1  │     │         │   11800   │   200   │  9820000  │ 587290000 │ 1670841000000 │ '2022-12-12T10:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 827.8 │ 238.9 │ 11.1 │     │ -200  │ -9820000  │ 41044444.4 │ 10996927.8 │   5600    │   279690000   │  428530000  │  148840000  │ -0.3  │ 200  │ 9820000  │ 0.8 │      │           │     │
│    9    │ 49.8  │ 49.8  │ 49.8  │ 49.8  │     │         │   11900   │   100   │  4980000  │ 592270000 │ 1670842500000 │ '2022-12-12T10:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 827.8 │ 238.9 │ 11.1 │     │  100  │  4980000  │ 41044444.4 │ 10996927.8 │   5700    │   284670000   │  433510000  │  148840000  │  0.2  │      │          │     │ 100  │  4980000  │ 0.1 │
│   10    │ 49.1  │ 49.15 │ 49.1  │ 49.15 │     │         │   12400   │   500   │ 24555000  │ 616825000 │ 1670843400000 │ '2022-12-12T11:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 827.8 │ 238.9 │ 11.1 │     │ -500  │ -24555000 │ 41044444.4 │ 10996927.8 │   5200    │   260115000   │  433510000  │  173395000  │ -0.8  │ 500  │ 24555000 │ 2.1 │      │           │     │
