"code","trading_date","close_value","foreign_buy_matched","foreign_sell_matched","foreign_buy","foreign_sell","proprietary_buy_matched","proprietary_sell_matched","proprietary_buy","proprietary_sell","local_individual_buy_matched","local_individual_sell_matched","local_individual_buy","local_individual_sell","local_institutional_buy_matched","local_institutional_sell_matched","local_institutional_buy","local_institutional_sell","foreign_individual_buy_matched","foreign_individual_sell_matched","foreign_individual_buy","foreign_individual_sell","foreign_institutional_buy_matched","foreign_institutional_sell_matched","foreign_institutional_buy","foreign_institutional_sell"
"AAT",1701363600,4.99,0,0,0,0,0,0,0,0,850487710,849989710,850487710,849989710,1002000,1500000,1002000,1500000,0,0,0,0,0,0,0,0
"AAT",1701277200,4.98,1000000,0,1000000,0,0,0,0,0,813192000,814690000,813192000,814690000,498000,0,498000,0,1000000,0,1000000,0,0,0,0,0
"AAT",1701190800,5.06,0,0,0,0,0,0,0,0,1055797190,1053297190,1055797190,1053297190,0,2500000,0,2500000,0,0,0,0,0,0,0,0
"AAT",1701104400,4.99,990000,0,990000,0,0,0,0,0,1194134460,1194629460,1194134460,1194629460,0,495000,0,495000,0,0,0,0,990000,0,990000,0
"AAT",1701018000,4.94,0,0,0,0,0,0,0,0,854317880,849848880,854317880,849848880,3451000,7920000,3451000,7920000,0,0,0,0,0,0,0,0
"AAT",1700758800,4.9,0,0,0,0,0,0,0,0,776256220,776259220,776256220,776259220,495000,492000,495000,492000,0,0,0,0,0,0,0,0
"AAT",1700672400,4.92,0,0,0,0,0,0,0,0,1418506390,1418013390,1418506390,1418013390,0,493000,0,493000,0,0,0,0,0,0,0,0
"AAT",1700586000,4.91,0,0,0,0,0,0,0,0,854215070,854706070,854215070,854706070,491000,0,491000,0,0,0,0,0,0,0,0,0
"AAT",1700499600,4.91,0,0,0,0,0,0,0,0,500363030,500363030,500363030,500363030,0,0,0,0,0,0,0,0,0,0,0,0
"AAT",1700413200,4.9,0,0,0,0,0,0,0,0,521131360,521131360,521131360,521131360,0,0,0,0,0,0,0,0,0,0,0,0
"AAT",1700154000,4.94,0,0,0,0,0,0,0,0,2592629500,2592126500,2592629500,2592126500,0,503000,0,503000,0,0,0,0,0,0,0,0
"AAT",1700067600,4.9,0,0,0,0,0,0,0,0,676309210,677289210,676309210,677289210,980000,0,980000,0,0,0,0,0,0,0,0,0
"AAT",1699981200,4.87,0,3984000,0,3984000,0,0,0,0,1144194060,1139232060,1144194060,1139232060,0,978000,0,978000,0,0,0,0,0,3984000,0,3984000
"AAT",1699894800,4.85,0,16551000,0,16551000,0,0,0,0,941885730,919018730,941885730,919018730,0,6316000,0,6316000,0,0,0,0,0,16551000,0,16551000
"AAT",1699808400,4.85,486000,21414000,486000,21414000,0,0,0,0,614093140,596107140,614093140,596107140,2942000,0,2942000,0,486000,0,486000,0,0,21414000,0,21414000
"AAT",1699549200,4.85,3910000,0,3910000,0,0,0,0,0,763690850,767600850,763690850,767600850,0,0,0,0,2934000,0,2934000,0,976000,0,976000,0
"AAT",1699462800,4.91,19692000,0,19692000,0,0,0,0,0,1945538890,1966212890,1945538890,1966212890,982000,0,982000,0,0,0,0,0,19692000,0,19692000,0
"AAT",1699376400,4.86,20272000,17870000,20272000,17870000,0,0,0,0,1262811990,1265213990,1262811990,1265213990,0,0,0,0,0,0,0,0,20272000,17870000,20272000,17870000
"AAT",1699290000,4.72,0,16154000,0,16154000,0,0,0,0,487105690,470477690,487105690,470477690,0,474000,0,474000,0,0,0,0,0,16154000,0,16154000
"AAT",1699203600,4.75,0,483000,0,483000,0,0,0,0,877137130,876654130,877137130,876654130,0,0,0,0,0,0,0,0,0,483000,0,483000
"ADP",1701363600,19.1,0,0,0,0,0,0,0,0,3820000,3820000,3820000,3820000,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1701277200,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1701190800,19,0,0,0,0,0,0,0,0,5600000,5600000,5600000,5600000,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1701104400,18.5,0,0,0,0,0,0,0,0,1850000,1850000,1850000,1850000,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1701018000,18.5,0,0,0,0,0,0,0,0,22200000,22200000,22200000,22200000,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1700672400,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1700586000,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1700499600,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1700413200,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1700154000,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1700067600,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1699981200,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1699894800,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1699808400,18.4,0,0,0,0,0,0,0,0,17800,17800,17800,17800,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1699549200,19,0,0,0,0,0,0,0,0,40200,40200,40200,40200,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1699462800,19,0,0,0,0,0,0,0,0,20917750,20917750,20917750,20917750,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1699376400,19,0,0,0,0,0,0,0,0,5719000,5719000,5719000,5719000,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1699290000,19,0,0,0,0,0,0,0,0,17750,17750,17750,17750,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1699203600,19,0,0,0,0,0,0,0,0,1900000,1900000,1900000,1900000,0,0,0,0,0,0,0,0,0,0,0,0
"ADP",1698944400,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAA",1701363600,9.07,469015000,155832000,469015000,155832000,58044000,0,58044000,0,11995168900,12354971900,11995168900,12354971900,102008000,113432000,102008000,113432000,93919000,0,93919000,0,375096000,155832000,375096000,155832000
"AAA",1701277200,9.07,2748000,569879000,2748000,569879000,0,18256000,0,18256000,16464582290,17252471290,16464582290,17252471290,1376032000,2756000,1376032000,2756000,2748000,9190000,2748000,9190000,0,560689000,0,560689000
"AAA",1701190800,9.09,102730000,124719000,102730000,124719000,0,25480000,0,25480000,11747311590,11707116590,11747311590,11707116590,9090000,1816000,9090000,1816000,102730000,18160000,102730000,18160000,0,106559000,0,106559000
"AAA",1701104400,9.04,210388000,567672000,210388000,567672000,10804000,0,10804000,0,16687254010,15635659010,16687254010,15635659010,7179000,712294000,7179000,712294000,98989000,0,98989000,0,111399000,567672000,111399000,567672000
"AAA",1701018000,9.03,51089000,558963000,51089000,558963000,25498000,0,25498000,0,10920943410,10241849410,10920943410,10241849410,4574000,201292000,4574000,201292000,25591000,18200000,25591000,18200000,25498000,540763000,25498000,540763000
"AAA",1700672400,9.05,408825000,223576000,408825000,223576000,0,60255000,0,60255000,24854906460,24049424460,24854906460,24049424460,7454000,937930000,7454000,937930000,174194000,140641000,174194000,140641000,234631000,82935000,234631000,82935000
"AAA",1700586000,9.4,508289000,2814000,508289000,2814000,0,0,0,0,18955770870,20385230870,18955770870,20385230870,945631000,21646000,945631000,21646000,0,2814000,0,2814000,508289000,0,508289000,0
"AAA",1700499600,9.3,238008000,312921030,238008000,312921030,0,0,0,0,16550741760,16482402730,16550741760,16482402730,8443000,1869000,8443000,1869000,14953000,117420000,14953000,117420000,223055000,195501030,223055000,195501030
"AAA",1700413200,9.35,1337623000,73760000,1337623000,73760000,0,0,0,0,19341403390,20615526390,19341403390,20615526390,11184000,924000,11184000,924000,96599000,0,96599000,0,1241024000,73760000,1241024000,73760000
"AAA",1700154000,9.31,167928000,239246000,167928000,239246000,29800000,0,29800000,0,49160218710,49201832710,49160218710,49201832710,1063552000,980420000,1063552000,980420000,34092000,0,34092000,0,133836000,239246000,133836000,239246000
"AAA",1700067600,9.29,1303465000,1397855000,1303465000,1397855000,7424000,0,7424000,0,12284376750,12190901750,12284376750,12190901750,0,6509000,0,6509000,96713000,0,96713000,0,1206752000,1397855000,1206752000,1397855000
"AAA",1699981200,9.3,1078443400,7464000,1078443400,7464000,18796000,0,18796000,0,32250884220,33317311620,32250884220,33317311620,4692000,28040000,4692000,28040000,393896400,7464000,393896400,7464000,684546999,0,684546999,0
"AAA",1699894800,9.18,918000,335393000,918000,335393000,0,14744000,0,14744000,18608664010,18259443010,18608664010,18259443010,4588000,4590000,4588000,4590000,0,8264000,0,8264000,918000,327129000,918000,327129000
"AAA",1699808400,9.12,152744000,207111000,152744000,207111000,0,36728000,0,36728000,16235997350,16640717350,16235997350,16640717350,503146000,7331000,503146000,7331000,910000,10065000,910000,10065000,151834000,197046000,151834000,197046000
"AAA",1699549200,9.1,1484390000,334240000,1484390000,334240000,0,0,0,0,25634592550,26973248550,25634592550,26973248550,196788000,8282000,196788000,8282000,4595000,0,4595000,0,1479795000,334240000,1479795000,334240000
"AAA",1699462800,9.21,100485000,506227000,100485000,506227000,0,0,0,0,36303526790,36311799790,36303526790,36311799790,609341000,195326000,609341000,195326000,40830000,0,40830000,0,59655000,506227000,59655000,506227000
"AAA",1699376400,9.29,2451801000,85944000,2451801000,85944000,0,0,0,0,37831394920,40095880920,37831394920,40095880920,359503000,460874000,359503000,460874000,4437000,64767000,4437000,64767000,2447364000,21177000,2447364000,21177000
"AAA",1699290000,8.72,479052000,40083000,479052000,40083000,3552000,10644000,3552000,10644000,16471658860,16858151860,16471658860,16858151860,4402000,49786000,4402000,49786000,24823000,29439000,24823000,29439000,454229000,10644000,454229000,10644000
"AAA",1699203600,8.9,664274000,4415000,664274000,4415000,42324000,0,42324000,0,23678462460,24482151460,23678462460,24482151460,203658000,102152000,203658000,102152000,5268000,4415000,5268000,4415000,659006000,0,659006000,0
"AAA",1698944400,8.7,542532000,161063000,542532000,161063000,0,0,0,0,28786007000,29172756000,28786007000,29172756000,5280000,0,5280000,0,69224000,74100000,69224000,74100000,473308000,86963000,473308000,86963000
"ADG",1701363600,22.15,0,0,0,0,0,0,0,0,15595000,30170000,15595000,30170000,25615000,11040000,25615000,11040000,0,0,0,0,0,0,0,0
"ADG",1701277200,22,4420000,0,4420000,0,0,0,0,0,8196700,12616700,8196700,12616700,0,0,0,0,4420000,0,4420000,0,0,0,0,0
"ADG",1701190800,23.05,0,8960000,0,8960000,0,0,0,0,18737050,19022050,18737050,19022050,9245000,0,9245000,0,0,0,0,0,0,8960000,0,8960000
"ADG",1701104400,22.35,0,42260000,0,42260000,0,0,0,0,67041300,27016300,67041300,27016300,2235000,0,2235000,0,0,0,0,0,0,42260000,0,42260000
"ADG",1701018000,22.35,0,38420000,0,38420000,0,0,0,0,115550000,36810000,115550000,36810000,0,40320000,0,40320000,0,0,0,0,0,38420000,0,38420000
"ADG",1700758800,23.9,0,0,0,0,0,0,0,0,18375000,13890000,18375000,13890000,0,4485000,0,4485000,0,0,0,0,0,0,0,0
"ADG",1700672400,23.95,0,0,0,0,0,0,0,0,31388649,80288650,31388649,80288650,48900000,0,48900000,0,0,0,0,0,0,0,0,0
"ADG",1700586000,23.15,0,198565000,0,198565000,0,0,0,0,214947800,18702799,214947800,18702799,2320000,0,2320000,0,0,0,0,0,0,198565000,0,198565000
"ADG",1700499600,23.3,0,3264000,0,3264000,0,0,0,0,40444000,37180000,40444000,37180000,0,0,0,0,0,0,0,0,0,3264000,0,3264000
"ADG",1700413200,24.5,0,0,0,0,0,0,0,0,4978400,4978400,4978400,4978400,0,0,0,0,0,0,0,0,0,0,0,0
"ADG",1700154000,24.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADG",1700067600,24.95,0,0,0,0,0,0,0,0,7455050,7455050,7455050,7455050,0,0,0,0,0,0,0,0,0,0,0,0
"ADG",1699981200,24.95,0,0,0,0,0,0,0,0,5605550,5605550,5605550,5605550,0,0,0,0,0,0,0,0,0,0,0,0
"ADG",1699894800,24.05,0,45293950,0,45293950,0,0,0,0,50437300,5143350,50437300,5143350,0,0,0,0,0,0,0,0,0,45293950,0,45293950
"ADG",1699808400,24.6,2480000,4960000,2480000,4960000,0,0,0,0,33670000,31190000,33670000,31190000,0,0,0,0,2480000,0,2480000,0,0,4960000,0,4960000
"ADG",1699549200,24.8,0,0,0,0,0,0,0,0,43052600,40572600,43052600,40572600,0,2480000,0,2480000,0,0,0,0,0,0,0,0
"ADG",1699462800,24.95,0,0,0,0,0,0,0,0,45493100,50493100,45493100,50493100,5000000,0,5000000,0,0,0,0,0,0,0,0,0
"ADG",1699376400,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADG",1699290000,24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADG",1699203600,24.3,0,24300000,0,24300000,0,0,0,0,31809200,7509200,31809200,7509200,0,0,0,0,0,0,0,0,0,24300000,0,24300000
"ABT",1701363600,37,0,0,0,0,0,0,0,0,104900,104900,104900,104900,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1701277200,37,3700000,0,3700000,0,0,0,0,0,0,3700000,0,3700000,0,0,0,0,3700000,0,3700000,0,0,0,0,0
"ABT",1701190800,37.15,3715000,0,3715000,0,0,0,0,0,0,3715000,0,3715000,0,0,0,0,3715000,0,3715000,0,0,0,0,0
"ABT",1701104400,35,0,0,0,0,0,0,0,0,7032550,7032550,7032550,7032550,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1701018000,35,0,0,0,0,0,0,0,0,34900,34900,34900,34900,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1700758800,35,0,0,0,0,0,0,0,0,70000,70000,70000,70000,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1700672400,35,0,0,0,0,0,0,0,0,35000,35000,35000,35000,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1700586000,35,0,0,0,0,0,0,0,0,3500000,3500000,3500000,3500000,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1700499600,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1700413200,35,0,0,0,0,0,0,0,0,32549,32549,32549,32549,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1700154000,35,0,0,0,0,0,0,0,0,204000,204000,204000,204000,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1700067600,35,0,0,0,0,0,0,0,0,34000,34000,34000,34000,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1699981200,35,0,0,0,0,0,0,0,0,350000,350000,350000,350000,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1699894800,35,0,0,0,0,0,0,0,0,66000,66000,66000,66000,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1699808400,35,3500000,0,3500000,0,0,0,0,0,128000,3628000,128000,3628000,0,0,0,0,3500000,0,3500000,0,0,0,0,0
"ABT",1699549200,33.9,0,0,0,0,0,0,0,0,34000,34000,34000,34000,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1699462800,33.9,0,0,0,0,0,0,0,0,33700,33700,33700,33700,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1699376400,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1699290000,33.9,0,0,0,0,0,0,0,0,32500,32500,32500,32500,0,0,0,0,0,0,0,0,0,0,0,0
"ABT",1699203600,33.9,0,0,0,0,0,0,0,0,101700,101700,101700,101700,0,0,0,0,0,0,0,0,0,0,0,0
"AAM",1701363600,9.4,936000,0,936000,0,0,0,0,0,4892559,5891559,4892559,5891559,988000,925000,988000,925000,0,0,0,0,936000,0,936000,0
"AAM",1701277200,9.88,0,0,0,0,0,0,0,0,13961990,12081990,13961990,12081990,0,1880000,0,1880000,0,0,0,0,0,0,0,0
"AAM",1701190800,9.6,0,955000,0,955000,0,0,0,0,15549000,14594000,15549000,14594000,0,0,0,0,0,955000,0,955000,0,0,0,0
"AAM",1701104400,9.7,0,0,0,0,0,0,0,0,26135700,26135700,26135700,26135700,0,0,0,0,0,0,0,0,0,0,0,0
"AAM",1701018000,9.7,0,0,0,0,0,0,0,0,4776530,5746530,4776530,5746530,970000,0,970000,0,0,0,0,0,0,0,0,0
"AAM",1700672400,9.97,0,0,0,0,0,0,0,0,43550740,43550740,43550740,43550740,0,0,0,0,0,0,0,0,0,0,0,0
"AAM",1700586000,9.79,0,0,0,0,0,0,0,0,39430350,41385350,39430350,41385350,1955000,0,1955000,0,0,0,0,0,0,0,0,0
"AAM",1700499600,9.7,0,0,0,0,0,0,0,0,45809020,45809020,45809020,45809020,0,0,0,0,0,0,0,0,0,0,0,0
"AAM",1700413200,9.55,0,0,0,0,0,0,0,0,52437200,51481200,52437200,51481200,0,956000,0,956000,0,0,0,0,0,0,0,0
"AAM",1700154000,10.2,0,0,0,0,0,0,0,0,107187300,107187300,107187300,107187300,0,0,0,0,0,0,0,0,0,0,0,0
"AAM",1700067600,9.88,0,0,0,0,0,0,0,0,80358600,80358600,80358600,80358600,0,0,0,0,0,0,0,0,0,0,0,0
"AAM",1699981200,10,0,0,0,0,0,0,0,0,95770210,96785210,95770210,96785210,1015000,0,1015000,0,0,0,0,0,0,0,0,0
"AAM",1699894800,9.7,0,0,0,0,0,0,0,0,89565490,70065490,89565490,70065490,0,19500000,0,19500000,0,0,0,0,0,0,0,0
"AAM",1699808400,9.9,51201000,0,51201000,0,0,0,0,0,33258100,84459100,33258100,84459100,0,0,0,0,51201000,0,51201000,0,0,0,0,0
"AAM",1699549200,9.45,0,0,0,0,0,0,0,0,61399010,61399010,61399010,61399010,0,0,0,0,0,0,0,0,0,0,0,0
"AAM",1699462800,9.6,0,0,0,0,0,0,0,0,53475650,53475650,53475650,53475650,0,0,0,0,0,0,0,0,0,0,0,0
"AAM",1699376400,9.55,0,0,0,0,0,0,0,0,35362260,35362260,35362260,35362260,0,0,0,0,0,0,0,0,0,0,0,0
"AAM",1699290000,9.59,0,0,0,0,0,0,0,0,12386000,12386000,12386000,12386000,0,0,0,0,0,0,0,0,0,0,0,0
"AAM",1699203600,9.65,926000,0,926000,0,0,0,0,0,51760100,52686100,51760100,52686100,0,0,0,0,926000,0,926000,0,0,0,0,0
"AAM",1698944400,9.26,0,0,0,0,0,0,0,0,25234000,25234000,25234000,25234000,0,0,0,0,0,0,0,0,0,0,0,0
"ACL",1701363600,12.6,2470000,0,2470000,0,0,0,0,0,351338850,352573850,351338850,352573850,0,1235000,0,1235000,2470000,0,2470000,0,0,0,0,0
"ACL",1701277200,12.7,1250000,0,1250000,0,0,0,0,0,212996500,160746500,212996500,160746500,0,53500000,0,53500000,1250000,0,1250000,0,0,0,0,0
"ACL",1701190800,12.8,61205000,0,61205000,0,0,0,0,0,656026150,717231150,656026150,717231150,0,0,0,0,61205000,0,61205000,0,0,0,0,0
"ACL",1701104400,12,2380000,0,2380000,0,0,0,0,0,186198250,81688250,186198250,81688250,1200000,108090000,1200000,108090000,2380000,0,2380000,0,0,0,0,0
"ACL",1701018000,12.25,0,0,0,0,0,0,0,0,100727750,100727750,100727750,100727750,0,0,0,0,0,0,0,0,0,0,0,0
"ACL",1700758800,12.25,0,0,0,0,0,0,0,0,229660300,228445300,229660300,228445300,0,1215000,0,1215000,0,0,0,0,0,0,0,0
"ACL",1700672400,12.5,1250000,0,1250000,0,0,0,0,0,143805200,132505200,143805200,132505200,0,12550000,0,12550000,1250000,0,1250000,0,0,0,0,0
"ACL",1700586000,12.65,0,0,0,0,0,0,0,0,146208400,142413400,146208400,142413400,0,3795000,0,3795000,0,0,0,0,0,0,0,0
"ACL",1700499600,12.6,1250000,0,1250000,0,0,0,0,0,911507400,911507400,911507400,911507400,0,1250000,0,1250000,1250000,0,1250000,0,0,0,0,0
"ACL",1700413200,12.4,3705000,0,3705000,0,0,0,0,0,180344400,184049400,180344400,184049400,0,0,0,0,3705000,0,3705000,0,0,0,0,0
"ACL",1700154000,12.4,0,0,0,0,0,0,0,0,354720600,354720600,354720600,354720600,0,0,0,0,0,0,0,0,0,0,0,0
"ACL",1700067600,12.6,6175000,0,6175000,0,0,0,0,0,205369650,333534650,205369650,333534650,124500000,2510000,124500000,2510000,6175000,0,6175000,0,0,0,0,0
"ACL",1699981200,12.6,1255000,81250000,1255000,81250000,0,0,0,0,640768200,555733200,640768200,555733200,0,5040000,0,5040000,1255000,81250000,1255000,81250000,0,0,0,0
