┌─────────┬───────┬───────┬───────┬───────┬─────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬──────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼─────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼──────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 25300 │ 25300 │ 25300 │ 25300 │ 500 │ 12650000 │    500    │   500   │ 12650000 │ 12650000  │ 1678354800000 │ '2023-03-09T09:40:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 450 │ 58.3 │ 41.7 │ 12  │   0   │     0     │ 11243333.3 │ 1365833.3  │     0     │       0       │      0      │      0      │   0   │     │          │     │      │          │     │
│    1    │ 23200 │ 23200 │ 23200 │ 23200 │     │          │    700    │   200   │ 4640000  │ 17290000  │ 1678355400000 │ '2023-03-09T09:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 450 │ 58.3 │ 41.7 │     │ -200  │ -4640000  │ 11243333.3 │ 1365833.3  │   -200    │   -4640000    │      0      │   4640000   │ -0.5  │ 200 │ 4640000  │ 3.4 │      │          │     │
│    2    │ 25300 │ 25300 │ 25300 │ 25300 │     │          │    900    │   200   │ 5060000  │ 22350000  │ 1678368900000 │ '2023-03-09T13:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 450 │ 58.3 │ 41.7 │     │  200  │  5060000  │ 11243333.3 │ 1365833.3  │     0     │    420000     │   5060000   │   4640000   │  0.5  │     │          │     │ 200  │ 5060000  │ 0.4 │
│    3    │ 25200 │ 25200 │ 25200 │ 25200 │     │          │   1100    │   200   │ 5040000  │ 27390000  │ 1678369200000 │ '2023-03-09T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 450 │ 58.3 │ 41.7 │     │  200  │  5040000  │ 11243333.3 │ 1365833.3  │    200    │    5460000    │  10100000   │   4640000   │  0.5  │     │          │     │ 200  │ 5040000  │ 0.4 │
│    4    │ 24800 │ 24800 │ 24800 │ 24800 │     │          │   1200    │   100   │ 2480000  │ 29870000  │ 1678370400000 │ '2023-03-09T14:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 450 │ 58.3 │ 41.7 │     │  100  │  2480000  │ 11243333.3 │ 1365833.3  │    300    │    7940000    │  12580000   │   4640000   │  0.3  │     │          │     │ 100  │ 2480000  │ 0.2 │
│    5    │ 23500 │ 23500 │ 23500 │ 23500 │     │          │   1700    │   500   │ 11750000 │ 41620000  │ 1678371000000 │ '2023-03-09T14:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 450 │ 58.3 │ 41.7 │     │ -500  │ -11750000 │ 11243333.3 │ 1365833.3  │   -200    │   -3810000    │  12580000   │  16390000   │ -1.2  │ 500 │ 11750000 │ 8.6 │      │          │     │
│    6    │ 24800 │ 24800 │ 24700 │ 24700 │     │          │   3600    │  1900   │ 47020000 │ 88640000  │ 1678371600000 │ '2023-03-09T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 450 │ 58.3 │ 41.7 │     │ 1900  │ 47020000  │ 11243333.3 │ 1365833.3  │   1700    │   43210000    │  59600000   │  16390000   │  4.8  │     │          │     │ 1900 │ 47020000 │ 4.2 │
│    7    │ 24900 │ 24900 │ 24900 │ 24900 │     │          │   4700    │  1100   │ 27390000 │ 116030000 │ 1678371900000 │ '2023-03-09T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 450 │ 58.3 │ 41.7 │     │ 1100  │ 27390000  │ 11243333.3 │ 1365833.3  │   2800    │   70600000    │  86990000   │  16390000   │  2.8  │     │          │     │ 1100 │ 27390000 │ 2.4 │
│    8    │ 25000 │ 25000 │ 25000 │ 25000 │     │          │   5300    │   600   │ 15000000 │ 131030000 │ 1678372500000 │ '2023-03-09T14:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 450 │ 58.3 │ 41.7 │     │  600  │ 15000000  │ 11243333.3 │ 1365833.3  │   3400    │   85600000    │  101990000  │  16390000   │  1.5  │     │          │     │ 600  │ 15000000 │ 1.3 │
│    9    │ 25100 │ 25100 │ 25100 │ 25100 │     │          │   5500    │   200   │ 5020000  │ 136050000 │ 1678372800000 │ '2023-03-09T14:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 450 │ 58.3 │ 41.7 │     │  200  │  5020000  │ 11243333.3 │ 1365833.3  │   3600    │   90620000    │  107010000  │  16390000   │  0.5  │     │          │     │ 200  │ 5020000  │ 0.4 │
│   10    │ 25300 │ 25300 │ 25300 │ 25300 │     │          │   5900    │   400   │ 10120000 │ 146170000 │ 1678373100000 │ '2023-03-09T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 450 │ 58.3 │ 41.7 │     │  400  │ 10120000  │ 11243333.3 │ 1365833.3  │   4000    │   100740000   │  117130000  │  16390000   │   1   │     │          │     │ 400  │ 10120000 │ 0.9 │
