"acum_busd","acum_busd_val","acum_val","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
-164600,737289700,61158630400,1521300,-164600,737289700,"2022-12-26T09:14:00.000Z",1672046040000,1685900,4324500,4324500,1117300,61158630400,23789581200,23052291500,14316757700
-88900,109026800,101149820500,1398700,75700,-628262900,"2022-12-26T09:16:00.000Z",1672046160000,1323000,2747700,7072200,26000,39991190100,19490041600,20118304500,382844000
-3800,173540500,137725161200,1226200,85100,64513700,"2022-12-26T09:18:00.000Z",1672046280000,1141100,2407000,9479200,39700,36575340700,17927632200,17863118500,784590000
120000,4294572500,177824566200,1308000,123800,4121032000,"2022-12-26T09:20:00.000Z",1672046400000,1184200,2528600,12007800,36400,40099405000,21707641000,17586609000,805155000
473100,8443197400,208378979300,1293300,353100,4148624900,"2022-12-26T09:22:00.000Z",1672046520000,940200,2249800,14257600,16300,30554413100,17237469000,13088844100,228100000
-87800,4192485400,231544196300,613000,-560900,-4250712000,"2022-12-26T09:24:00.000Z",1672046640000,1173900,1805500,16063100,18600,23165217000,9351154600,13601866600,212195800
-738500,-4075958500,261012274400,682500,-650700,-8268443900,"2022-12-26T09:26:00.000Z",1672046760000,1333200,2023700,18086800,8000,29468078100,10544818100,18813262000,109998000
-1779700,-21354501000,299189294100,850800,-1041200,-17278542500,"2022-12-26T09:28:00.000Z",1672046880000,1892000,2759300,20846100,16500,38177019700,10345636100,27624178600,207205000
-4170200,-57695301800,354295062900,831900,-2390500,-36340800800,"2022-12-26T09:30:00.000Z",1672047000000,3222400,4055700,24901800,1400,55105768800,9375694800,45716495600,13578400
-4708400,-64127662400,403512917300,1530500,-538200,-6432360600,"2022-12-26T09:32:00.000Z",1672047120000,2068700,3614300,28516100,15100,49217854400,21282233400,27714594000,221027000
-5350500,-72727726400,439144589500,1022400,-642100,-8600064000,"2022-12-26T09:34:00.000Z",1672047240000,1664500,2692600,31208700,5700,35631672200,13502540100,22102604100,26528000
-5673000,-77340292000,471282014300,1027700,-322500,-4612565600,"2022-12-26T09:36:00.000Z",1672047360000,1350200,2387800,33596500,9900,32137424800,13697134600,18309700200,130590000
-6306800,-84822809700,508060273300,1003800,-633800,-7482517700,"2022-12-26T09:38:00.000Z",1672047480000,1637600,2658200,36254700,16800,36778259000,14519450100,22001967800,256841100
-9258500,-131806671800,579381442700,976700,-2951700,-46983862100,"2022-12-26T09:40:00.000Z",1672047600000,3928400,4921500,41176200,16400,71321169400,11997473200,58981335300,342360900
-11600000,-166652870200,631987968300,805600,-2341500,-34846198400,"2022-12-26T09:42:00.000Z",1672047720000,3147100,3974200,45150400,21500,52606525600,8770120900,43616319300,220085400
-13046400,-191665059500,698859526800,1436100,-1446400,-25012189300,"2022-12-26T09:44:00.000Z",1672047840000,2882500,4339800,49490200,21200,66871558500,20754340600,45766529900,350688000
-14446000,-214160682000,755181434900,1121400,-1399600,-22495622500,"2022-12-26T09:46:00.000Z",1672047960000,2521000,3647400,53137600,5000,56321908100,16887476300,39383098800,51333000
-13586100,-203028526500,797283086000,1991800,859900,11132155500,"2022-12-26T09:48:00.000Z",1672048080000,1131900,3127400,56265000,3700,42101651100,26581937800,15449782300,69931000
-12430800,-186344435200,842759433600,2064200,1155300,16684091300,"2022-12-26T09:50:00.000Z",1672048200000,908900,2989500,59254500,16400,45476347600,30933478900,14249387600,293481100
-12057900,-185523073500,886493120500,1574700,372900,821361700,"2022-12-26T09:52:00.000Z",1672048320000,1201800,2829000,62083500,52500,43733686900,22012068100,21190706400,530912399.99999994
-12298600,-184739966300,918098630700,1007000,-240700,783107200,"2022-12-26T09:54:00.000Z",1672048440000,1247700,2272700,64356200,18000,31605510200,16030617700,15247510500,327382000
-12085400,-183507712800,940009730600,852200,213200,1232253500,"2022-12-26T09:56:00.000Z",1672048560000,639000,1502600,65858800,11400,21911099900,11490431700,10258178200,162490000
-11867000,-185702675700,972507669300,1200200,218400,-2194962900,"2022-12-26T09:58:00.000Z",1672048680000,981800,2201900,68060700,19900,32497938700,15017175900,17212138800,268624000
-12478600,-197855209900,1007219736900,822900,-611600,-12152534200,"2022-12-26T10:00:00.000Z",1672048800000,1434500,2257600,70318300,200,34712067600,11271776700,23424310900,15980000.000000002
-12793500,-201367605400,1031852992400,649700,-314900,-3512395500,"2022-12-26T10:02:00.000Z",1672048920000,964600,1624800,71943100,10500,24633255500,10465672500,13978068000,189515000
-13123600,-204118193300,1058059493900,690800,-330100,-2750587900,"2022-12-26T10:04:00.000Z",1672049040000,1020900,1718700,73661800,7000,26206501500,11660948800,14411536700,134016000
-12892400,-200512722600,1083300153200,858000,231200,3605470700,"2022-12-26T10:06:00.000Z",1672049160000,626800,1495600,75157400,10800,25240659300,14400231500,10794760800,45667000
-12406700,-190731144500,1113399295300,1114100,485700,9781578100,"2022-12-26T10:08:00.000Z",1672049280000,628400,1743400,76900800,900,30099142100,19934655100,10153077000,11410000
-12280400,-190350591100,1145410034600,1021300,126300,380553400,"2022-12-26T10:10:00.000Z",1672049400000,895000,1920200,78821000,3900,32010739300,16172448700,15791895300,46395300
-12950400,-203371841100,1178205680600,664800,-670000,-13021250000,"2022-12-26T10:12:00.000Z",1672049520000,1334800,2009800,80830800,10200,32795646000,9806568500,22827818500,161259000
-13363200,-209139194700,1198575678000,455300,-412800,-5767353600,"2022-12-26T10:14:00.000Z",1672049640000,868100,1328400,82159200,5000,20369997400,7267196900,13034550500,68250000
-14248700,-227707001900,1235359309800,779700,-885500,-18567807200,"2022-12-26T10:16:00.000Z",1672049760000,1665200,2452200,84611400,7300,36783631800,9056655800,27624463000,102513000
