┌─────────┬───────┬───────┬───────┬───────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬───────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  uk  │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │  asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  sd  │  val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼───────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 11.15 │ 11.15 │ 11.15 │ 11.15 │ 1000 │ 11150000 │   1000    │  1000   │ 11150000 │ 11150000  │ 1671441300000 │ '2022-12-19T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1266.7 │ 166.7 │ 83.3 │ 12  │   0   │     0     │  14212500  │ 1383791.7  │     0     │       0       │      0      │      0      │   0   │      │          │     │      │          │     │
│    1    │ 11.5  │ 11.5  │ 11.2  │ 11.2  │      │          │   2300    │  1300   │ 14660000 │ 25810000  │ 1671441900000 │ '2022-12-19T09:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1266.7 │ 166.7 │ 83.3 │     │ 1300  │ 14660000  │  14212500  │ 1383791.7  │   1300    │   14660000    │  14660000   │      0      │  1.1  │ 1300 │ 14660000 │  1  │      │          │     │
│    2    │ 11.4  │ 11.4  │ 11.4  │ 11.4  │      │          │   3300    │  1000   │ 11400000 │ 37210000  │ 1671442200000 │ '2022-12-19T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1266.7 │ 166.7 │ 83.3 │     │ 1000  │ 11400000  │  14212500  │ 1383791.7  │   2300    │   26060000    │  26060000   │      0      │  0.9  │ 1000 │ 11400000 │ 0.8 │      │          │     │
│    3    │ 11.2  │ 11.2  │ 11.2  │ 11.2  │      │          │   6300    │  3000   │ 33600000 │ 70810000  │ 1671446100000 │ '2022-12-19T10:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1266.7 │ 166.7 │ 83.3 │     │ 3000  │ 33600000  │  14212500  │ 1383791.7  │   5300    │   59660000    │  59660000   │      0      │  2.6  │ 3000 │ 33600000 │ 2.4 │      │          │     │
│    4    │ 11.2  │ 11.2  │ 11.2  │ 11.2  │      │          │   8200    │  1900   │ 21280000 │ 92090000  │ 1671447300000 │ '2022-12-19T10:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1266.7 │ 166.7 │ 83.3 │     │ 1900  │ 21280000  │  14212500  │ 1383791.7  │   7200    │   80940000    │  80940000   │      0      │  1.7  │ 1900 │ 21280000 │ 1.5 │      │          │     │
│    5    │ 11.2  │ 11.2  │ 11.2  │ 11.2  │      │          │   8300    │   100   │ 1120000  │ 93210000  │ 1671447600000 │ '2022-12-19T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1266.7 │ 166.7 │ 83.3 │     │  100  │  1120000  │  14212500  │ 1383791.7  │   7300    │   82060000    │  82060000   │      0      │  0.1  │ 100  │ 1120000  │ 0.1 │      │          │     │
│    6    │ 11.1  │ 11.1  │ 11.1  │ 11.1  │      │          │   8800    │   500   │ 5550000  │ 98760000  │ 1671449100000 │ '2022-12-19T11:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1266.7 │ 166.7 │ 83.3 │     │ -500  │ -5550000  │  14212500  │ 1383791.7  │   6800    │   76510000    │  82060000   │   5550000   │ -0.4  │      │          │     │ 500  │ 5550000  │  3  │
│    7    │  11   │ 11.05 │  11   │ 11.05 │      │          │   10300   │  1500   │ 11055500 │ 109815500 │ 1671454800000 │ '2022-12-19T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1266.7 │ 166.7 │ 83.3 │     │ -1500 │ -11055500 │  14212500  │ 1383791.7  │   5300    │   65454500    │  82060000   │  16605500   │ -0.9  │      │          │     │ 1500 │ 11055500 │  9  │
│    8    │ 11.2  │ 11.2  │ 11.2  │ 11.2  │      │          │   12600   │  2300   │ 25760000 │ 135575500 │ 1671455100000 │ '2022-12-19T13:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1266.7 │ 166.7 │ 83.3 │     │ 2300  │ 25760000  │  14212500  │ 1383791.7  │   7600    │   91214500    │  107820000  │  16605500   │   2   │ 2300 │ 25760000 │ 1.8 │      │          │     │
│    9    │ 11.25 │ 11.25 │ 11.2  │ 11.2  │      │          │   13100   │   500   │ 5610000  │ 141185500 │ 1671455700000 │ '2022-12-19T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1266.7 │ 166.7 │ 83.3 │     │  500  │  5610000  │  14212500  │ 1383791.7  │   8100    │   96824500    │  113430000  │  16605500   │  0.4  │ 500  │ 5610000  │ 0.4 │      │          │     │
│   10    │ 11.2  │ 11.2  │ 11.2  │ 11.2  │      │          │   18100   │  5000   │ 56000000 │ 197185500 │ 1671459000000 │ '2022-12-19T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1266.7 │ 166.7 │ 83.3 │     │ 5000  │ 56000000  │  14212500  │ 1383791.7  │   13100   │   152824500   │  169430000  │  16605500   │  4.4  │ 5000 │ 56000000 │ 3.9 │      │          │     │
