┌─────────┬────┬────┬────┬────┬──────┬────────┬───────────┬─────────┬───────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬────────┬─────┬─────┬────────┬─────┐
│ (index) │ c  │ h  │ l  │ o  │  uk  │ val_uk │ total_vol │ sum_vol │  val  │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │ val_bu │ rbu │ sd  │ val_sd │ rsd │
├─────────┼────┼────┼────┼────┼──────┼────────┼───────────┼─────────┼───────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼────────┼─────┼─────┼────────┼─────┤
│    0    │ 35 │ 35 │ 35 │ 35 │ 1000 │ 35000  │   1000    │  1000   │ 35000 │  35000   │ 1671441840000 │ '2022-12-19T09:24:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 440 │ 50  │ 100 │ 10  │   0   │     0     │   15400    │    1690    │     0     │       0       │      0      │      0      │   0   │      │        │     │     │        │     │
│    1    │ 35 │ 35 │ 35 │ 35 │      │        │   1100    │   100   │ 3500  │  38500   │ 1671446280000 │ '2022-12-19T10:38:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 440 │ 50  │ 100 │     │  100  │   3500    │   15400    │    1690    │    100    │     3500      │    3500     │      0      │  0.3  │ 100  │  3500  │ 0.2 │     │        │     │
│    2    │ 33 │ 33 │ 33 │ 33 │      │        │   1200    │   100   │ 3300  │  41800   │ 1671447600000 │ '2022-12-19T11:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 440 │ 50  │ 100 │     │ -100  │   -3300   │   15400    │    1690    │     0     │      200      │    3500     │    3300     │  0.2  │      │        │     │ 100 │  3300  │  2  │
│    3    │ 35 │ 35 │ 35 │ 35 │      │        │   1300    │   100   │ 3500  │  45300   │ 1671455520000 │ '2022-12-19T13:12:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 440 │ 50  │ 100 │     │  100  │   3500    │   15400    │    1690    │    100    │     3700      │    7000     │    3300     │  0.3  │ 100  │  3500  │ 0.2 │     │        │     │
│    4    │ 35 │ 35 │ 35 │ 35 │      │        │   1500    │   200   │ 7000  │  52300   │ 1671455880000 │ '2022-12-19T13:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 440 │ 50  │ 100 │     │  200  │   7000    │   15400    │    1690    │    300    │     10700     │    14000    │    3300     │  0.5  │ 200  │  7000  │ 0.5 │     │        │     │
│    5    │ 35 │ 35 │ 35 │ 35 │      │        │   2500    │  1000   │ 35000 │  87300   │ 1671459240000 │ '2022-12-19T14:14:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 440 │ 50  │ 100 │     │ 1000  │   35000   │   15400    │    1690    │   1300    │     45700     │    49000    │    3300     │  2.6  │ 1000 │ 35000  │ 2.3 │     │        │     │
│    6    │ 35 │ 35 │ 35 │ 35 │      │        │   3500    │  1000   │ 35000 │  122300  │ 1671459720000 │ '2022-12-19T14:22:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 440 │ 50  │ 100 │     │ 1000  │   35000   │   15400    │    1690    │   2300    │     80700     │    84000    │    3300     │  2.6  │ 1000 │ 35000  │ 2.3 │     │        │     │
│    7    │ 35 │ 35 │ 35 │ 35 │      │        │   5000    │  1500   │ 52500 │  174800  │ 1671460800000 │ '2022-12-19T14:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 440 │ 50  │ 100 │     │ 1500  │   52500   │   15400    │    1690    │   3800    │    133200     │   136500    │    3300     │  3.8  │ 1500 │ 52500  │ 3.4 │     │        │     │
│    8    │ 35 │ 35 │ 35 │ 35 │      │        │   5500    │   500   │ 17500 │  192300  │ 1671461160000 │ '2022-12-19T14:46:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 440 │ 50  │ 100 │     │  500  │   17500   │   15400    │    1690    │   4300    │    150700     │   154000    │    3300     │  1.3  │ 500  │ 17500  │ 1.1 │     │        │     │
│    9    │ 34 │ 34 │ 34 │ 34 │      │        │   5900    │   400   │ 13600 │  205900  │ 1671461640000 │ '2022-12-19T14:54:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 440 │ 50  │ 100 │     │ -400  │  -13600   │   15400    │    1690    │   3900    │    137100     │   154000    │    16900    │   1   │      │        │     │ 400 │ 13600  │  8  │
└─────────┴────┴────┴────┴────┴──────┴────────┴───────────┴─────────┴───────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴────────┴─────┴─────┴────────┴─────┘

