┌─────────┬──────┬──────┬──────┬──────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬─────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  sd  │  val_sd  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd │ auk  │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  uk  │ val_uk  │ ruk │
├─────────┼──────┼──────┼──────┼──────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼─────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼─────────┼─────┤
│    0    │ 8000 │ 8000 │ 8000 │ 8000 │ 2000 │ 16000000 │   2000    │  2000   │ 16000000 │ 16000000  │ 1677576000000 │ '2023-02-28T09:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 927.3 │ 200 │ 90.9 │ 10  │ -2000 │ -16000000 │ 7418181.8  │  1600000   │   -2000   │   -16000000   │      0      │  16000000   │ -2.7  │      │          │     │      │         │     │
│    1    │ 8000 │ 8000 │ 8000 │ 8000 │      │          │   2500    │   500   │ 4000000  │ 20000000  │ 1677576900000 │ '2023-02-28T09:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 927.3 │ 200 │ 90.9 │     │  500  │  4000000  │ 7418181.8  │  1600000   │   -1500   │   -12000000   │   4000000   │  16000000   │  0.7  │ 500  │ 4000000  │ 0.5 │      │         │     │
│    2    │ 8000 │ 8000 │ 8000 │ 8000 │      │          │   3000    │   500   │ 4000000  │ 24000000  │ 1677577200000 │ '2023-02-28T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 927.3 │ 200 │ 90.9 │     │  500  │  4000000  │ 7418181.8  │  1600000   │   -1000   │   -8000000    │   8000000   │  16000000   │  0.7  │ 500  │ 4000000  │ 0.5 │      │         │     │
│    3    │ 8000 │ 8000 │ 8000 │ 8000 │      │          │   4500    │  1500   │ 12000000 │ 36000000  │ 1677577500000 │ '2023-02-28T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 927.3 │ 200 │ 90.9 │     │ 1500  │ 12000000  │ 7418181.8  │  1600000   │    500    │    4000000    │  20000000   │  16000000   │  2.1  │ 1500 │ 12000000 │ 1.6 │      │         │     │
│    4    │ 8000 │ 8000 │ 8000 │ 8000 │      │          │   9500    │  5000   │ 40000000 │ 76000000  │ 1677578400000 │ '2023-02-28T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 927.3 │ 200 │ 90.9 │     │ 5000  │ 40000000  │ 7418181.8  │  1600000   │   5500    │   44000000    │  60000000   │  16000000   │  6.9  │ 5000 │ 40000000 │ 5.4 │      │         │     │
│    5    │ 8000 │ 8000 │ 8000 │ 8000 │      │          │   10000   │   500   │ 4000000  │ 80000000  │ 1677578700000 │ '2023-02-28T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 927.3 │ 200 │ 90.9 │     │  500  │  4000000  │ 7418181.8  │  1600000   │   6000    │   48000000    │  64000000   │  16000000   │  0.7  │ 500  │ 4000000  │ 0.5 │      │         │     │
│    6    │ 8000 │ 8000 │ 8000 │ 8000 │      │          │   11000   │  1000   │ 8000000  │ 88000000  │ 1677579000000 │ '2023-02-28T10:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 927.3 │ 200 │ 90.9 │     │ 1000  │  8000000  │ 7418181.8  │  1600000   │   7000    │   56000000    │  72000000   │  16000000   │  1.4  │ 1000 │ 8000000  │ 1.1 │      │         │     │
│    7    │ 8000 │ 8000 │ 8000 │ 8000 │      │          │   12000   │  1000   │ 8000000  │ 96000000  │ 1677579600000 │ '2023-02-28T10:20:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 927.3 │ 200 │ 90.9 │     │   0   │     0     │ 7418181.8  │  1600000   │   7000    │   56000000    │  72000000   │  16000000   │   0   │      │          │     │ 1000 │ 8000000 │ 11  │
│    8    │ 8000 │ 8000 │ 8000 │ 8000 │ 200  │ 1600000  │   12200   │   200   │ 1600000  │ 97600000  │ 1677594600000 │ '2023-02-28T14:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 927.3 │ 200 │ 90.9 │  1  │ -200  │ -1600000  │ 7418181.8  │  1600000   │   6800    │   54400000    │  72000000   │  17600000   │ -0.3  │      │          │     │      │         │     │
│    9    │ 8000 │ 8000 │ 8000 │ 8000 │      │          │   13200   │  1000   │ 8000000  │ 105600000 │ 1677595200000 │ '2023-02-28T14:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 927.3 │ 200 │ 90.9 │     │ 1000  │  8000000  │ 7418181.8  │  1600000   │   7800    │   62400000    │  80000000   │  17600000   │  1.4  │ 1000 │ 8000000  │ 1.1 │      │         │     │
│   10    │ 8000 │ 8000 │ 8000 │ 8000 │      │          │   13400   │   200   │ 1600000  │ 107200000 │ 1677595500000 │ '2023-02-28T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 927.3 │ 200 │ 90.9 │     │  200  │  1600000  │ 7418181.8  │  1600000   │   8000    │   64000000    │  81600000   │  17600000   │  0.3  │ 200  │ 1600000  │ 0.2 │      │         │     │
