┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬───────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ bu  │ val_bu  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd  │ auk │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼───────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┤
│    0    │ 23600 │ 23600 │ 23600 │ 23600 │ 300 │ 7080000 │    300    │   300   │ 7080000  │ 7080000  │ 1677579900000 │ '2023-02-28T10:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 33.3 │ 344.4 │  0  │  9  │  300  │  7080000  │  786666.7  │ 8128888.9  │    300    │    7080000    │   7080000   │      0      │  -1   │      │          │     │
│    1    │ 23600 │ 23600 │ 23600 │ 23600 │     │         │    500    │   200   │ 4720000  │ 11800000 │ 1677580200000 │ '2023-02-28T10:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 344.4 │  0  │     │ -200  │ -4720000  │  786666.7  │ 8128888.9  │    100    │    2360000    │   7080000   │   4720000   │  0.6  │ 200  │ 4720000  │ 0.6 │
│    2    │ 23600 │ 23600 │ 23600 │ 23600 │     │         │    600    │   100   │ 2360000  │ 14160000 │ 1677583500000 │ '2023-02-28T11:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 344.4 │  0  │     │ -100  │ -2360000  │  786666.7  │ 8128888.9  │     0     │       0       │   7080000   │   7080000   │  0.3  │ 100  │ 2360000  │ 0.3 │
│    3    │ 23600 │ 23600 │ 23600 │ 23600 │     │         │    900    │   300   │ 7080000  │ 21240000 │ 1677590700000 │ '2023-02-28T13:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 344.4 │  0  │     │ -300  │ -7080000  │  786666.7  │ 8128888.9  │   -300    │   -7080000    │   7080000   │  14160000   │   1   │ 300  │ 7080000  │ 0.9 │
│    4    │ 23600 │ 23600 │ 23600 │ 23600 │     │         │   1900    │  1000   │ 23600000 │ 44840000 │ 1677591900000 │ '2023-02-28T13:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 344.4 │  0  │     │ -1000 │ -23600000 │  786666.7  │ 8128888.9  │   -1300   │   -30680000   │   7080000   │  37760000   │  3.2  │ 1000 │ 23600000 │ 2.9 │
│    5    │ 23600 │ 23600 │ 23600 │ 23600 │     │         │   2000    │   100   │ 2360000  │ 47200000 │ 1677592200000 │ '2023-02-28T13:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 344.4 │  0  │     │ -100  │ -2360000  │  786666.7  │ 8128888.9  │   -1400   │   -33040000   │   7080000   │  40120000   │  0.3  │ 100  │ 2360000  │ 0.3 │
│    6    │ 23600 │ 23600 │ 23600 │ 23600 │     │         │   2100    │   100   │ 2360000  │ 49560000 │ 1677594000000 │ '2023-02-28T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 344.4 │  0  │     │ -100  │ -2360000  │  786666.7  │ 8128888.9  │   -1500   │   -35400000   │   7080000   │  42480000   │  0.3  │ 100  │ 2360000  │ 0.3 │
│    7    │ 23600 │ 23600 │ 23600 │ 23600 │     │         │   3100    │  1000   │ 23600000 │ 73160000 │ 1677594600000 │ '2023-02-28T14:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 344.4 │  0  │     │ -1000 │ -23600000 │  786666.7  │ 8128888.9  │   -2500   │   -59000000   │   7080000   │  66080000   │  3.2  │ 1000 │ 23600000 │ 2.9 │
│    8    │ 23600 │ 23600 │ 23600 │ 23600 │     │         │   3400    │   300   │ 7080000  │ 80240000 │ 1677595200000 │ '2023-02-28T14:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 33.3 │ 344.4 │  0  │     │ -300  │ -7080000  │  786666.7  │ 8128888.9  │   -2800   │   -66080000   │   7080000   │  73160000   │   1   │ 300  │ 7080000  │ 0.9 │
└─────────┴───────┴───────┴───────┴───────┴─────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴──────┴───────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┘

