┌─────────┬──────┬──────┬──────┬──────┬──────┬──────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬──────┬──────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬─────────┬──────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  bu  │  val_bu  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk  │ rbu  │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ uk  │ val_uk  │ ruk  │  sd  │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼──────┼──────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼──────┼──────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼─────────┼──────┼──────┼──────────┼─────┤
│    0    │ 9400 │ 9400 │ 9400 │ 9400 │ 200  │ 1880000  │    200    │   200   │ 1880000  │ 1880000  │ 1677575700000 │ '2023-02-28T09:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 115.4 │ 515.4 │ 61.5 │ 1.7  │  200  │  1880000  │ 1084615.4  │ 4576153.8  │    200    │    1880000    │   1880000   │      0      │ -0.5  │     │         │      │      │          │     │
│    1    │ 9400 │ 9400 │ 9400 │ 9400 │ 1300 │ 12220000 │   1500    │  1300   │ 12220000 │ 14100000 │ 1677576600000 │ '2023-02-28T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 115.4 │ 515.4 │ 61.5 │ 11.3 │ 1300  │ 12220000  │ 1084615.4  │ 4576153.8  │   1500    │   14100000    │  14100000   │      0      │ -3.5  │     │         │      │      │          │     │
│    2    │ 8800 │ 8800 │ 8800 │ 8800 │      │          │   1600    │   100   │  880000  │ 14980000 │ 1677577200000 │ '2023-02-28T09:40:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 115.4 │ 515.4 │ 61.5 │      │   0   │     0     │ 1084615.4  │ 4576153.8  │   1500    │   14100000    │  14100000   │      0      │  -0   │ 100 │ 880000  │ 1.6  │      │          │     │
│    3    │ 8900 │ 8900 │ 8900 │ 8900 │      │          │   1900    │   300   │ 2670000  │ 17650000 │ 1677579300000 │ '2023-02-28T10:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 515.4 │ 61.5 │      │ -300  │ -2670000  │ 1084615.4  │ 4576153.8  │   1200    │   11430000    │  14100000   │   2670000   │  0.8  │     │         │      │ 300  │ 2670000  │ 0.6 │
│    4    │ 8900 │ 8900 │ 8900 │ 8900 │      │          │   2600    │   700   │ 6230000  │ 23880000 │ 1677579900000 │ '2023-02-28T10:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 515.4 │ 61.5 │      │ -700  │ -6230000  │ 1084615.4  │ 4576153.8  │    500    │    5200000    │  14100000   │   8900000   │  1.8  │     │         │      │ 700  │ 6230000  │ 1.4 │
│    5    │ 8900 │ 8900 │ 8900 │ 8900 │      │          │   3400    │   800   │ 7120000  │ 31000000 │ 1677580800000 │ '2023-02-28T10:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 515.4 │ 61.5 │      │ -800  │ -7120000  │ 1084615.4  │ 4576153.8  │   -300    │   -1920000    │  14100000   │  16020000   │   2   │     │         │      │ 800  │ 7120000  │ 1.6 │
│    6    │ 8900 │ 8900 │ 8900 │ 8900 │      │          │   4400    │  1000   │ 8900000  │ 39900000 │ 1677582000000 │ '2023-02-28T11:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 515.4 │ 61.5 │      │ -1000 │ -8900000  │ 1084615.4  │ 4576153.8  │   -1300   │   -10820000   │  14100000   │  24920000   │  2.5  │     │         │      │ 1000 │ 8900000  │ 1.9 │
│    7    │ 8900 │ 8900 │ 8900 │ 8900 │      │          │   6900    │  2500   │ 22250000 │ 62150000 │ 1677582900000 │ '2023-02-28T11:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 515.4 │ 61.5 │      │ -2500 │ -22250000 │ 1084615.4  │ 4576153.8  │   -3800   │   -33070000   │  14100000   │  47170000   │  6.4  │     │         │      │ 2500 │ 22250000 │ 4.9 │
│    8    │ 8800 │ 8800 │ 8800 │ 8800 │      │          │   7000    │   100   │  880000  │ 63030000 │ 1677589800000 │ '2023-02-28T13:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 515.4 │ 61.5 │      │ -100  │  -880000  │ 1084615.4  │ 4576153.8  │   -3900   │   -33950000   │  14100000   │  48050000   │  0.3  │     │         │      │ 100  │  880000  │ 0.2 │
│    9    │ 8800 │ 8800 │ 8800 │ 8800 │      │          │   7700    │   700   │ 6160000  │ 69190000 │ 1677590400000 │ '2023-02-28T13:20:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 115.4 │ 515.4 │ 61.5 │      │   0   │     0     │ 1084615.4  │ 4576153.8  │   -3900   │   -33950000   │  14100000   │  48050000   │  -0   │ 700 │ 6160000 │ 11.4 │      │          │     │
│   10    │ 8800 │ 8800 │ 8800 │ 8800 │      │          │   8200    │   500   │ 4400000  │ 73590000 │ 1677592500000 │ '2023-02-28T13:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 515.4 │ 61.5 │      │ -500  │ -4400000  │ 1084615.4  │ 4576153.8  │   -4400   │   -38350000   │  14100000   │  52450000   │  1.3  │     │         │      │ 500  │ 4400000  │  1  │
