┌─────────┬──────┬──────┬──────┬──────┬──────┬──────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  uk  │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │  auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  sd  │ val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼──────┼──────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼─────────┼─────┤
│    0    │ 6700 │ 6700 │ 6700 │ 6700 │ 3000 │ 20100000 │   3000    │  3000   │ 20100000 │ 20100000 │ 1677576600000 │ '2023-02-28T09:30:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 811.1 │ 244.4 │ 333.3 │  9  │   0   │     0     │ 5598888.9  │ 1686666.7  │     0     │       0       │      0      │      0      │   0   │      │          │     │      │         │     │
│    1    │ 7000 │ 7000 │ 6900 │ 6900 │      │          │   3200    │   200   │ 1390000  │ 21490000 │ 1677576900000 │ '2023-02-28T09:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 811.1 │ 244.4 │ 333.3 │     │  200  │  1390000  │ 5598888.9  │ 1686666.7  │    200    │    1390000    │   1390000   │      0      │  0.4  │ 200  │ 1390000  │ 0.2 │      │         │     │
│    2    │ 7000 │ 7000 │ 7000 │ 7000 │      │          │   3300    │   100   │  700000  │ 22190000 │ 1677577500000 │ '2023-02-28T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 811.1 │ 244.4 │ 333.3 │     │  100  │  700000   │ 5598888.9  │ 1686666.7  │    300    │    2090000    │   2090000   │      0      │  0.2  │ 100  │  700000  │ 0.1 │      │         │     │
│    3    │ 6900 │ 6900 │ 6900 │ 6900 │      │          │   4300    │  1000   │ 6900000  │ 29090000 │ 1677580800000 │ '2023-02-28T10:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 811.1 │ 244.4 │ 333.3 │     │ -1000 │ -6900000  │ 5598888.9  │ 1686666.7  │   -700    │   -4810000    │   2090000   │   6900000   │ -1.8  │      │          │     │ 1000 │ 6900000 │ 4.1 │
│    4    │ 6900 │ 6900 │ 6900 │ 6900 │      │          │   4800    │   500   │ 3450000  │ 32540000 │ 1677581100000 │ '2023-02-28T10:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 811.1 │ 244.4 │ 333.3 │     │ -500  │ -3450000  │ 5598888.9  │ 1686666.7  │   -1200   │   -8260000    │   2090000   │  10350000   │ -0.9  │      │          │     │ 500  │ 3450000 │  2  │
│    5    │ 6900 │ 6900 │ 6900 │ 6900 │      │          │   4900    │   100   │  690000  │ 33230000 │ 1677582300000 │ '2023-02-28T11:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 811.1 │ 244.4 │ 333.3 │     │ -100  │  -690000  │ 5598888.9  │ 1686666.7  │   -1300   │   -8950000    │   2090000   │  11040000   │ -0.2  │      │          │     │ 100  │ 690000  │ 0.4 │
│    6    │ 6900 │ 6900 │ 6900 │ 6900 │      │          │   11900   │  7000   │ 48300000 │ 81530000 │ 1677582600000 │ '2023-02-28T11:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 811.1 │ 244.4 │ 333.3 │     │ 7000  │ 48300000  │ 5598888.9  │ 1686666.7  │   5700    │   39350000    │  50390000   │  11040000   │ 12.3  │ 7000 │ 48300000 │ 8.6 │      │         │     │
│    7    │ 6900 │ 6900 │ 6900 │ 6900 │      │          │   12400   │   500   │ 3450000  │ 84980000 │ 1677590700000 │ '2023-02-28T13:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 811.1 │ 244.4 │ 333.3 │     │ -500  │ -3450000  │ 5598888.9  │ 1686666.7  │   5200    │   35900000    │  50390000   │  14490000   │ -0.9  │      │          │     │ 500  │ 3450000 │  2  │
│    8    │ 6900 │ 6900 │ 6900 │ 6900 │      │          │   12500   │   100   │  690000  │ 85670000 │ 1677594300000 │ '2023-02-28T14:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 811.1 │ 244.4 │ 333.3 │     │ -100  │  -690000  │ 5598888.9  │ 1686666.7  │   5100    │   35210000    │  50390000   │  15180000   │ -0.2  │      │          │     │ 100  │ 690000  │ 0.4 │
└─────────┴──────┴──────┴──────┴──────┴──────┴──────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴───────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴─────────┴─────┘

