┌─────────┬──────┬──────┬──────┬──────┬──────┬─────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  bu  │ val_bu  │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │ val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼──────┼─────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼─────┤
│    0    │ 4700 │ 4700 │ 4700 │ 4700 │ 1500 │ 7050000 │   1500    │  1500   │ 7050000 │ 7050000  │ 1678786500000 │ '2023-03-14T09:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 115.4 │ 830.8 │  0  │ 13  │ 1500  │  7050000  │  542307.7  │ 3883076.9  │   1500    │    7050000    │   7050000   │      0      │ -2.1  │      │         │     │
│    1    │ 4600 │ 4600 │ 4600 │ 4600 │      │         │   3300    │  1800   │ 8280000 │ 15330000 │ 1678786800000 │ '2023-03-14T09:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 830.8 │  0  │     │ -1800 │ -8280000  │  542307.7  │ 3883076.9  │   -300    │   -1230000    │   7050000   │   8280000   │  2.5  │ 1800 │ 8280000 │ 2.2 │
│    2    │ 4700 │ 4700 │ 4700 │ 4700 │      │         │   3400    │   100   │ 470000  │ 15800000 │ 1678787700000 │ '2023-03-14T09:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 830.8 │  0  │     │ -100  │  -470000  │  542307.7  │ 3883076.9  │   -400    │   -1700000    │   7050000   │   8750000   │  0.1  │ 100  │ 470000  │ 0.1 │
│    3    │ 4700 │ 4700 │ 4700 │ 4700 │      │         │   4400    │  1000   │ 4700000 │ 20500000 │ 1678788000000 │ '2023-03-14T10:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 830.8 │  0  │     │ -1000 │ -4700000  │  542307.7  │ 3883076.9  │   -1400   │   -6400000    │   7050000   │  13450000   │  1.4  │ 1000 │ 4700000 │ 1.2 │
│    4    │ 4700 │ 4700 │ 4700 │ 4700 │      │         │   6400    │  2000   │ 9400000 │ 29900000 │ 1678789500000 │ '2023-03-14T10:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 830.8 │  0  │     │ -2000 │ -9400000  │  542307.7  │ 3883076.9  │   -3400   │   -15800000   │   7050000   │  22850000   │  2.8  │ 2000 │ 9400000 │ 2.4 │
│    5    │ 4700 │ 4700 │ 4700 │ 4700 │      │         │   8400    │  2000   │ 9400000 │ 39300000 │ 1678791000000 │ '2023-03-14T10:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 830.8 │  0  │     │ -2000 │ -9400000  │  542307.7  │ 3883076.9  │   -5400   │   -25200000   │   7050000   │  32250000   │  2.8  │ 2000 │ 9400000 │ 2.4 │
│    6    │ 4700 │ 4700 │ 4700 │ 4700 │      │         │   9100    │   700   │ 3290000 │ 42590000 │ 1678791300000 │ '2023-03-14T10:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 830.8 │  0  │     │ -700  │ -3290000  │  542307.7  │ 3883076.9  │   -6100   │   -28490000   │   7050000   │  35540000   │   1   │ 700  │ 3290000 │ 0.8 │
│    7    │ 4700 │ 4700 │ 4700 │ 4700 │      │         │   9600    │   500   │ 2350000 │ 44940000 │ 1678792800000 │ '2023-03-14T11:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 830.8 │  0  │     │ -500  │ -2350000  │  542307.7  │ 3883076.9  │   -6600   │   -30840000   │   7050000   │  37890000   │  0.7  │ 500  │ 2350000 │ 0.6 │
│    8    │ 4700 │ 4700 │ 4700 │ 4700 │      │         │   10100   │   500   │ 2350000 │ 47290000 │ 1678800000000 │ '2023-03-14T13:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 830.8 │  0  │     │ -500  │ -2350000  │  542307.7  │ 3883076.9  │   -7100   │   -33190000   │   7050000   │  40240000   │  0.7  │ 500  │ 2350000 │ 0.6 │
│    9    │ 4700 │ 4700 │ 4700 │ 4700 │      │         │   10300   │   200   │ 940000  │ 48230000 │ 1678801800000 │ '2023-03-14T13:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 830.8 │  0  │     │ -200  │  -940000  │  542307.7  │ 3883076.9  │   -7300   │   -34130000   │   7050000   │  41180000   │  0.3  │ 200  │ 940000  │ 0.2 │
│   10    │ 4700 │ 4700 │ 4700 │ 4700 │      │         │   10800   │   500   │ 2350000 │ 50580000 │ 1678802400000 │ '2023-03-14T14:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 115.4 │ 830.8 │  0  │     │ -500  │ -2350000  │  542307.7  │ 3883076.9  │   -7800   │   -36480000   │   7050000   │  43530000   │  0.7  │ 500  │ 2350000 │ 0.6 │
