┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬─────┬──────────┬─────┬─────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │ bs  │    sb    │ abu │ asd │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ sd  │  val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼─────┼──────────┼─────┼─────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼──────────┼─────┤
│    0    │ 31200 │ 31200 │ 31200 │ 31200 │ 200 │ 6240000 │    200    │   200   │ 6240000  │  6240000  │ 1678784400000 │ '2023-03-14T09:00:00.000Z' │  0  │  0  │ 100 │ NaN │   NaN    │  0  │ 400 │ 14.3 │ 14  │   0   │     0     │     0      │ 12353571.4 │     0     │       0       │      0      │      0      │  -0   │     │          │     │
│    1    │ 31100 │ 31100 │ 31100 │ 31100 │     │         │    700    │   500   │ 15550000 │ 21790000  │ 1678785300000 │ '2023-03-14T09:15:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 400 │ 14.3 │     │ -500  │ -15550000 │     0      │ 12353571.4 │   -500    │   -15550000   │      0      │  15550000   │  1.3  │ 500 │ 15550000 │ 1.3 │
│    2    │ 31000 │ 31100 │ 31000 │ 31100 │     │         │   1100    │   400   │ 12410000 │ 34200000  │ 1678785600000 │ '2023-03-14T09:20:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 400 │ 14.3 │     │ -400  │ -12410000 │     0      │ 12353571.4 │   -900    │   -27960000   │      0      │  27960000   │   1   │ 400 │ 12410000 │  1  │
│    3    │ 31000 │ 31000 │ 31000 │ 31000 │     │         │   1200    │   100   │ 3100000  │ 37300000  │ 1678789200000 │ '2023-03-14T10:20:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 400 │ 14.3 │     │ -100  │ -3100000  │     0      │ 12353571.4 │   -1000   │   -31060000   │      0      │  31060000   │  0.3  │ 100 │ 3100000  │ 0.3 │
│    4    │ 31000 │ 31000 │ 31000 │ 31000 │     │         │   1700    │   500   │ 15500000 │ 52800000  │ 1678789500000 │ '2023-03-14T10:25:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 400 │ 14.3 │     │ -500  │ -15500000 │     0      │ 12353571.4 │   -1500   │   -46560000   │      0      │  46560000   │  1.3  │ 500 │ 15500000 │ 1.3 │
│    5    │ 30900 │ 31000 │ 30900 │ 31000 │     │         │   2100    │   400   │ 12380000 │ 65180000  │ 1678791600000 │ '2023-03-14T11:00:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 400 │ 14.3 │     │ -400  │ -12380000 │     0      │ 12353571.4 │   -1900   │   -58940000   │      0      │  58940000   │   1   │ 400 │ 12380000 │  1  │
│    6    │ 30900 │ 30900 │ 30900 │ 30900 │     │         │   2500    │   400   │ 12360000 │ 77540000  │ 1678791900000 │ '2023-03-14T11:05:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 400 │ 14.3 │     │ -400  │ -12360000 │     0      │ 12353571.4 │   -2300   │   -71300000   │      0      │  71300000   │   1   │ 400 │ 12360000 │  1  │
│    7    │ 30900 │ 30900 │ 30900 │ 30900 │     │         │   2600    │   100   │ 3090000  │ 80630000  │ 1678792500000 │ '2023-03-14T11:15:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 400 │ 14.3 │     │ -100  │ -3090000  │     0      │ 12353571.4 │   -2400   │   -74390000   │      0      │  74390000   │  0.3  │ 100 │ 3090000  │ 0.3 │
│    8    │ 30800 │ 30800 │ 30800 │ 30800 │     │         │   3400    │   800   │ 24640000 │ 105270000 │ 1678798800000 │ '2023-03-14T13:00:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 400 │ 14.3 │     │ -800  │ -24640000 │     0      │ 12353571.4 │   -3200   │   -99030000   │      0      │  99030000   │   2   │ 800 │ 24640000 │  2  │
│    9    │ 30800 │ 30800 │ 30800 │ 30800 │     │         │   3600    │   200   │ 6160000  │ 111430000 │ 1678799100000 │ '2023-03-14T13:05:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 400 │ 14.3 │     │ -200  │ -6160000  │     0      │ 12353571.4 │   -3400   │  -105190000   │      0      │  105190000  │  0.5  │ 200 │ 6160000  │ 0.5 │
│   10    │ 30800 │ 30800 │ 30800 │ 30800 │     │         │   4000    │   400   │ 12320000 │ 123750000 │ 1678800000000 │ '2023-03-14T13:20:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 400 │ 14.3 │     │ -400  │ -12320000 │     0      │ 12353571.4 │   -3800   │  -117510000   │      0      │  117510000  │   1   │ 400 │ 12320000 │  1  │
│   11    │ 30800 │ 30800 │ 30800 │ 30800 │     │         │   4800    │   800   │ 24640000 │ 148390000 │ 1678800600000 │ '2023-03-14T13:30:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 400 │ 14.3 │     │ -800  │ -24640000 │     0      │ 12353571.4 │   -4600   │  -142150000   │      0      │  142150000  │   2   │ 800 │ 24640000 │  2  │
│   12    │ 30800 │ 30800 │ 30800 │ 30800 │     │         │   5100    │   300   │ 9240000  │ 157630000 │ 1678802100000 │ '2023-03-14T13:55:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 400 │ 14.3 │     │ -300  │ -9240000  │     0      │ 12353571.4 │   -4900   │  -151390000   │      0      │  151390000  │  0.7  │ 300 │ 9240000  │ 0.8 │
│   13    │ 30800 │ 30800 │ 30800 │ 30800 │     │         │   5800    │   700   │ 21560000 │ 179190000 │ 1678804200000 │ '2023-03-14T14:30:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 400 │ 14.3 │     │ -700  │ -21560000 │     0      │ 12353571.4 │   -5600   │  -172950000   │      0      │  172950000  │  1.7  │ 700 │ 21560000 │ 1.8 │
└─────────┴───────┴───────┴───────┴───────┴─────┴─────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴─────┴──────────┴─────┴─────┴──────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴─────┴──────────┴─────┘

