┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬───────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬─────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ bu  │ val_bu  │ rbu │  sd  │  val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼───────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼─────────┼─────┼──────┼──────────┼─────┤
│    0    │ 11.25 │ 11.25 │ 11.25 │ 11.25 │ 300 │ 3375000 │    300    │   300   │ 3375000  │  3375000  │ 1673601240000 │ '2023-01-13T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 92.9 │ 971.4 │ 21.4 │ 14  │   0   │     0     │ 1048214.3  │ 10856071.4 │     0     │       0       │      0      │      0      │   0   │     │         │     │      │          │     │
│    1    │ 11.3  │ 11.3  │ 11.3  │ 11.3  │     │         │    400    │   100   │ 1130000  │  4505000  │ 1673602200000 │ '2023-01-13T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 92.9 │ 971.4 │ 21.4 │     │  100  │  1130000  │ 1048214.3  │ 10856071.4 │    100    │    1130000    │   1130000   │      0      │  0.1  │ 100 │ 1130000 │ 1.1 │      │          │     │
│    2    │ 11.3  │ 11.3  │ 11.3  │ 11.3  │     │         │   2100    │  1700   │ 19210000 │ 23715000  │ 1673602440000 │ '2023-01-13T09:34:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 92.9 │ 971.4 │ 21.4 │     │ -1700 │ -19210000 │ 1048214.3  │ 10856071.4 │   -1600   │   -18080000   │   1130000   │  19210000   │   2   │     │         │     │ 1700 │ 19210000 │ 1.8 │
│    3    │ 11.3  │ 11.3  │ 11.3  │ 11.3  │     │         │   3100    │  1000   │ 11300000 │ 35015000  │ 1673602680000 │ '2023-01-13T09:38:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 92.9 │ 971.4 │ 21.4 │     │ -1000 │ -11300000 │ 1048214.3  │ 10856071.4 │   -2600   │   -29380000   │   1130000   │  30510000   │  1.2  │     │         │     │ 1000 │ 11300000 │  1  │
│    4    │ 11.35 │ 11.35 │ 11.35 │ 11.35 │     │         │   3200    │   100   │ 1135000  │ 36150000  │ 1673604120000 │ '2023-01-13T10:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 92.9 │ 971.4 │ 21.4 │     │  100  │  1135000  │ 1048214.3  │ 10856071.4 │   -2500   │   -28245000   │   2265000   │  30510000   │  0.1  │ 100 │ 1135000 │ 1.1 │      │          │     │
│    5    │ 11.25 │ 11.25 │ 11.25 │ 11.25 │     │         │   3600    │   400   │ 4500000  │ 40650000  │ 1673605560000 │ '2023-01-13T10:26:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 92.9 │ 971.4 │ 21.4 │     │ -400  │ -4500000  │ 1048214.3  │ 10856071.4 │   -2900   │   -32745000   │   2265000   │  35010000   │  0.5  │     │         │     │ 400  │ 4500000  │ 0.4 │
│    6    │ 11.3  │ 11.3  │ 11.3  │ 11.3  │     │         │   3800    │   200   │ 2260000  │ 42910000  │ 1673606160000 │ '2023-01-13T10:36:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 92.9 │ 971.4 │ 21.4 │     │ -200  │ -2260000  │ 1048214.3  │ 10856071.4 │   -3100   │   -35005000   │   2265000   │  37270000   │  0.2  │     │         │     │ 200  │ 2260000  │ 0.2 │
│    7    │ 11.3  │ 11.3  │ 11.3  │ 11.3  │     │         │   4600    │   800   │ 9040000  │ 51950000  │ 1673607120000 │ '2023-01-13T10:52:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 92.9 │ 971.4 │ 21.4 │     │ -800  │ -9040000  │ 1048214.3  │ 10856071.4 │   -3900   │   -44045000   │   2265000   │  46310000   │  0.9  │     │         │     │ 800  │ 9040000  │ 0.8 │
│    8    │ 11.3  │ 11.3  │ 11.3  │ 11.3  │     │         │   4700    │   100   │ 1130000  │ 53080000  │ 1673614800000 │ '2023-01-13T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 92.9 │ 971.4 │ 21.4 │     │  100  │  1130000  │ 1048214.3  │ 10856071.4 │   -3800   │   -42915000   │   3395000   │  46310000   │  0.1  │ 100 │ 1130000 │ 1.1 │      │          │     │
│    9    │ 11.3  │ 11.3  │ 11.3  │ 11.3  │     │         │   5500    │   800   │ 9040000  │ 62120000  │ 1673614920000 │ '2023-01-13T13:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 92.9 │ 971.4 │ 21.4 │     │  800  │  9040000  │ 1048214.3  │ 10856071.4 │   -3000   │   -33875000   │  12435000   │  46310000   │  0.9  │ 800 │ 9040000 │ 8.6 │      │          │     │
│   10    │ 11.25 │ 11.25 │ 11.25 │ 11.25 │     │         │   6000    │   500   │ 5625000  │ 67745000  │ 1673615280000 │ '2023-01-13T13:08:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 92.9 │ 971.4 │ 21.4 │     │ -500  │ -5625000  │ 1048214.3  │ 10856071.4 │   -3500   │   -39500000   │  12435000   │  51935000   │  0.6  │     │         │     │ 500  │ 5625000  │ 0.5 │
│   11    │ 11.2  │ 11.2  │ 11.2  │ 11.2  │     │         │   10000   │  4000   │ 44800000 │ 112545000 │ 1673619720000 │ '2023-01-13T14:22:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 92.9 │ 971.4 │ 21.4 │     │ -4000 │ -44800000 │ 1048214.3  │ 10856071.4 │   -7500   │   -84300000   │  12435000   │  96735000   │  4.6  │     │         │     │ 4000 │ 44800000 │ 4.1 │
│   12    │ 11.2  │ 11.2  │ 11.2  │ 11.2  │     │         │   10200   │   200   │ 2240000  │ 114785000 │ 1673619840000 │ '2023-01-13T14:24:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 92.9 │ 971.4 │ 21.4 │     │  200  │  2240000  │ 1048214.3  │ 10856071.4 │   -7300   │   -82060000   │  14675000   │  96735000   │  0.2  │ 200 │ 2240000 │ 2.2 │      │          │     │
│   13    │ 11.05 │ 11.05 │ 11.05 │ 11.05 │     │         │   15200   │  5000   │ 55250000 │ 170035000 │ 1673621040000 │ '2023-01-13T14:44:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 92.9 │ 971.4 │ 21.4 │     │ -5000 │ -55250000 │ 1048214.3  │ 10856071.4 │  -12300   │  -137310000   │  14675000   │  151985000  │  5.6  │     │         │     │ 5000 │ 55250000 │ 5.1 │
