┌─────────┬───────┬───────┬───────┬───────┬─────┬────────┬───────────┬─────────┬────────────────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬──────┬─────┬───────┬─────────────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬────────────────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk │ total_vol │ sum_vol │        val         │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk  │ ruk │ bu-sd │      bu-sd_val      │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │ sd  │       val_sd       │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼────────┼───────────┼─────────┼────────────────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼──────┼─────┼───────┼─────────────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼────────────────────┼─────┤
│    0    │  19   │  19   │  19   │  19   │ 600 │ 11400  │    600    │   600   │       11400        │  11400   │ 1673601240000 │ '2023-01-13T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 333.3 │ 133.3 │ 66.7 │  9  │   0   │          0          │ 2763033.3  │ 2486666.7  │     0     │       0       │      0      │      0      │   0   │      │          │     │     │                    │     │
│    1    │  19   │  19   │  19   │  19   │     │        │    700    │   100   │        1900        │  13300   │ 1673602560000 │ '2023-01-13T09:36:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 333.3 │ 133.3 │ 66.7 │     │  100  │        1900         │ 2763033.3  │ 2486666.7  │    100    │     1900      │    1900     │      0      │   0   │ 100  │   1900   │ 0.3 │     │                    │     │
│    2    │ 18.65 │ 18.65 │ 18.65 │ 18.65 │     │        │   1200    │   500   │      9325000       │ 9338300  │ 1673604960000 │ '2023-01-13T10:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 333.3 │ 133.3 │ 66.7 │     │ -500  │      -9325000       │ 2763033.3  │ 2486666.7  │   -400    │   -9323100    │    1900     │   9325000   │ 33.7  │      │          │     │ 500 │      9325000       │ 3.8 │
│    3    │ 18.65 │ 18.65 │ 18.65 │ 18.65 │     │        │   1700    │   500   │      9325000       │ 18663300 │ 1673608800000 │ '2023-01-13T11:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 333.3 │ 133.3 │ 66.7 │     │ -500  │      -9325000       │ 2763033.3  │ 2486666.7  │   -900    │   -18648100   │    1900     │  18650000   │ 33.7  │      │          │     │ 500 │      9325000       │ 3.8 │
│    4    │ 18.65 │ 18.65 │ 18.65 │ 18.65 │     │        │   1800    │   100   │ 1864999.9999999998 │ 20528300 │ 1673615520000 │ '2023-01-13T13:12:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 333.3 │ 133.3 │ 66.7 │     │ -100  │ -1864999.9999999998 │ 2763033.3  │ 2486666.7  │   -1000   │   -20513100   │    1900     │  20515000   │  6.7  │      │          │     │ 100 │ 1864999.9999999998 │ 0.8 │
│    5    │ 18.95 │ 18.95 │ 18.95 │ 18.95 │     │        │   2400    │   600   │      11370000      │ 31898300 │ 1673617440000 │ '2023-01-13T13:44:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 333.3 │ 133.3 │ 66.7 │     │  600  │      11370000       │ 2763033.3  │ 2486666.7  │   -400    │   -9143100    │  11371900   │  20515000   │ 41.1  │ 600  │ 11370000 │ 1.8 │     │                    │     │
│    6    │ 19.2  │ 19.2  │  19   │  19   │     │        │   4200    │  1800   │      3870400       │ 35768700 │ 1673617560000 │ '2023-01-13T13:46:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 333.3 │ 133.3 │ 66.7 │     │ 1800  │       3870400       │ 2763033.3  │ 2486666.7  │   1400    │   -5272700    │  15242300   │  20515000   │  14   │ 1800 │ 3870400  │ 5.4 │     │                    │     │
│    7    │ 19.25 │ 19.25 │ 19.25 │ 19.25 │     │        │   4700    │   500   │      9625000       │ 45393700 │ 1673617680000 │ '2023-01-13T13:48:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 333.3 │ 133.3 │ 66.7 │     │  500  │       9625000       │ 2763033.3  │ 2486666.7  │   1900    │    4352300    │  24867300   │  20515000   │ 34.8  │ 500  │ 9625000  │ 1.5 │     │                    │     │
│    8    │ 18.65 │ 18.65 │ 18.65 │ 18.65 │     │        │   4800    │   100   │ 1864999.9999999998 │ 47258700 │ 1673621040000 │ '2023-01-13T14:44:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 333.3 │ 133.3 │ 66.7 │     │ -100  │ -1864999.9999999998 │ 2763033.3  │ 2486666.7  │   1800    │    2487300    │  24867300   │  22380000   │  6.7  │      │          │     │ 100 │ 1864999.9999999998 │ 0.8 │
└─────────┴───────┴───────┴───────┴───────┴─────┴────────┴───────────┴─────────┴────────────────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴──────┴─────┴───────┴─────────────────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴─────┴────────────────────┴─────┘

