┌─────────┬──────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │  60  │  60  │  60  │  60  │ 300 │ 18000  │    300    │   300   │  18000   │   18000   │ 1671527700000 │ '2022-12-20T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 540 │ 70  │ 30  │ 10  │   0   │     0     │  11033460  │  4165000   │     0     │       0       │      0      │      0      │   0   │     │          │     │      │          │     │
│    1    │ 59.5 │ 59.5 │ 59.5 │ 59.5 │     │        │    600    │   300   │ 17850000 │ 17868000  │ 1671530400000 │ '2022-12-20T10:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 540 │ 70  │ 30  │     │ -300  │ -17850000 │  11033460  │  4165000   │   -300    │   -17850000   │      0      │  17850000   │ -2.6  │ 300 │ 17850000 │ 4.3 │      │          │     │
│    2    │ 59.5 │ 59.5 │ 59.5 │ 59.5 │     │        │    700    │   100   │ 5950000  │ 23818000  │ 1671531600000 │ '2022-12-20T10:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 540 │ 70  │ 30  │     │ -100  │ -5950000  │  11033460  │  4165000   │   -400    │   -23800000   │      0      │  23800000   │ -0.9  │ 100 │ 5950000  │ 1.4 │      │          │     │
│    3    │ 59.5 │ 59.5 │ 59.5 │ 59.5 │     │        │    800    │   100   │ 5950000  │ 29768000  │ 1671531900000 │ '2022-12-20T10:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 540 │ 70  │ 30  │     │ -100  │ -5950000  │  11033460  │  4165000   │   -500    │   -29750000   │      0      │  29750000   │ -0.9  │ 100 │ 5950000  │ 1.4 │      │          │     │
│    4    │ 59.5 │ 59.5 │ 59.5 │ 59.5 │     │        │    900    │   100   │ 5950000  │ 35718000  │ 1671541800000 │ '2022-12-20T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 540 │ 70  │ 30  │     │  100  │  5950000  │  11033460  │  4165000   │   -400    │   -23800000   │   5950000   │  29750000   │  0.9  │     │          │     │ 100  │ 5950000  │ 0.2 │
│    5    │ 59.5 │ 59.5 │ 59.5 │ 59.5 │     │        │   1000    │   100   │ 5950000  │ 41668000  │ 1671542700000 │ '2022-12-20T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 540 │ 70  │ 30  │     │  100  │  5950000  │  11033460  │  4165000   │   -300    │   -17850000   │  11900000   │  29750000   │  0.9  │     │          │     │ 100  │ 5950000  │ 0.2 │
│    6    │ 59.5 │ 59.5 │ 59.5 │ 59.5 │     │        │   1200    │   200   │ 11900000 │ 53568000  │ 1671544200000 │ '2022-12-20T13:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 540 │ 70  │ 30  │     │ -200  │ -11900000 │  11033460  │  4165000   │   -500    │   -29750000   │  11900000   │  41650000   │ -1.7  │ 200 │ 11900000 │ 2.9 │      │          │     │
│    7    │ 60.7 │ 60.7 │ 60.7 │ 60.7 │     │        │   1300    │   100   │ 6070000  │ 59638000  │ 1671545700000 │ '2022-12-20T14:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 540 │ 70  │ 30  │     │  100  │  6070000  │  11033460  │  4165000   │   -400    │   -23680000   │  17970000   │  41650000   │  0.9  │     │          │     │ 100  │ 6070000  │ 0.2 │
│    8    │ 63.5 │ 63.5 │ 60.7 │ 60.7 │     │        │   4100    │  2800   │ 92219700 │ 151857700 │ 1671546300000 │ '2022-12-20T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 540 │ 70  │ 30  │     │ 2800  │ 92219700  │  11033460  │  4165000   │   2400    │   68539700    │  110189700  │  41650000   │ 13.4  │     │          │     │ 2800 │ 92219700 │ 5.2 │
│    9    │  63  │  63  │  63  │  63  │     │        │   6400    │  2300   │  144900  │ 152002600 │ 1671547500000 │ '2022-12-20T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 540 │ 70  │ 30  │     │ 2300  │  144900   │  11033460  │  4165000   │   4700    │   68684600    │  110334600  │  41650000   │   0   │     │          │     │ 2300 │  144900  │ 4.3 │
└─────────┴──────┴──────┴──────┴──────┴─────┴────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴─────┴──────────┴─────┴──────┴──────────┴─────┘

