┌─────────┬─────┬─────┬─────┬─────┬───────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬────────┬──────┬──────┬────────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬──────────┬─────┬──────┬─────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │  bu   │  val_bu  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd   │ auk  │ rbu  │ bu-sd  │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd   │  val_sd  │ rsd │  uk  │ val_uk  │ ruk │
├─────────┼─────┼─────┼─────┼─────┼───────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼────────┼──────┼──────┼────────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼──────────┼─────┼──────┼─────────┼─────┤
│    0    │ 2.7 │ 2.7 │ 2.7 │ 2.7 │  100  │  270000  │    100    │   100   │  270000  │  270000   │ 1671527760000 │ '2022-12-20T09:16:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 943.8 │ 3887.5 │ 93.8 │ 0.1  │  100   │  270000   │  2454375   │  9718750   │    100    │    270000     │   270000    │      0      │   0   │       │          │     │      │         │     │
│    1    │ 2.5 │ 2.5 │ 2.5 │ 2.5 │       │          │    200    │   100   │  250000  │  520000   │ 1671533880000 │ '2022-12-20T10:58:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 943.8 │ 3887.5 │ 93.8 │      │  -100  │  -250000  │  2454375   │  9718750   │     0     │     20000     │   270000    │   250000    │   0   │  100  │  250000  │  0  │      │         │     │
│    2    │ 2.5 │ 2.5 │ 2.5 │ 2.5 │       │          │   3200    │  3000   │ 7500000  │  8020000  │ 1671534720000 │ '2022-12-20T11:12:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 943.8 │ 3887.5 │ 93.8 │      │ -3000  │ -7500000  │  2454375   │  9718750   │   -3000   │   -7480000    │   270000    │   7750000   │   1   │ 3000  │ 7500000  │ 0.8 │      │         │     │
│    3    │ 2.5 │ 2.5 │ 2.5 │ 2.5 │       │          │   33300   │  30100  │ 75250000 │ 83270000  │ 1671535440000 │ '2022-12-20T11:24:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 943.8 │ 3887.5 │ 93.8 │      │ -30100 │ -75250000 │  2454375   │  9718750   │  -33100   │   -82730000   │   270000    │  83000000   │ 10.4  │ 30100 │ 75250000 │ 7.7 │      │         │     │
│    4    │ 2.5 │ 2.5 │ 2.5 │ 2.5 │       │          │   34800   │  1500   │ 3750000  │ 87020000  │ 1671535560000 │ '2022-12-20T11:26:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 943.8 │ 3887.5 │ 93.8 │      │   0    │     0     │  2454375   │  9718750   │  -33100   │   -82730000   │   270000    │  83000000   │   0   │       │          │     │ 1500 │ 3750000 │ 16  │
│    5    │ 2.5 │ 2.5 │ 2.5 │ 2.5 │       │          │   37800   │  3000   │ 7500000  │ 94520000  │ 1671541200000 │ '2022-12-20T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 943.8 │ 3887.5 │ 93.8 │      │ -3000  │ -7500000  │  2454375   │  9718750   │  -36100   │   -90230000   │   270000    │  90500000   │   1   │ 3000  │ 7500000  │ 0.8 │      │         │     │
│    6    │ 2.5 │ 2.5 │ 2.5 │ 2.5 │       │          │   44400   │  6600   │ 16500000 │ 111020000 │ 1671542040000 │ '2022-12-20T13:14:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 943.8 │ 3887.5 │ 93.8 │      │ -6600  │ -16500000 │  2454375   │  9718750   │  -42700   │  -106730000   │   270000    │  107000000  │  2.3  │ 6600  │ 16500000 │ 1.7 │      │         │     │
│    7    │ 2.5 │ 2.5 │ 2.5 │ 2.5 │       │          │   49800   │  5400   │ 13500000 │ 124520000 │ 1671542760000 │ '2022-12-20T13:26:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 943.8 │ 3887.5 │ 93.8 │      │ -5400  │ -13500000 │  2454375   │  9718750   │  -48100   │  -120230000   │   270000    │  120500000  │  1.9  │ 5400  │ 13500000 │ 1.4 │      │         │     │
│    8    │ 2.5 │ 2.5 │ 2.5 │ 2.5 │       │          │   50800   │  1000   │ 2500000  │ 127020000 │ 1671542880000 │ '2022-12-20T13:28:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 943.8 │ 3887.5 │ 93.8 │      │ -1000  │ -2500000  │  2454375   │  9718750   │  -49100   │  -122730000   │   270000    │  123000000  │  0.3  │ 1000  │ 2500000  │ 0.3 │      │         │     │
│    9    │ 2.5 │ 2.5 │ 2.5 │ 2.5 │       │          │   56800   │  6000   │ 15000000 │ 142020000 │ 1671543240000 │ '2022-12-20T13:34:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 943.8 │ 3887.5 │ 93.8 │      │ -6000  │ -15000000 │  2454375   │  9718750   │  -55100   │  -137730000   │   270000    │  138000000  │  2.1  │ 6000  │ 15000000 │ 1.5 │      │         │     │
│   10    │ 2.5 │ 2.5 │ 2.5 │ 2.5 │       │          │   61800   │  5000   │ 12500000 │ 154520000 │ 1671543960000 │ '2022-12-20T13:46:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 943.8 │ 3887.5 │ 93.8 │      │ -5000  │ -12500000 │  2454375   │  9718750   │  -60100   │  -150230000   │   270000    │  150500000  │  1.7  │ 5000  │ 12500000 │ 1.3 │      │         │     │
│   11    │ 2.5 │ 2.5 │ 2.5 │ 2.5 │       │          │   63200   │  1400   │ 3500000  │ 158020000 │ 1671544200000 │ '2022-12-20T13:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 943.8 │ 3887.5 │ 93.8 │      │ -1400  │ -3500000  │  2454375   │  9718750   │  -61500   │  -153730000   │   270000    │  154000000  │  0.5  │ 1400  │ 3500000  │ 0.4 │      │         │     │
│   12    │ 2.6 │ 2.6 │ 2.6 │ 2.6 │ 15000 │ 39000000 │   78200   │  15000  │ 39000000 │ 197020000 │ 1671544560000 │ '2022-12-20T13:56:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 943.8 │ 3887.5 │ 93.8 │ 15.9 │ 15000  │ 39000000  │  2454375   │  9718750   │  -46500   │  -114730000   │  39270000   │  154000000  │  5.4  │       │          │     │      │         │     │
│   13    │ 2.5 │ 2.5 │ 2.5 │ 2.5 │       │          │   78400   │   200   │  500000  │ 197520000 │ 1671544680000 │ '2022-12-20T13:58:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 943.8 │ 3887.5 │ 93.8 │      │  -200  │  -500000  │  2454375   │  9718750   │  -46700   │  -115230000   │  39270000   │  154500000  │  0.1  │  200  │  500000  │ 0.1 │      │         │     │
│   14    │ 2.5 │ 2.5 │ 2.5 │ 2.5 │       │          │   78600   │   200   │  500000  │ 198020000 │ 1671545760000 │ '2022-12-20T14:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 943.8 │ 3887.5 │ 93.8 │      │  -200  │  -500000  │  2454375   │  9718750   │  -46900   │  -115730000   │  39270000   │  155000000  │  0.1  │  200  │  500000  │ 0.1 │      │         │     │
│   15    │ 2.5 │ 2.5 │ 2.5 │ 2.5 │       │          │   78800   │   200   │  500000  │ 198520000 │ 1671547440000 │ '2022-12-20T14:44:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 943.8 │ 3887.5 │ 93.8 │      │  -200  │  -500000  │  2454375   │  9718750   │  -47100   │  -116230000   │  39270000   │  155500000  │  0.1  │  200  │  500000  │ 0.1 │      │         │     │
└─────────┴─────┴─────┴─────┴─────┴───────┴──────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴────────┴──────┴──────┴────────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴───────┴──────────┴─────┴──────┴─────────┴─────┘

