"acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","accum_bu","accum_sd","avg_val_bu","avg_val_sd","avg_val","avg_vol","avg_bu","avg_sd","avg_busd","avg_busd_val","rbusd","rbu","rsd","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
1201300,16659095000,43197817000,26538722000,113700213000,2672700,1471400,31366365243.5,25243195313,59352559582.6,3416579.1,1789169.6,1477947.8,311221.7,6123169930.4,2.7,1.4,1.1,2672700,1201300,16659095000,"2023-02-16T09:14:00.000Z",1676538840000,1471400,7146500,7146500,3002400,113700213000,43197817000,26538722000,43963674000
2598100,37336505000,90619236000,53282731000,188004231000,5629000,3030900,31366365243.5,25243195313,59352559582.6,3416579.1,1789169.6,1477947.8,311221.7,6123169930.4,3.4,1.5,1.1,2956300,1396800,20677410000,"2023-02-16T09:16:00.000Z",1676538960000,1559500,4521500,11668000,5700,74304018000,47421419000,26744009000,138590000
3206200,51384724000,144029507000,92644783000,281008099000,8557800,5351600,31366365243.5,25243195313,59352559582.6,3416579.1,1789169.6,1477947.8,311221.7,6123169930.4,2.3,1.7,1.6,2928800,608100,14048219000,"2023-02-16T09:18:00.000Z",1676539080000,2320700,5260900,16928900,11400,93003868000,53410271000,39362052000,231545000
3394600,55141285000,181115270000,125973985000,351692891000,10549600,7155000,31366365243.5,25243195313,59352559582.6,3416579.1,1789169.6,1477947.8,311221.7,6123169930.4,0.6,1.2,1.3,1991800,188400,3756561000,"2023-02-16T09:20:00.000Z",1676539200000,1803400,3810600,20739500,15400,70684792000,37085763000,33329202000,269827000
3657600,61934643000,219212935000,157278292000,421303522000,12817900,9160300,31366365243.5,25243195313,59352559582.6,3416579.1,1789169.6,1477947.8,311221.7,6123169930.4,1.1,1.2,1.2,2268300,263000,6793358000,"2023-02-16T09:22:00.000Z",1676539320000,2005300,4289700,25029200,16100,69610631000,38097665000,31304307000,208659000
3860600,67586130000,250126141000,182540011000,478165442000,14645300,10784700,31366365243.5,25243195313,59352559582.6,3416579.1,1789169.6,1477947.8,311221.7,6123169930.4,0.9,1,1,1827400,203000,5651487000,"2023-02-16T09:24:00.000Z",1676539440000,1624400,3482900,28512100,31100,56861920000,30913206000,25261719000,686995000
4012200,75093102000,282628421000,207535319000,535764742000,16466200,12454000,31366365243.5,25243195313,59352559582.6,3416579.1,1789169.6,1477947.8,311221.7,6123169930.4,1.2,1,1,1820900,151600,7506972000,"2023-02-16T09:26:00.000Z",1676539560000,1669300,3504500,32016600,14300,57599300000,32502280000,24995308000,101712000
4038500,75321609000,306797514000,231475905000,585004561000,17871300,13832800,31366365243.5,25243195313,59352559582.6,3416579.1,1789169.6,1477947.8,311221.7,6123169930.4,0,0.8,0.9,1405100,26300,228507000,"2023-02-16T09:28:00.000Z",1676539680000,1378800,2816600,34833200,32700,49239819000,24169093000,23940586000,1130140000
3592700,72554884000,325839789000,253284905000,626157457000,18926200,15333500,31366365243.5,25243195313,59352559582.6,3416579.1,1789169.6,1477947.8,311221.7,6123169930.4,-0.5,0.6,0.9,1054900,-445800,-2766725000,"2023-02-16T09:30:00.000Z",1676539800000,1500700,2567400,37400600,11800,41152896000,19042275000,21809000000,301621000
2856100,58603604000,347837564000,289233960000,684224813000,20140900,17284800,31366365243.5,25243195313,59352559582.6,3416579.1,1789169.6,1477947.8,311221.7,6123169930.4,-2.3,0.7,1.4,1214700,-736600,-13951280000,"2023-02-16T09:32:00.000Z",1676539920000,1951300,3179500,40580100,13500,58067356000,21997775000,35949055000,120526000
