┌─────────┬───────────────┬─────────┬─────────┬──────────┬─────────────┬──────────────┬──────────────┬──────────┬──────────────┬────────────────────────────┬───────────────┬───────────┬──────────┬──────────────┬───────────┬───────────────┬───────────────┬───────────────┬───────────┬───────────┬───────────────┬─────────────┬───────────────┬───────────┬───────────┬───────────┬──────────┬──────────────┬───────┬─────┬─────┐
│ (index) │   datetime    │   sd    │   bu    │    uk    │   val_sd    │    val_bu    │    val_uk    │ sum_vol  │     val      │            date            │   acum_val    │ total_vol │  bu-sd   │  bu-sd_val   │ acum_busd │ acum_busd_val │  acum_val_bu  │  acum_val_sd  │ accum_bu  │ accum_sd  │  avg_val_bu   │ avg_val_sd  │    avg_val    │  avg_vol  │  avg_bu   │  avg_sd   │ avg_busd │ avg_busd_val │ rbusd │ rbu │ rsd │
├─────────┼───────────────┼─────────┼─────────┼──────────┼─────────────┼──────────────┼──────────────┼──────────┼──────────────┼────────────────────────────┼───────────────┼───────────┼──────────┼──────────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────────┼─────────────┼───────────────┼───────────┼───────────┼───────────┼──────────┼──────────────┼───────┼─────┼─────┤
│    0    │ 1676538840000 │ 1471400 │ 2672700 │ 3002400  │ 26538722000 │ 43197817000  │ 43963674000  │ 7146500  │ 113700213000 │ '2023-02-16T09:14:00.000Z' │ 113700213000  │  7146500  │ 1201300  │ 16659095000  │  1201300  │  16659095000  │  43197817000  │  26538722000  │  2672700  │  1471400  │ 31366365243.5 │ 25243195313 │ 59352559582.6 │ 3416579.1 │ 1789169.6 │ 1477947.8 │ 311221.7 │ 6123169930.4 │  2.7  │ 1.4 │ 1.1 │
│    1    │ 1676538960000 │ 1559500 │ 2956300 │   5700   │ 26744009000 │ 47421419000  │  138590000   │ 4521500  │ 74304018000  │ '2023-02-16T09:16:00.000Z' │ 188004231000  │ 11668000  │ 1396800  │ 20677410000  │  2598100  │  37336505000  │  90619236000  │  53282731000  │  5629000  │  3030900  │ 31366365243.5 │ 25243195313 │ 59352559582.6 │ 3416579.1 │ 1789169.6 │ 1477947.8 │ 311221.7 │ 6123169930.4 │  3.4  │ 1.5 │ 1.1 │
│    2    │ 1676539080000 │ 2320700 │ 2928800 │  11400   │ 39362052000 │ 53410271000  │  231545000   │ 5260900  │ 93003868000  │ '2023-02-16T09:18:00.000Z' │ 281008099000  │ 16928900  │  608100  │ 14048219000  │  3206200  │  51384724000  │ 144029507000  │  92644783000  │  8557800  │  5351600  │ 31366365243.5 │ 25243195313 │ 59352559582.6 │ 3416579.1 │ 1789169.6 │ 1477947.8 │ 311221.7 │ 6123169930.4 │  2.3  │ 1.7 │ 1.6 │
│    3    │ 1676539200000 │ 1803400 │ 1991800 │  15400   │ 33329202000 │ 37085763000  │  269827000   │ 3810600  │ 70684792000  │ '2023-02-16T09:20:00.000Z' │ 351692891000  │ 20739500  │  188400  │  3756561000  │  3394600  │  55141285000  │ 181115270000  │ 125973985000  │ 10549600  │  7155000  │ 31366365243.5 │ 25243195313 │ 59352559582.6 │ 3416579.1 │ 1789169.6 │ 1477947.8 │ 311221.7 │ 6123169930.4 │  0.6  │ 1.2 │ 1.3 │
│    4    │ 1676539320000 │ 2005300 │ 2268300 │  16100   │ 31304307000 │ 38097665000  │  208659000   │ 4289700  │ 69610631000  │ '2023-02-16T09:22:00.000Z' │ 421303522000  │ 25029200  │  263000  │  6793358000  │  3657600  │  61934643000  │ 219212935000  │ 157278292000  │ 12817900  │  9160300  │ 31366365243.5 │ 25243195313 │ 59352559582.6 │ 3416579.1 │ 1789169.6 │ 1477947.8 │ 311221.7 │ 6123169930.4 │  1.1  │ 1.2 │ 1.2 │
│    5    │ 1676539440000 │ 1624400 │ 1827400 │  31100   │ 25261719000 │ 30913206000  │  686995000   │ 3482900  │ 56861920000  │ '2023-02-16T09:24:00.000Z' │ 478165442000  │ 28512100  │  203000  │  5651487000  │  3860600  │  67586130000  │ 250126141000  │ 182540011000  │ 14645300  │ 10784700  │ 31366365243.5 │ 25243195313 │ 59352559582.6 │ 3416579.1 │ 1789169.6 │ 1477947.8 │ 311221.7 │ 6123169930.4 │  0.9  │  1  │  1  │
│    6    │ 1676539560000 │ 1669300 │ 1820900 │  14300   │ 24995308000 │ 32502280000  │  101712000   │ 3504500  │ 57599300000  │ '2023-02-16T09:26:00.000Z' │ 535764742000  │ 32016600  │  151600  │  7506972000  │  4012200  │  75093102000  │ 282628421000  │ 207535319000  │ 16466200  │ 12454000  │ 31366365243.5 │ 25243195313 │ 59352559582.6 │ 3416579.1 │ 1789169.6 │ 1477947.8 │ 311221.7 │ 6123169930.4 │  1.2  │  1  │  1  │
│    7    │ 1676539680000 │ 1378800 │ 1405100 │  32700   │ 23940586000 │ 24169093000  │  1130140000  │ 2816600  │ 49239819000  │ '2023-02-16T09:28:00.000Z' │ 585004561000  │ 34833200  │  26300   │  228507000   │  4038500  │  75321609000  │ 306797514000  │ 231475905000  │ 17871300  │ 13832800  │ 31366365243.5 │ 25243195313 │ 59352559582.6 │ 3416579.1 │ 1789169.6 │ 1477947.8 │ 311221.7 │ 6123169930.4 │   0   │ 0.8 │ 0.9 │
│    8    │ 1676539800000 │ 1500700 │ 1054900 │  11800   │ 21809000000 │ 19042275000  │  301621000   │ 2567400  │ 41152896000  │ '2023-02-16T09:30:00.000Z' │ 626157457000  │ 37400600  │ -445800  │ -2766725000  │  3592700  │  72554884000  │ 325839789000  │ 253284905000  │ 18926200  │ 15333500  │ 31366365243.5 │ 25243195313 │ 59352559582.6 │ 3416579.1 │ 1789169.6 │ 1477947.8 │ 311221.7 │ 6123169930.4 │ -0.5  │ 0.6 │ 0.9 │
│    9    │ 1676539920000 │ 1951300 │ 1214700 │  13500   │ 35949055000 │ 21997775000  │  120526000   │ 3179500  │ 58067356000  │ '2023-02-16T09:32:00.000Z' │ 684224813000  │ 40580100  │ -736600  │ -13951280000 │  2856100  │  58603604000  │ 347837564000  │ 289233960000  │ 20140900  │ 17284800  │ 31366365243.5 │ 25243195313 │ 59352559582.6 │ 3416579.1 │ 1789169.6 │ 1477947.8 │ 311221.7 │ 6123169930.4 │ -2.3  │ 0.7 │ 1.4 │
│   10    │ 1676540040000 │ 1422200 │ 1627600 │   6800   │ 24563851000 │ 27372611000  │  136112000   │ 3056600  │ 52072574000  │ '2023-02-16T09:34:00.000Z' │ 736297387000  │ 43636700  │  205400  │  2808760000  │  3061500  │  61412364000  │ 375210175000  │ 313797811000  │ 21768500  │ 18707000  │ 31366365243.5 │ 25243195313 │ 59352559582.6 │ 3416579.1 │ 1789169.6 │ 1477947.8 │ 311221.7 │ 6123169930.4 │  0.5  │ 0.9 │  1  │
│   11    │ 1676540160000 │ 1076700 │ 1393000 │   600    │ 16696313000 │ 22588095000  │   11735000   │ 2470300  │ 39296143000  │ '2023-02-16T09:36:00.000Z' │ 775593530000  │ 46107000  │  316300  │  5891782000  │  3377800  │  67304146000  │ 397798270000  │ 330494124000  │ 23161500  │ 19783700  │ 31366365243.5 │ 25243195313 │ 59352559582.6 │ 3416579.1 │ 1789169.6 │ 1477947.8 │ 311221.7 │ 6123169930.4 │   1   │ 0.7 │ 0.7 │
