┌─────────┬───────┬───────┬───────┬───────┬─────┬──────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬───────┬──────┬─────┬───────┬────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬───────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │  val_uk  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │  asd  │ auk  │ ruk │ bu-sd │ bu-sd_val  │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  sd  │  val_sd   │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼──────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼───────┼──────┼─────┼───────┼────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼───────────┼─────┤
│    0    │ 23.6  │ 23.6  │ 23.6  │ 23.6  │ 500 │ 11800000 │    500    │   500   │ 11800000  │ 11800000  │ 1674119640000 │ '2023-01-19T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 600 │ 545.5 │ 45.5 │ 11  │   0   │     0      │  13353600  │ 13011818.2 │     0     │       0       │      0      │      0      │   0   │      │          │     │      │           │     │
│    1    │  24   │  24   │  24   │  24   │     │          │    700    │   200   │   4800    │ 11804800  │ 1674122040000 │ '2023-01-19T09:54:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 545.5 │ 45.5 │     │  200  │    4800    │  13353600  │ 13011818.2 │    200    │     4800      │    4800     │      0      │   0   │ 200  │   4800   │ 0.3 │      │           │     │
│    2    │  24   │  24   │ 23.9  │ 23.9  │     │          │   1700    │  1000   │ 19124800  │ 30929600  │ 1674123240000 │ '2023-01-19T10:14:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 545.5 │ 45.5 │     │ 1000  │  19124800  │  13353600  │ 13011818.2 │   1200    │   19129600    │  19129600   │      0      │  56   │ 1000 │ 19124800 │ 1.7 │      │           │     │
│    3    │ 23.65 │ 23.65 │ 23.65 │ 23.65 │     │          │   5800    │  4100   │ 96965000  │ 127894600 │ 1674133200000 │ '2023-01-19T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 545.5 │ 45.5 │     │ 4100  │  96965000  │  13353600  │ 13011818.2 │   5300    │   116094600   │  116094600  │      0      │ 283.7 │ 4100 │ 96965000 │ 6.8 │      │           │     │
│    4    │ 23.65 │ 23.65 │ 23.65 │ 23.65 │     │          │   6200    │   400   │  9460000  │ 137354600 │ 1674133800000 │ '2023-01-19T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 545.5 │ 45.5 │     │  400  │  9460000   │  13353600  │ 13011818.2 │   5700    │   125554600   │  125554600  │      0      │ 27.7  │ 400  │ 9460000  │ 0.7 │      │           │     │
│    5    │ 23.65 │ 23.65 │ 23.65 │ 23.65 │     │          │   6700    │   500   │ 11825000  │ 149179600 │ 1674134160000 │ '2023-01-19T13:16:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 545.5 │ 45.5 │     │  500  │  11825000  │  13353600  │ 13011818.2 │   6200    │   137379600   │  137379600  │      0      │ 34.6  │ 500  │ 11825000 │ 0.8 │      │           │     │
│    6    │ 23.7  │ 23.7  │ 23.7  │ 23.7  │     │          │   7700    │  1000   │ 23700000  │ 172879600 │ 1674136560000 │ '2023-01-19T13:56:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 600 │ 545.5 │ 45.5 │     │ -1000 │ -23700000  │  13353600  │ 13011818.2 │   5200    │   113679600   │  137379600  │  23700000   │ 69.3  │      │          │     │ 1000 │ 23700000  │ 1.8 │
│    7    │ 23.75 │ 23.75 │ 23.75 │ 23.75 │     │          │   7900    │   200   │  4750000  │ 177629600 │ 1674136680000 │ '2023-01-19T13:58:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 545.5 │ 45.5 │     │  200  │  4750000   │  13353600  │ 13011818.2 │   5400    │   118429600   │  142129600  │  23700000   │ 13.9  │ 200  │ 4750000  │ 0.3 │      │           │     │
│    8    │ 23.55 │ 23.55 │ 23.55 │ 23.55 │     │          │   8100    │   200   │  4710000  │ 182339600 │ 1674137400000 │ '2023-01-19T14:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 600 │ 545.5 │ 45.5 │     │ -200  │  -4710000  │  13353600  │ 13011818.2 │   5200    │   113719600   │  142129600  │  28410000   │ 13.8  │      │          │     │ 200  │  4710000  │ 0.4 │
│    9    │ 23.8  │ 23.8  │ 23.8  │ 23.8  │     │          │   8300    │   200   │  4760000  │ 187099600 │ 1674138360000 │ '2023-01-19T14:26:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 600 │ 545.5 │ 45.5 │     │  200  │  4760000   │  13353600  │ 13011818.2 │   5400    │   118479600   │  146889600  │  28410000   │ 13.9  │ 200  │ 4760000  │ 0.3 │      │           │     │
│   10    │ 23.9  │ 23.9  │ 23.9  │ 23.9  │     │          │   13100   │  4800   │ 114720000 │ 301819600 │ 1674139440000 │ '2023-01-19T14:44:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 600 │ 545.5 │ 45.5 │     │ -4800 │ -114720000 │  13353600  │ 13011818.2 │    600    │    3759600    │  146889600  │  143130000  │ 335.7 │      │          │     │ 4800 │ 114720000 │ 8.8 │
