┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬───────────────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬──────┬───────┬─────┬─────┬───────┬────────────────────┬────────────┬────────────┬───────────┬────────────────────┬─────────────┬────────────────────┬───────┬─────┬────────┬─────┬──────┬───────────────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ bu  │ val_bu  │ total_vol │ sum_vol │        val        │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu  │  asd  │ auk │ rbu │ bu-sd │     bu-sd_val      │ avg_val_bu │ avg_val_sd │ acum_busd │   acum_busd_val    │ acum_val_bu │    acum_val_sd     │ rbusd │ uk  │ val_uk │ ruk │  sd  │      val_sd       │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼───────────────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼──────┼───────┼─────┼─────┼───────┼────────────────────┼────────────┼────────────┼───────────┼────────────────────┼─────────────┼────────────────────┼───────┼─────┼────────┼─────┼──────┼───────────────────┼─────┤
│    0    │ 10.15 │ 10.15 │ 10.15 │ 10.15 │ 200 │ 2030000 │    200    │   200   │      2030000      │ 2030000  │ 1674125880000 │ '2023-01-19T10:58:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 18.2 │ 281.8 │ 9.1 │ 11  │  200  │      2030000       │  184545.5  │ 2772818.2  │    200    │      2030000       │   2030000   │         0          │  0.8  │     │        │     │      │                   │     │
│    1    │ 9.86  │ 9.86  │ 9.86  │ 9.86  │     │         │    300    │   100   │      986000       │ 3016000  │ 1674133200000 │ '2023-01-19T13:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 18.2 │ 281.8 │ 9.1 │     │   0   │         0          │  184545.5  │ 2772818.2  │    200    │      2030000       │   2030000   │         0          │   0   │ 100 │ 986000 │ 11  │      │                   │     │
│    2    │ 9.87  │ 9.87  │ 9.87  │ 9.87  │     │         │    400    │   100   │ 986999.9999999999 │ 4003000  │ 1674133560000 │ '2023-01-19T13:06:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 281.8 │ 9.1 │     │ -100  │ -986999.9999999999 │  184545.5  │ 2772818.2  │    100    │ 1043000.0000000001 │   2030000   │ 986999.9999999999  │  0.4  │     │        │     │ 100  │ 986999.9999999999 │ 0.4 │
│    3    │ 9.87  │ 9.87  │ 9.87  │ 9.87  │     │         │    500    │   100   │ 986999.9999999999 │ 4990000  │ 1674133800000 │ '2023-01-19T13:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 281.8 │ 9.1 │     │ -100  │ -986999.9999999999 │  184545.5  │ 2772818.2  │     0     │ 56000.00000000023  │   2030000   │ 1973999.9999999998 │  0.4  │     │        │     │ 100  │ 986999.9999999999 │ 0.4 │
│    4    │ 9.86  │ 9.87  │ 9.86  │ 9.87  │     │         │   1000    │   500   │      4932000      │ 9922000  │ 1674133920000 │ '2023-01-19T13:12:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 281.8 │ 9.1 │     │ -500  │      -4932000      │  184545.5  │ 2772818.2  │   -500    │      -4876000      │   2030000   │      6906000       │  1.9  │     │        │     │ 500  │      4932000      │ 1.8 │
│    5    │ 9.85  │ 9.86  │ 9.85  │ 9.86  │     │         │   1600    │   600   │      5911000      │ 15833000 │ 1674134160000 │ '2023-01-19T13:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 281.8 │ 9.1 │     │ -600  │      -5911000      │  184545.5  │ 2772818.2  │   -1100   │     -10787000      │   2030000   │      12817000      │  2.3  │     │        │     │ 600  │      5911000      │ 2.1 │
│    6    │ 9.84  │ 9.85  │ 9.84  │ 9.85  │     │         │   1800    │   200   │      1969000      │ 17802000 │ 1674134520000 │ '2023-01-19T13:22:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 281.8 │ 9.1 │     │ -200  │      -1969000      │  184545.5  │ 2772818.2  │   -1300   │     -12756000      │   2030000   │      14786000      │  0.8  │     │        │     │ 200  │      1969000      │ 0.7 │
│    7    │ 9.81  │ 9.84  │ 9.81  │ 9.84  │     │         │   2300    │  1300   │     12761000      │ 30563000 │ 1674135000000 │ '2023-01-19T13:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 281.8 │ 9.1 │     │ -1300 │     -12761000      │  184545.5  │ 2772818.2  │   -2600   │     -25517000      │   2030000   │      27547000      │  4.9  │     │        │     │ 1300 │     12761000      │ 4.6 │
│    8    │ 9.84  │ 9.84  │ 9.84  │ 9.84  │     │         │   3200    │   100   │      984000       │ 31547000 │ 1674136920000 │ '2023-01-19T14:02:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 281.8 │ 9.1 │     │ -100  │      -984000       │  184545.5  │ 2772818.2  │   -2700   │     -26501000      │   2030000   │      28531000      │  0.4  │     │        │     │ 100  │      984000       │ 0.4 │
│    9    │ 9.85  │ 9.85  │ 9.85  │ 9.85  │     │         │   3300    │   100   │      985000       │ 32532000 │ 1674138000000 │ '2023-01-19T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 281.8 │ 9.1 │     │ -100  │      -985000       │  184545.5  │ 2772818.2  │   -2800   │     -27486000      │   2030000   │      29516000      │  0.4  │     │        │     │ 100  │      985000       │ 0.4 │
│   10    │ 9.85  │ 9.85  │ 9.85  │ 9.85  │     │         │   3400    │   100   │      985000       │ 33517000 │ 1674138240000 │ '2023-01-19T14:24:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 18.2 │ 281.8 │ 9.1 │     │ -100  │      -985000       │  184545.5  │ 2772818.2  │   -2900   │     -28471000      │   2030000   │      30501000      │  0.4  │     │        │     │ 100  │      985000       │ 0.4 │
