┌─────────┬───┬───┬───┬───┬─────┬────────┬───────────┬─────────┬──────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬────────┬─────┐
│ (index) │ c │ h │ l │ o │ sd  │ val_sd │ total_vol │ sum_vol │ val  │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │ val_bu │ rbu │
├─────────┼───┼───┼───┼───┼─────┼────────┼───────────┼─────────┼──────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼────────┼─────┤
│    0    │ 4 │ 4 │ 4 │ 4 │ 100 │  400   │    100    │   100   │ 400  │   400    │ 1675330200000 │ '2023-02-02T09:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 255.6 │ 11.1 │  0  │  9  │ -100  │   -400    │   1022.2   │    44.4    │   -100    │     -400      │      0      │     400     │  0.4  │      │        │     │
│    1    │ 4 │ 4 │ 4 │ 4 │     │        │    300    │   200   │ 800  │   1200   │ 1675330320000 │ '2023-02-02T09:32:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 255.6 │ 11.1 │  0  │     │  200  │    800    │   1022.2   │    44.4    │    100    │      400      │     800     │     400     │  0.8  │ 200  │  800   │ 0.8 │
│    2    │ 4 │ 4 │ 4 │ 4 │     │        │    400    │   100   │ 400  │   1600   │ 1675334760000 │ '2023-02-02T10:46:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 255.6 │ 11.1 │  0  │     │  100  │    400    │   1022.2   │    44.4    │    200    │      800      │    1200     │     400     │  0.4  │ 100  │  400   │ 0.4 │
│    3    │ 4 │ 4 │ 4 │ 4 │     │        │    500    │   100   │ 400  │   2000   │ 1675335720000 │ '2023-02-02T11:02:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 255.6 │ 11.1 │  0  │     │  100  │    400    │   1022.2   │    44.4    │    300    │     1200      │    1600     │     400     │  0.4  │ 100  │  400   │ 0.4 │
│    4    │ 4 │ 4 │ 4 │ 4 │     │        │    700    │   200   │ 800  │   2800   │ 1675346160000 │ '2023-02-02T13:56:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 255.6 │ 11.1 │  0  │     │  200  │    800    │   1022.2   │    44.4    │    500    │     2000      │    2400     │     400     │  0.8  │ 200  │  800   │ 0.8 │
│    5    │ 4 │ 4 │ 4 │ 4 │     │        │   1700    │  1000   │ 4000 │   6800   │ 1675346400000 │ '2023-02-02T14:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 255.6 │ 11.1 │  0  │     │ 1000  │   4000    │   1022.2   │    44.4    │   1500    │     6000      │    6400     │     400     │  4.1  │ 1000 │  4000  │ 3.9 │
│    6    │ 4 │ 4 │ 4 │ 4 │     │        │   1800    │   100   │ 400  │   7200   │ 1675348200000 │ '2023-02-02T14:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 255.6 │ 11.1 │  0  │     │  100  │    400    │   1022.2   │    44.4    │   1600    │     6400      │    6800     │     400     │  0.4  │ 100  │  400   │ 0.4 │
│    7    │ 4 │ 4 │ 4 │ 4 │     │        │   2300    │   500   │ 2000 │   9200   │ 1675349040000 │ '2023-02-02T14:44:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 255.6 │ 11.1 │  0  │     │  500  │   2000    │   1022.2   │    44.4    │   2100    │     8400      │    8800     │     400     │   2   │ 500  │  2000  │  2  │
│    8    │ 4 │ 4 │ 4 │ 4 │     │        │   2400    │   100   │ 400  │   9600   │ 1675349160000 │ '2023-02-02T14:46:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 255.6 │ 11.1 │  0  │     │  100  │    400    │   1022.2   │    44.4    │   2200    │     8800      │    9200     │     400     │  0.4  │ 100  │  400   │ 0.4 │
└─────────┴───┴───┴───┴───┴─────┴────────┴───────────┴─────────┴──────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴──────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴────────┴─────┘

