┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬────────────┬────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬──────┬──────┬─────┬───────┬────────────┬─────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬────────────┬─────┬─────┬─────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │    val     │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │ asd  │ auk  │ ruk │ bu-sd │ bu-sd_val  │ avg_val_bu  │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu   │   val_bu   │ rbu │ sd  │ val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼────────────┼────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼──────┼──────┼─────┼───────┼────────────┼─────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼────────────┼─────┼─────┼─────────┼─────┤
│    0    │ 29.85 │ 29.85 │ 29.85 │ 29.85 │ 100 │ 2985000 │    100    │   100   │  2985000   │  2985000   │ 1674033240000 │ '2023-01-18T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 6633.3 │ 22.2 │ 11.1 │  9  │   0   │     0      │ 196512777.8 │   660000   │     0     │       0       │      0      │      0      │   0   │       │            │     │     │         │     │
│    1    │ 29.75 │ 29.75 │ 29.75 │ 29.75 │     │         │    200    │   100   │  2975000   │  5960000   │ 1674037440000 │ '2023-01-18T10:24:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 6633.3 │ 22.2 │ 11.1 │     │  100  │  2975000   │ 196512777.8 │   660000   │    100    │    2975000    │   2975000   │      0      │   0   │  100  │  2975000   │  0  │     │         │     │
│    2    │ 29.7  │ 29.7  │ 29.7  │ 29.7  │     │         │    300    │   100   │  2970000   │  8930000   │ 1674046800000 │ '2023-01-18T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 6633.3 │ 22.2 │ 11.1 │     │  100  │  2970000   │ 196512777.8 │   660000   │    200    │    5945000    │   5945000   │      0      │   0   │  100  │  2970000   │  0  │     │         │     │
│    3    │ 29.7  │ 29.7  │ 29.7  │ 29.7  │     │         │    500    │   200   │  5940000   │  14870000  │ 1674047400000 │ '2023-01-18T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 6633.3 │ 22.2 │ 11.1 │     │  200  │  5940000   │ 196512777.8 │   660000   │    400    │   11885000    │  11885000   │      0      │   0   │  200  │  5940000   │  0  │     │         │     │
│    4    │ 29.7  │ 29.7  │ 29.6  │ 29.6  │     │         │   50700   │  50200  │ 1485940000 │ 1500810000 │ 1674048720000 │ '2023-01-18T13:32:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 6633.3 │ 22.2 │ 11.1 │     │ 50200 │ 1485940000 │ 196512777.8 │   660000   │   50600   │  1497825000   │ 1497825000  │      0      │  7.6  │ 50200 │ 1485940000 │ 7.6 │     │         │     │
│    5    │ 29.7  │ 29.7  │ 29.65 │ 29.65 │     │         │   54700   │  4000   │ 118795000  │ 1619605000 │ 1674051000000 │ '2023-01-18T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 6633.3 │ 22.2 │ 11.1 │     │ 4000  │ 118795000  │ 196512777.8 │   660000   │   54600   │  1616620000   │ 1616620000  │      0      │  0.6  │ 4000  │ 118795000  │ 0.6 │     │         │     │
│    6    │ 29.8  │ 29.8  │ 29.75 │ 29.75 │     │         │   57300   │  2600   │  77370000  │ 1696975000 │ 1674051480000 │ '2023-01-18T14:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 6633.3 │ 22.2 │ 11.1 │     │ 2600  │  77370000  │ 196512777.8 │   660000   │   57200   │  1693990000   │ 1693990000  │      0      │  0.4  │ 2600  │  77370000  │ 0.4 │     │         │     │
│    7    │ 29.7  │ 29.7  │ 29.7  │ 29.7  │     │         │   57500   │   200   │  5940000   │ 1702915000 │ 1674051960000 │ '2023-01-18T14:26:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 6633.3 │ 22.2 │ 11.1 │     │ -200  │  -5940000  │ 196512777.8 │   660000   │   57000   │  1688050000   │ 1693990000  │   5940000   │   0   │       │            │     │ 200 │ 5940000 │  9  │
│    8    │ 29.85 │ 29.85 │ 29.85 │ 29.85 │     │         │   60000   │  2500   │  74625000  │ 1777540000 │ 1674053040000 │ '2023-01-18T14:44:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 6633.3 │ 22.2 │ 11.1 │     │ 2500  │  74625000  │ 196512777.8 │   660000   │   59500   │  1762675000   │ 1768615000  │   5940000   │  0.4  │ 2500  │  74625000  │ 0.4 │     │         │     │
└─────────┴───────┴───────┴───────┴───────┴─────┴─────────┴───────────┴─────────┴────────────┴────────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴────────┴──────┴──────┴─────┴───────┴────────────┴─────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴───────┴────────────┴─────┴─────┴─────────┴─────┘

