┌─────────┬───────────────┬─────────┬─────────┬──────────┬──────────────┬──────────────┬────────────────────┬──────────┬──────────────┬────────────────────────────┬───────────────┬───────────┬──────────┬───────────────┬───────────┬───────────────┐
│ (index) │   datetime    │   sd    │   bu    │    uk    │    val_sd    │    val_bu    │       val_uk       │ sum_vol  │     val      │            date            │   acum_val    │ total_vol │  bu-sd   │   bu-sd_val   │ acum_busd │ acum_busd_val │
├─────────┼───────────────┼─────────┼─────────┼──────────┼──────────────┼──────────────┼────────────────────┼──────────┼──────────────┼────────────────────────────┼───────────────┼───────────┼──────────┼───────────────┼───────────┼───────────────┤
│    0    │ 1673601240000 │ 1902500 │ 2801300 │ 1249200  │ 30335170000  │ 48472904000  │    18256624000     │ 5953000  │ 97064698000  │ '2023-01-13T09:14:00.000Z' │  97064698000  │  5953000  │  898800  │  18137734000  │  898800   │  18137734000  │
│    1    │ 1673601360000 │ 1148100 │ 3464500 │  43500   │ 18159625000  │ 60439324000  │     679626000      │ 4656100  │ 79278575000  │ '2023-01-13T09:16:00.000Z' │ 176343273000  │ 10609100  │ 2316400  │  42279699000  │  3215200  │  60417433000  │
│    2    │ 1673601480000 │ 1694200 │ 2537400 │   8100   │ 24582043000  │ 41297429000  │     174999000      │ 4239700  │ 66054471000  │ '2023-01-13T09:18:00.000Z' │ 242397744000  │ 14848800  │  843200  │  16715386000  │  4058400  │  77132819000  │
│    3    │ 1673601600000 │ 1929400 │ 1816000 │  12400   │ 32293452000  │ 34109048000  │     206176000      │ 3757800  │ 66608676000  │ '2023-01-13T09:20:00.000Z' │ 309006420000  │ 18606600  │ -113400  │  1815596000   │  3945000  │  78948415000  │
│    4    │ 1673601720000 │ 2510500 │ 1989700 │  18600   │ 41692856000  │ 35193697000  │     303268000      │ 4518800  │ 77189821000  │ '2023-01-13T09:22:00.000Z' │ 386196241000  │ 23125400  │ -520800  │  -6499159000  │  3424200  │  72449256000  │
│    5    │ 1673601840000 │ 2616300 │ 1443500 │  28200   │ 41077645000  │ 26802058000  │     558369000      │ 4088000  │ 68438072000  │ '2023-01-13T09:24:00.000Z' │ 454634313000  │ 27213400  │ -1172800 │ -14275587000  │  2251400  │  58173669000  │
│    6    │ 1673601960000 │ 1252700 │ 1464100 │  16100   │ 20842746000  │ 28597389000  │     373522000      │ 2732900  │ 49813657000  │ '2023-01-13T09:26:00.000Z' │ 504447970000  │ 29946300  │  211400  │  7754643000   │  2462800  │  65928312000  │
│    7    │ 1673602080000 │ 1014800 │ 1451100 │  11000   │ 16673662000  │ 27197322000  │     170878000      │ 2476900  │ 44041862000  │ '2023-01-13T09:28:00.000Z' │ 548489832000  │ 32423200  │  436300  │  10523660000  │  2899100  │  76451972000  │
│    8    │ 1673602200000 │ 1371400 │ 2373700 │  14400   │ 23715069000  │ 46112845000  │     292814000      │ 3759500  │ 70120728000  │ '2023-01-13T09:30:00.000Z' │ 618610560000  │ 36182700  │ 1002300  │  22397776000  │  3901400  │  98849748000  │
