┌─────────┬──────┬──────┬──────┬──────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  uk  │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd  │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │ bu  │ val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼─────────┼─────┤
│    0    │ 15.9 │ 15.9 │ 15.9 │ 15.9 │ 1000 │ 15900000 │   1000    │  1000   │ 15900000 │ 15900000  │ 1673428200000 │ '2023-01-11T09:10:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 20  │ 1030 │ 100 │ 10  │   0   │     0     │   152160   │  15685000  │     0     │       0       │      0      │      0      │  -0   │      │          │     │     │         │     │
│    1    │ 15.1 │ 15.1 │ 15.1 │ 15.1 │      │          │   1100    │   100   │ 1510000  │ 17410000  │ 1673428500000 │ '2023-01-11T09:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 1030 │ 100 │     │ -100  │ -1510000  │   152160   │  15685000  │   -100    │   -1510000    │      0      │   1510000   │  0.1  │ 100  │ 1510000  │ 0.1 │     │         │     │
│    2    │ 15.1 │ 15.1 │ 15.1 │ 15.1 │      │          │   3800    │  2700   │ 40770000 │ 58180000  │ 1673431500000 │ '2023-01-11T10:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 1030 │ 100 │     │ -2700 │ -40770000 │   152160   │  15685000  │   -2800   │   -42280000   │      0      │  42280000   │  2.6  │ 2700 │ 40770000 │ 2.6 │     │         │     │
│    3    │ 15.2 │ 15.2 │ 15.2 │ 15.2 │      │          │   4500    │   700   │ 10640000 │ 68820000  │ 1673432100000 │ '2023-01-11T10:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 1030 │ 100 │     │ -700  │ -10640000 │   152160   │  15685000  │   -3500   │   -52920000   │      0      │  52920000   │  0.7  │ 700  │ 10640000 │ 0.7 │     │         │     │
│    4    │ 15.2 │ 15.2 │ 15.2 │ 15.2 │      │          │   4600    │   100   │ 1520000  │ 70340000  │ 1673432400000 │ '2023-01-11T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 20  │ 1030 │ 100 │     │  100  │  1520000  │   152160   │  15685000  │   -3400   │   -51400000   │   1520000   │  52920000   │ -0.1  │      │          │     │ 100 │ 1520000 │  5  │
│    5    │ 15.2 │ 15.2 │ 15.2 │ 15.2 │      │          │   5600    │  1000   │ 15200000 │ 85540000  │ 1673434500000 │ '2023-01-11T10:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 1030 │ 100 │     │ -1000 │ -15200000 │   152160   │  15685000  │   -4400   │   -66600000   │   1520000   │  68120000   │   1   │ 1000 │ 15200000 │  1  │     │         │     │
│    6    │  16  │  16  │  16  │  16  │      │          │   5700    │   100   │   1600   │ 85541600  │ 1673442000000 │ '2023-01-11T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 20  │ 1030 │ 100 │     │  100  │   1600    │   152160   │  15685000  │   -4300   │   -66598400   │   1521600   │  68120000   │  -0   │      │          │     │ 100 │  1600   │  5  │
│    7    │ 15.4 │ 15.4 │ 15.4 │ 15.4 │      │          │   5800    │   100   │ 1540000  │ 87081600  │ 1673443800000 │ '2023-01-11T13:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 1030 │ 100 │     │ -100  │ -1540000  │   152160   │  15685000  │   -4400   │   -68138400   │   1521600   │  69660000   │  0.1  │ 100  │ 1540000  │ 0.1 │     │         │     │
│    8    │ 15.3 │ 15.3 │ 15.3 │ 15.3 │      │          │   10900   │  5100   │ 78030000 │ 165111600 │ 1673444400000 │ '2023-01-11T13:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 1030 │ 100 │     │ -5100 │ -78030000 │   152160   │  15685000  │   -9500   │  -146168400   │   1521600   │  147690000  │   5   │ 5100 │ 78030000 │  5  │     │         │     │
│    9    │ 15.2 │ 15.3 │ 15.2 │ 15.3 │      │          │   11500   │   600   │ 9160000  │ 174271600 │ 1673448900000 │ '2023-01-11T14:55:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 1030 │ 100 │     │ -600  │ -9160000  │   152160   │  15685000  │  -10100   │  -155328400   │   1521600   │  156850000  │  0.6  │ 600  │ 9160000  │ 0.6 │     │         │     │
└─────────┴──────┴──────┴──────┴──────┴──────┴──────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴──────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴─────┴─────────┴─────┘

