┌─────────┬───────────────┬──────────┬──────────┬──────────┬──────────────┬──────────────┬────────────────────┬──────────┬──────────────┬────────────────────────────┬────────────────┬───────────┬──────────┬───────────────┬───────────┬───────────────┬───────────────┬───────────────┬───────────┬───────────┬───────────────┬───────────────┬─────────────┬───────────┬───────────┬───────────┬──────────┬──────────────┬───────┐
│ (index) │   datetime    │    sd    │    bu    │    uk    │    val_sd    │    val_bu    │       val_uk       │ sum_vol  │     val      │            date            │    acum_val    │ total_vol │  bu-sd   │   bu-sd_val   │ acum_busd │ acum_busd_val │  acum_val_bu  │  acum_val_sd  │ accum_bu  │ accum_sd  │  avg_val_bu   │  avg_val_sd   │   avg_val   │  avg_vol  │  avg_bu   │  avg_sd   │ avg_busd │ avg_busd_val │ rbusd │
├─────────┼───────────────┼──────────┼──────────┼──────────┼──────────────┼──────────────┼────────────────────┼──────────┼──────────────┼────────────────────────────┼────────────────┼───────────┼──────────┼───────────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────────┼───────────────┼─────────────┼───────────┼───────────┼───────────┼──────────┼──────────────┼───────┤
│    0    │ 1670576400000 │   100    │    0     │    0     │   1010000    │      0       │         0          │   100    │   1010000    │ '2022-12-09T09:00:00.000Z' │    1010000     │    100    │   -100   │   -1010000    │   -100    │   -1010000    │       0       │    1010000    │     0     │    100    │ 41080496474.4 │ 38840054543.8 │ 87346175081 │ 5724198.3 │ 2669761.2 │ 2565941.3 │ 103819.8 │ 2240441930.6 │   0   │
│    1    │ 1670576880000 │   2000   │    0     │    0     │   20200000   │      0       │         0          │   2000   │   20200000   │ '2022-12-09T09:08:00.000Z' │    21210000    │   2100    │  -2000   │   -20200000   │   -2100   │   -21210000   │       0       │   21210000    │     0     │   2100    │ 41080496474.4 │ 38840054543.8 │ 87346175081 │ 5724198.3 │ 2669761.2 │ 2565941.3 │ 103819.8 │ 2240441930.6 │   0   │
│    2    │ 1670577120000 │    0     │   200    │    0     │      0       │   2020000    │         0          │   200    │   2020000    │ '2022-12-09T09:12:00.000Z' │    23230000    │   2300    │   200    │    2020000    │   -1900   │   -19190000   │    2020000    │   21210000    │    200    │   2100    │ 41080496474.4 │ 38840054543.8 │ 87346175081 │ 5724198.3 │ 2669761.2 │ 2565941.3 │ 103819.8 │ 2240441930.6 │   0   │
│    3    │ 1670577240000 │ 4457300  │ 5163900  │ 18056400 │ 47206802000  │ 77666684000  │ 257688215199.99997 │ 27677600 │ 382561701200 │ '2022-12-09T09:14:00.000Z' │  382584931200  │ 27679900  │  706600  │  30459882000  │  704700   │  30440692000  │  77668704000  │  47228012000  │  5164100  │  4459400  │ 41080496474.4 │ 38840054543.8 │ 87346175081 │ 5724198.3 │ 2669761.2 │ 2565941.3 │ 103819.8 │ 2240441930.6 │ 13.6  │
│    4    │ 1670577360000 │ 3453500  │ 3949300  │  74800   │ 43721535700  │ 53546201600  │     1323847300     │ 7477600  │ 98591584600  │ '2022-12-09T09:16:00.000Z' │  481176515800  │ 35157500  │  495800  │  9824665900   │  1200500  │  40265357900  │ 131214905600  │  90949547700  │  9113400  │  7912900  │ 41080496474.4 │ 38840054543.8 │ 87346175081 │ 5724198.3 │ 2669761.2 │ 2565941.3 │ 103819.8 │ 2240441930.6 │  4.4  │
│    5    │ 1670577480000 │ 2826300  │ 2788800  │  54700   │ 38870250600  │ 42232780200  │     1164861800     │ 5669800  │ 82267892600  │ '2022-12-09T09:18:00.000Z' │  563444408400  │ 40827300  │  -37500  │  3362529600   │  1163000  │  43627887500  │ 173447685800  │ 129819798300  │ 11902200  │ 10739200  │ 41080496474.4 │ 38840054543.8 │ 87346175081 │ 5724198.3 │ 2669761.2 │ 2565941.3 │ 103819.8 │ 2240441930.6 │  1.5  │
│    6    │ 1670577600000 │ 3628600  │ 2360900  │  30400   │ 49158539600  │ 32820536700  │     314822000      │ 6019900  │ 82293898300  │ '2022-12-09T09:20:00.000Z' │  645738306700  │ 46847200  │ -1267700 │ -16338002900  │  -104700  │  27289884600  │ 206268222500  │ 178978337900  │ 14263100  │ 14367800  │ 41080496474.4 │ 38840054543.8 │ 87346175081 │ 5724198.3 │ 2669761.2 │ 2565941.3 │ 103819.8 │ 2240441930.6 │  7.3  │
│    7    │ 1670577720000 │ 4091700  │ 2216600  │  65300   │ 55459756600  │ 31801383800  │     911616000      │ 6373600  │ 88172756400  │ '2022-12-09T09:22:00.000Z' │  733911063100  │ 53220800  │ -1875100 │ -23658372800  │ -1979800  │  3631511800   │ 238069606300  │ 234438094500  │ 16479700  │ 18459500  │ 41080496474.4 │ 38840054543.8 │ 87346175081 │ 5724198.3 │ 2669761.2 │ 2565941.3 │ 103819.8 │ 2240441930.6 │ 10.6  │
│    8    │ 1670577840000 │ 3425000  │ 1738900  │  38800   │ 44743673600  │ 28734016100  │     498708000      │ 5202700  │ 73976397700  │ '2022-12-09T09:24:00.000Z' │  807887460800  │ 58423500  │ -1686100 │ -16009657500  │ -3665900  │ -12378145700  │ 266803622400  │ 279181768100  │ 18218600  │ 21884500  │ 41080496474.4 │ 38840054543.8 │ 87346175081 │ 5724198.3 │ 2669761.2 │ 2565941.3 │ 103819.8 │ 2240441930.6 │  7.1  │
