┌─────────┬───────────────┬──────────┬──────────┬──────────┬──────────────┬────────────────────┬────────────────────┬──────────┬────────────────────┬────────────────────────────┬────────────────────┬───────────┬───────────┬────────────────────┬────────────┬────────────────────┬────────────────────┬───────────────┬───────────┬───────────┬─────────────┬───────────────┬───────────────┬─────────┬───────────┬───────────┬───────────┬───────────────┬───────┐
│ (index) │   datetime    │    sd    │    bu    │    uk    │    val_sd    │       val_bu       │       val_uk       │ sum_vol  │        val         │            date            │      acum_val      │ total_vol │   bu-sd   │     bu-sd_val      │ acum_busd  │   acum_busd_val    │    acum_val_bu     │  acum_val_sd  │ accum_bu  │ accum_sd  │ avg_val_bu  │  avg_val_sd   │    avg_val    │ avg_vol │  avg_bu   │  avg_sd   │ avg_busd  │ avg_busd_val  │ rbusd │
├─────────┼───────────────┼──────────┼──────────┼──────────┼──────────────┼────────────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼────────────────────┼───────────┼───────────┼────────────────────┼────────────┼────────────────────┼────────────────────┼───────────────┼───────────┼───────────┼─────────────┼───────────────┼───────────────┼─────────┼───────────┼───────────┼───────────┼───────────────┼───────┤
│    0    │ 1671613320000 │    0     │   200    │    0     │      0       │ 2039999.9999999998 │         0          │   200    │ 2039999.9999999998 │ '2022-12-21T09:02:00.000Z' │ 2039999.9999999998 │    200    │    200    │ 2039999.9999999998 │    200     │ 2039999.9999999998 │ 2039999.9999999998 │       0       │    200    │     0     │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │   0   │
│    1    │ 1671613440000 │   1200   │   600    │    0     │   12360000   │      6240000       │         0          │   1800   │      18600000      │ '2022-12-21T09:04:00.000Z' │      20640000      │   2000    │   -600    │      -6120000      │    -400    │      -4080000      │      8280000       │   12360000    │    800    │   1200    │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │   0   │
│    2    │ 1671613560000 │    0     │    0     │   1000   │      0       │         0          │      10300000      │   1000   │      10300000      │ '2022-12-21T09:06:00.000Z' │      30940000      │   3000    │     0     │         0          │    -400    │      -4080000      │      8280000       │   12360000    │    800    │   1200    │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │   0   │
│    3    │ 1671614040000 │ 4940700  │ 3922300  │ 1802000  │ 45051606900  │    49642939600     │    24393834100     │ 10665000 │    119088380600    │ '2022-12-21T09:14:00.000Z' │    119119320600    │ 10668000  │ -1018400  │     4591332700     │  -1018800  │     4587252700     │    49651219600     │  45063966900  │  3923100  │  4941900  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  0.5  │
│    4    │ 1671614160000 │ 2114800  │ 2283800  │  29900   │ 29489161800  │    34756915900     │     492176000      │ 4428500  │    64738253700     │ '2022-12-21T09:16:00.000Z' │    183857574300    │ 15096500  │  169000   │     5267754100     │  -849800   │     9855006800     │    84408135500     │  74553128700  │  6206900  │  7056700  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  0.5  │
│    5    │ 1671614280000 │ 3221000  │ 1728000  │  13300   │ 44736164600  │    29062244700     │     217587000      │ 4962300  │    74015996300     │ '2022-12-21T09:18:00.000Z' │    257873570600    │ 20058800  │ -1493000  │    -15673919900    │  -2342800  │    -5818913100     │    113470380200    │ 119289293300  │  7934900  │ 10277700  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  1.6  │
│    6    │ 1671614400000 │ 3228300  │ 3069100  │  16700   │ 48214874800  │    56977133400     │     142055000      │ 6314100  │    105334063200    │ '2022-12-21T09:20:00.000Z' │    363207633800    │ 26372900  │  -159200  │     8762258600     │  -2502000  │     2943345500     │    170447513600    │ 167504168100  │ 11004000  │ 13506000  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  0.9  │
│    7    │ 1671614520000 │ 2731500  │ 1728600  │  51000   │ 38731545300  │    25994714800     │     824091000      │ 4511100  │    65550351100     │ '2022-12-21T09:22:00.000Z' │    428757984900    │ 30884000  │ -1002900  │    -12736830500    │  -3504900  │    -9793485000     │    196442228400    │ 206235713400  │ 12732600  │ 16237500  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  1.3  │
│    8    │ 1671614640000 │ 2574300  │ 2201500  │  22300   │ 36176040300  │    39850899800     │     494192300      │ 4798100  │    76521132400     │ '2022-12-21T09:24:00.000Z' │    505279117300    │ 35682100  │  -372800  │     3674859500     │  -3877700  │    -6118625500     │    236293128200    │ 242411753700  │ 14934100  │ 18811800  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  0.4  │
│    9    │ 1671614760000 │ 1388200  │ 2167700  │  16200   │ 20992819600  │    36745811600     │     240836000      │ 3572100  │    57979467200     │ '2022-12-21T09:26:00.000Z' │    563258584500    │ 39254200  │  779500   │    15752992000     │  -3098200  │     9634366500     │    273038939800    │ 263404573300  │ 17101800  │ 20200000  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  1.6  │
│   10    │ 1671614880000 │ 1409200  │ 1239700  │   2300   │ 19634782800  │    18699591300     │      57857000      │ 2651200  │    38392231100     │ '2022-12-21T09:28:00.000Z' │    601650815600    │ 41905400  │  -169500  │     -935191500     │  -3267700  │     8699175000     │    291738531100    │ 283039356100  │ 18341500  │ 21609200  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  0.1  │
│   11    │ 1671615000000 │ 1700800  │ 1010100  │  18200   │ 25837486600  │    14345720800     │     130239100      │ 2729100  │    40313446500     │ '2022-12-21T09:30:00.000Z' │    641964262100    │ 44634500  │  -690700  │    -11491765800    │  -3958400  │    -2792590800     │    306084251900    │ 308876842700  │ 19351600  │ 23310000  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  1.2  │
│   12    │ 1671615120000 │ 2545400  │  988900  │  14900   │ 36680990700  │    14759436000     │     299448000      │ 3549200  │    51739874700     │ '2022-12-21T09:32:00.000Z' │    693704136800    │ 48183700  │ -1556500  │    -21921554700    │  -5514900  │    -24714145500    │    320843687900    │ 345557833400  │ 20340500  │ 25855400  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  2.2  │
│   13    │ 1671615240000 │ 4362800  │ 1414800  │  18300   │ 63422652500  │    22838060000     │     192868000      │ 5795900  │    86453580500     │ '2022-12-21T09:34:00.000Z' │    780157717300    │ 53979600  │ -2948000  │    -40584592500    │  -8462900  │    -65298738000    │    343681747900    │ 408980485900  │ 21755300  │ 30218200  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  4.2  │
│   14    │ 1671615360000 │ 4003400  │  804500  │  19800   │ 52808410900  │    10642987200     │     299484000      │ 4827700  │    63750882100     │ '2022-12-21T09:36:00.000Z' │    843908599400    │ 58807300  │ -3198900  │    -42165423700    │ -11661800  │   -107464161700    │    354324735100    │ 461788896800  │ 22559800  │ 34221600  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  4.3  │
│   15    │ 1671615480000 │ 3349600  │ 1509400  │  73800   │ 39075380200  │    35384127700     │     1335680800     │ 4932800  │    75795188700     │ '2022-12-21T09:38:00.000Z' │    919703788100    │ 63740100  │ -1840200  │    -3691252500     │ -13502000  │   -111155414200    │    389708862800    │ 500864277000  │ 24069200  │ 37571200  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  0.4  │
│   16    │ 1671615600000 │ 2040500  │ 1566300  │  37100   │ 29275407600  │    26861515300     │     515673200      │ 3643900  │    56652596100     │ '2022-12-21T09:40:00.000Z' │    976356384200    │ 67384000  │  -474200  │    -2413892300     │ -13976200  │   -113569306500    │    416570378100    │ 530139684600  │ 25635500  │ 39611700  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  0.2  │
│   17    │ 1671615720000 │ 1208400  │ 1927100  │  11800   │ 18341814600  │    27281532600     │     109825000      │ 3147300  │    45733172200     │ '2022-12-21T09:42:00.000Z' │   1022089556400    │ 70531300  │  718700   │     8939718000     │ -13257500  │   -104629588500    │    443851910700    │ 548481499200  │ 27562600  │ 40820100  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  0.9  │
│   18    │ 1671615840000 │  917000  │ 1224800  │  10100   │ 14136671900  │    22506057700     │     439550000      │ 2151900  │    37082279600     │ '2022-12-21T09:44:00.000Z' │   1059171836000    │ 72683200  │  307800   │     8369385800     │ -12949700  │    -96260202700    │    466357968400    │ 562618171100  │ 28787400  │ 41737100  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  0.9  │
│   19    │ 1671615960000 │ 1178100  │ 1082600  │  13800   │ 16554353900  │    15242344500     │     182499000      │ 2274500  │    31979197400     │ '2022-12-21T09:46:00.000Z' │   1091151033400    │ 74957700  │  -95500   │    -1312009400     │ -13045200  │    -97572212100    │    481600312900    │ 579172525000  │ 29870000  │ 42915200  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  0.1  │
│   20    │ 1671616080000 │  970600  │  945000  │  15000   │ 14189928700  │    17227421300     │     186517000      │ 1930600  │    31603867000     │ '2022-12-21T09:48:00.000Z' │   1122754900400    │ 76888300  │  -25600   │     3037492600     │ -13070800  │    -94534719500    │    498827734200    │ 593362453700  │ 30815000  │ 43885800  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  0.3  │
├─────────┼───────────────┼──────────┼──────────┼──────────┼──────────────┼────────────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼────────────────────┼───────────┼───────────┼────────────────────┼────────────┼────────────────────┼────────────────────┼───────────────┼───────────┼───────────┼─────────────┼───────────────┼───────────────┼─────────┼───────────┼───────────┼───────────┼───────────────┼───────┤
│ (index) │   datetime    │    sd    │    bu    │    uk    │    val_sd    │       val_bu       │       val_uk       │ sum_vol  │        val         │            date            │      acum_val      │ total_vol │   bu-sd   │     bu-sd_val      │ acum_busd  │   acum_busd_val    │    acum_val_bu     │  acum_val_sd  │ accum_bu  │ accum_sd  │ avg_val_bu  │  avg_val_sd   │    avg_val    │ avg_vol │  avg_bu   │  avg_sd   │ avg_busd  │ avg_busd_val  │ rbusd │
├─────────┼───────────────┼──────────┼──────────┼──────────┼──────────────┼────────────────────┼────────────────────┼──────────┼────────────────────┼────────────────────────────┼────────────────────┼───────────┼───────────┼────────────────────┼────────────┼────────────────────┼────────────────────┼───────────────┼───────────┼───────────┼─────────────┼───────────────┼───────────────┼─────────┼───────────┼───────────┼───────────┼───────────────┼───────┤
│   21    │ 1671616200000 │ 1028900  │  754600  │  35300   │ 15618806400  │    13496386800     │     170074000      │ 1818800  │    29285267200     │ '2022-12-21T09:50:00.000Z' │   1152040167600    │ 78707100  │  -274300  │    -2122419600     │ -13345100  │    -96657139100    │    512324121000    │ 608981260100  │ 31569600  │ 44914700  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  0.2  │
│   22    │ 1671616320000 │  529800  │ 1106700  │   8900   │  9539882700  │    16366364500     │     185463500      │ 1645400  │    26091710700     │ '2022-12-21T09:52:00.000Z' │   1178131878300    │ 80352500  │  576900   │     6826481800     │ -12768200  │    -89830657300    │    528690485500    │ 618521142800  │ 32676300  │ 45444500  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  0.7  │
│   23    │ 1671616440000 │  661400  │ 1605700  │  15600   │ 11108380800  │    24731735100     │     274140000      │ 2282700  │    36114255900     │ '2022-12-21T09:54:00.000Z' │   1214246134200    │ 82635200  │  944300   │    13623354300     │ -11823900  │    -76207303000    │    553422220600    │ 629629523600  │ 34282000  │ 46105900  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  1.4  │
│   24    │ 1671616560000 │  729900  │ 1905400  │   200    │ 10777875900  │    26652353500     │      5070000       │ 2635500  │    37435299400     │ '2022-12-21T09:56:00.000Z' │   1251681433600    │ 85270700  │  1175500  │    15874477600     │ -10648400  │    -60332825400    │    580074574100    │ 640407399500  │ 36187400  │ 46835800  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  1.6  │
│   25    │ 1671616680000 │  970700  │ 1168300  │  39000   │ 13519979900  │    17579947800     │     767365000      │ 2178000  │    31867292700     │ '2022-12-21T09:58:00.000Z' │   1283548726300    │ 87448700  │  197600   │     4059967900     │ -10450800  │    -56272857500    │    597654521900    │ 653927379400  │ 37355700  │ 47806500  │ 33033558627 │ 42807246108.2 │ 80035677175.4 │ 5463991 │ 2169250.8 │ 3044913.9 │ -875663.1 │ -9773687481.1 │  0.4  │
