┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬─────┬──────────┬─────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │ bs  │    sb    │ abu │ asd │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │ val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼─────┼──────────┼─────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼─────┤
│    0    │ 4900 │ 4900 │ 4900 │ 4900 │ 600 │ 2940000 │    600    │   600   │ 2940000 │ 2940000  │ 1677231300000 │ '2023-02-24T09:35:00.000Z' │  0  │  0  │ 100 │ NaN │   NaN    │  0  │ 475 │ 50  │ 12  │   0   │     0     │     0      │ 2284166.7  │     0     │       0       │      0      │      0      │  -0   │      │         │     │
│    1    │ 4900 │ 4900 │ 4900 │ 4900 │     │         │    900    │   300   │ 1470000 │ 4410000  │ 1677232200000 │ '2023-02-24T09:50:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 475 │ 50  │     │ -300  │ -1470000  │     0      │ 2284166.7  │   -300    │   -1470000    │      0      │   1470000   │  0.6  │ 300  │ 1470000 │ 0.6 │
│    2    │ 4900 │ 4900 │ 4900 │ 4900 │     │         │   1000    │   100   │ 490000  │ 4900000  │ 1677232500000 │ '2023-02-24T09:55:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 475 │ 50  │     │ -100  │  -490000  │     0      │ 2284166.7  │   -400    │   -1960000    │      0      │   1960000   │  0.2  │ 100  │ 490000  │ 0.2 │
│    3    │ 4900 │ 4900 │ 4900 │ 4900 │     │         │   1100    │   100   │ 490000  │ 5390000  │ 1677232800000 │ '2023-02-24T10:00:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 475 │ 50  │     │ -100  │  -490000  │     0      │ 2284166.7  │   -500    │   -2450000    │      0      │   2450000   │  0.2  │ 100  │ 490000  │ 0.2 │
│    4    │ 4800 │ 4800 │ 4800 │ 4800 │     │         │   1400    │   300   │ 1440000 │ 6830000  │ 1677233400000 │ '2023-02-24T10:10:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 475 │ 50  │     │ -300  │ -1440000  │     0      │ 2284166.7  │   -800    │   -3890000    │      0      │   3890000   │  0.6  │ 300  │ 1440000 │ 0.6 │
│    5    │ 4800 │ 4800 │ 4800 │ 4800 │     │         │   2600    │  1200   │ 5760000 │ 12590000 │ 1677234300000 │ '2023-02-24T10:25:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 475 │ 50  │     │ -1200 │ -5760000  │     0      │ 2284166.7  │   -2000   │   -9650000    │      0      │   9650000   │  2.5  │ 1200 │ 5760000 │ 2.5 │
│    6    │ 4800 │ 4800 │ 4800 │ 4800 │     │         │   2900    │   300   │ 1440000 │ 14030000 │ 1677234600000 │ '2023-02-24T10:30:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 475 │ 50  │     │ -300  │ -1440000  │     0      │ 2284166.7  │   -2300   │   -11090000   │      0      │  11090000   │  0.6  │ 300  │ 1440000 │ 0.6 │
│    7    │ 4800 │ 4800 │ 4800 │ 4800 │     │         │   3100    │   200   │ 960000  │ 14990000 │ 1677235200000 │ '2023-02-24T10:40:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 475 │ 50  │     │ -200  │  -960000  │     0      │ 2284166.7  │   -2500   │   -12050000   │      0      │  12050000   │  0.4  │ 200  │ 960000  │ 0.4 │
│    8    │ 4800 │ 4800 │ 4800 │ 4800 │     │         │   3600    │   500   │ 2400000 │ 17390000 │ 1677244500000 │ '2023-02-24T13:15:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 475 │ 50  │     │ -500  │ -2400000  │     0      │ 2284166.7  │   -3000   │   -14450000   │      0      │  14450000   │  1.1  │ 500  │ 2400000 │ 1.1 │
│    9    │ 4800 │ 4800 │ 4800 │ 4800 │     │         │   5600    │  2000   │ 9600000 │ 26990000 │ 1677245100000 │ '2023-02-24T13:25:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 475 │ 50  │     │ -2000 │ -9600000  │     0      │ 2284166.7  │   -5000   │   -24050000   │      0      │  24050000   │  4.2  │ 2000 │ 9600000 │ 4.2 │
│   10    │ 4800 │ 4800 │ 4800 │ 4800 │     │         │   5800    │   200   │ 960000  │ 27950000 │ 1677245700000 │ '2023-02-24T13:35:00.000Z' │  0  │ 100 │  0  │  0  │ Infinity │  0  │ 475 │ 50  │     │ -200  │  -960000  │     0      │ 2284166.7  │   -5200   │   -25010000   │      0      │  25010000   │  0.4  │ 200  │ 960000  │ 0.4 │
