┌─────────┬─────┬─────┬─────┬─────┬───────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬────┬────────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┐
│ (index) │  c  │  h  │  l  │  o  │  bu   │  val_bu  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb │  abu   │ asd │ auk │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼─────┼─────┼─────┼─────┼───────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼────┼────────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│    0    │ 500 │ 500 │ 500 │ 500 │ 76400 │ 38200000 │   76400   │  76400  │ 38200000 │ 38200000  │ 1677229200000 │ '2023-02-24T09:00:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7902.8 │  0  │  0  │ 9.7 │ 76400 │ 38200000  │ 3951388.9  │     0      │   76400   │   38200000    │  38200000   │      0      │  9.7  │
│    1    │ 500 │ 500 │ 500 │ 500 │ 6000  │ 3000000  │   82400   │  6000   │ 3000000  │ 41200000  │ 1677229500000 │ '2023-02-24T09:05:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7902.8 │  0  │  0  │ 0.8 │ 6000  │  3000000  │ 3951388.9  │     0      │   82400   │   41200000    │  41200000   │      0      │  0.8  │
│    2    │ 500 │ 500 │ 500 │ 500 │ 6400  │ 3200000  │   88800   │  6400   │ 3200000  │ 44400000  │ 1677229800000 │ '2023-02-24T09:10:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7902.8 │  0  │  0  │ 0.8 │ 6400  │  3200000  │ 3951388.9  │     0      │   88800   │   44400000    │  44400000   │      0      │  0.8  │
│    3    │ 500 │ 500 │ 500 │ 500 │ 6000  │ 3000000  │   94800   │  6000   │ 3000000  │ 47400000  │ 1677230100000 │ '2023-02-24T09:15:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7902.8 │  0  │  0  │ 0.8 │ 6000  │  3000000  │ 3951388.9  │     0      │   94800   │   47400000    │  47400000   │      0      │  0.8  │
│    4    │ 500 │ 500 │ 500 │ 500 │ 7500  │ 3750000  │  102300   │  7500   │ 3750000  │ 51150000  │ 1677230400000 │ '2023-02-24T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7902.8 │  0  │  0  │ 0.9 │ 7500  │  3750000  │ 3951388.9  │     0      │  102300   │   51150000    │  51150000   │      0      │  0.9  │
│    5    │ 500 │ 500 │ 500 │ 500 │ 1000  │  500000  │  103300   │  1000   │  500000  │ 51650000  │ 1677230700000 │ '2023-02-24T09:25:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7902.8 │  0  │  0  │ 0.1 │ 1000  │  500000   │ 3951388.9  │     0      │  103300   │   51650000    │  51650000   │      0      │  0.1  │
│    6    │ 500 │ 500 │ 500 │ 500 │ 9100  │ 4550000  │  112400   │  9100   │ 4550000  │ 56200000  │ 1677231000000 │ '2023-02-24T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7902.8 │  0  │  0  │ 1.2 │ 9100  │  4550000  │ 3951388.9  │     0      │  112400   │   56200000    │  56200000   │      0      │  1.2  │
│    7    │ 500 │ 500 │ 500 │ 500 │ 12800 │ 6400000  │  125200   │  12800  │ 6400000  │ 62600000  │ 1677231300000 │ '2023-02-24T09:35:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7902.8 │  0  │  0  │ 1.6 │ 12800 │  6400000  │ 3951388.9  │     0      │  125200   │   62600000    │  62600000   │      0      │  1.6  │
│    8    │ 500 │ 500 │ 500 │ 500 │  900  │  450000  │  126100   │   900   │  450000  │ 63050000  │ 1677231600000 │ '2023-02-24T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 7902.8 │  0  │  0  │ 0.1 │  900  │  450000   │ 3951388.9  │     0      │  126100   │   63050000    │  63050000   │      0      │  0.1  │
