┌─────────┬──────┬──────┬──────┬──────┬──────┬─────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬─────────┬─────┬──────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  uk  │ val_uk  │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │  auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ bu  │ val_bu  │ rbu │  sd  │ val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼──────┼─────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼─────────┼─────┼──────┼─────────┼─────┤
│    0    │ 2400 │ 2400 │ 2400 │ 2400 │ 4000 │ 9600000 │   4000    │  4000   │ 9600000 │ 9600000  │ 1677229200000 │ '2023-02-24T09:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 155.6 │ 211.1 │ 444.4 │  9  │   0   │     0     │  347777.8  │  464444.4  │     0     │       0       │      0      │      0      │  -0   │     │         │     │      │         │     │
│    1    │ 2300 │ 2300 │ 2300 │ 2300 │      │         │   4500    │   500   │ 1150000 │ 10750000 │ 1677231300000 │ '2023-02-24T09:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 155.6 │ 211.1 │ 444.4 │     │  500  │  1150000  │  347777.8  │  464444.4  │    500    │    1150000    │   1150000   │      0      │ -9.9  │ 500 │ 1150000 │ 3.2 │      │         │     │
│    2    │ 2200 │ 2200 │ 2200 │ 2200 │      │         │   5500    │  1000   │ 2200000 │ 12950000 │ 1677234000000 │ '2023-02-24T10:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 155.6 │ 211.1 │ 444.4 │     │ -1000 │ -2200000  │  347777.8  │  464444.4  │   -500    │   -1050000    │   1150000   │   2200000   │ 18.9  │     │         │     │ 1000 │ 2200000 │ 4.7 │
│    3    │ 2200 │ 2200 │ 2200 │ 2200 │      │         │   6400    │   900   │ 1980000 │ 14930000 │ 1677234600000 │ '2023-02-24T10:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 155.6 │ 211.1 │ 444.4 │     │ -900  │ -1980000  │  347777.8  │  464444.4  │   -1400   │   -3030000    │   1150000   │   4180000   │  17   │     │         │     │ 900  │ 1980000 │ 4.3 │
│    4    │ 2200 │ 2200 │ 2200 │ 2200 │      │         │   6900    │   500   │ 1100000 │ 16030000 │ 1677243600000 │ '2023-02-24T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 155.6 │ 211.1 │ 444.4 │     │  500  │  1100000  │  347777.8  │  464444.4  │   -900    │   -1930000    │   2250000   │   4180000   │ -9.4  │ 500 │ 1100000 │ 3.2 │      │         │     │
│    5    │ 2200 │ 2200 │ 2200 │ 2200 │      │         │   7000    │   100   │ 220000  │ 16250000 │ 1677244200000 │ '2023-02-24T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 155.6 │ 211.1 │ 444.4 │     │  100  │  220000   │  347777.8  │  464444.4  │   -800    │   -1710000    │   2470000   │   4180000   │ -1.9  │ 100 │ 220000  │ 0.6 │      │         │     │
│    6    │ 2200 │ 2200 │ 2200 │ 2200 │      │         │   7100    │   100   │ 220000  │ 16470000 │ 1677245400000 │ '2023-02-24T13:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 155.6 │ 211.1 │ 444.4 │     │  100  │  220000   │  347777.8  │  464444.4  │   -700    │   -1490000    │   2690000   │   4180000   │ -1.9  │ 100 │ 220000  │ 0.6 │      │         │     │
│    7    │ 2200 │ 2200 │ 2200 │ 2200 │      │         │   7200    │   100   │ 220000  │ 16690000 │ 1677246600000 │ '2023-02-24T13:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 155.6 │ 211.1 │ 444.4 │     │  100  │  220000   │  347777.8  │  464444.4  │   -600    │   -1270000    │   2910000   │   4180000   │ -1.9  │ 100 │ 220000  │ 0.6 │      │         │     │
│    8    │ 2200 │ 2200 │ 2200 │ 2200 │      │         │   7300    │   100   │ 220000  │ 16910000 │ 1677246900000 │ '2023-02-24T13:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 155.6 │ 211.1 │ 444.4 │     │  100  │  220000   │  347777.8  │  464444.4  │   -500    │   -1050000    │   3130000   │   4180000   │ -1.9  │ 100 │ 220000  │ 0.6 │      │         │     │
└─────────┴──────┴──────┴──────┴──────┴──────┴─────────┴───────────┴─────────┴─────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴───────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴─────┴─────────┴─────┴──────┴─────────┴─────┘

