┌─────────┬───────┬───────┬───────┬───────┬─────┬──────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬───────┬──────┬─────┬───────┬────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬───────────┬─────┬─────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │  val_uk  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │  asd  │ auk  │ ruk │ bu-sd │ bu-sd_val  │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd   │ rsd │ bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼─────┼──────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼───────┼──────┼─────┼───────┼────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼───────────┼─────┼─────┼──────────┼─────┤
│    0    │ 37300 │ 37300 │ 37300 │ 37300 │ 400 │ 14920000 │    400    │   400   │ 14920000  │ 14920000  │ 1677232800000 │ '2023-02-24T10:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 150 │ 416.7 │ 33.3 │ 12  │   0   │     0      │ 5644166.7  │  15475000  │     0     │       0       │      0      │      0      │  -0   │      │           │     │     │          │     │
│    1    │ 37400 │ 37400 │ 37400 │ 37400 │     │          │    500    │   100   │  3740000  │ 18660000  │ 1677235800000 │ '2023-02-24T10:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 150 │ 416.7 │ 33.3 │     │ -100  │  -3740000  │ 5644166.7  │  15475000  │   -100    │   -3740000    │      0      │   3740000   │  0.4  │ 100  │  3740000  │ 0.2 │     │          │     │
│    2    │ 37400 │ 37400 │ 37400 │ 37400 │     │          │    600    │   100   │  3740000  │ 22400000  │ 1677236700000 │ '2023-02-24T11:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 150 │ 416.7 │ 33.3 │     │ -100  │  -3740000  │ 5644166.7  │  15475000  │   -200    │   -7480000    │      0      │   7480000   │  0.4  │ 100  │  3740000  │ 0.2 │     │          │     │
│    3    │ 37900 │ 37900 │ 37900 │ 37900 │     │          │    900    │   300   │ 11370000  │ 33770000  │ 1677237000000 │ '2023-02-24T11:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 150 │ 416.7 │ 33.3 │     │  300  │  11370000  │ 5644166.7  │  15475000  │    100    │    3890000    │  11370000   │   7480000   │ -1.2  │      │           │     │ 300 │ 11370000 │  2  │
│    4    │ 37900 │ 37900 │ 37900 │ 37900 │     │          │   1100    │   200   │  7580000  │ 41350000  │ 1677237300000 │ '2023-02-24T11:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 150 │ 416.7 │ 33.3 │     │ -200  │  -7580000  │ 5644166.7  │  15475000  │   -100    │   -3690000    │  11370000   │  15060000   │  0.8  │ 200  │  7580000  │ 0.5 │     │          │     │
│    5    │ 37800 │ 37800 │ 37800 │ 37800 │     │          │   1600    │   500   │ 18900000  │ 60250000  │ 1677237900000 │ '2023-02-24T11:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 150 │ 416.7 │ 33.3 │     │ -500  │ -18900000  │ 5644166.7  │  15475000  │   -600    │   -22590000   │  11370000   │  33960000   │  1.9  │ 500  │ 18900000  │ 1.2 │     │          │     │
│    6    │ 37000 │ 37000 │ 37000 │ 37000 │     │          │   5600    │  4000   │ 148000000 │ 208250000 │ 1677243900000 │ '2023-02-24T13:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 150 │ 416.7 │ 33.3 │     │ -4000 │ -148000000 │ 5644166.7  │  15475000  │   -4600   │  -170590000   │  11370000   │  181960000  │ 15.1  │ 4000 │ 148000000 │ 9.6 │     │          │     │
│    7    │ 37800 │ 37800 │ 37800 │ 37800 │     │          │   6300    │   700   │ 26460000  │ 234710000 │ 1677244200000 │ '2023-02-24T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 150 │ 416.7 │ 33.3 │     │  700  │  26460000  │ 5644166.7  │  15475000  │   -3900   │  -144130000   │  37830000   │  181960000  │ -2.7  │      │           │     │ 700 │ 26460000 │ 4.7 │
│    8    │ 37300 │ 37300 │ 37300 │ 37300 │     │          │   6900    │   600   │ 22380000  │ 257090000 │ 1677245100000 │ '2023-02-24T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 150 │ 416.7 │ 33.3 │     │  600  │  22380000  │ 5644166.7  │  15475000  │   -3300   │  -121750000   │  60210000   │  181960000  │ -2.3  │      │           │     │ 600 │ 22380000 │  4  │
│    9    │ 37800 │ 37800 │ 37800 │ 37800 │     │          │   7000    │   100   │  3780000  │ 260870000 │ 1677246000000 │ '2023-02-24T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 150 │ 416.7 │ 33.3 │     │  100  │  3780000   │ 5644166.7  │  15475000  │   -3200   │  -117970000   │  63990000   │  181960000  │ -0.4  │      │           │     │ 100 │ 3780000  │ 0.7 │
│   10    │ 37400 │ 37400 │ 37400 │ 37400 │     │          │   7100    │   100   │  3740000  │ 264610000 │ 1677249300000 │ '2023-02-24T14:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 150 │ 416.7 │ 33.3 │     │ -100  │  -3740000  │ 5644166.7  │  15475000  │   -3300   │  -121710000   │  63990000   │  185700000  │  0.4  │ 100  │  3740000  │ 0.2 │     │          │     │
