┌─────────┬─────┬─────┬─────┬─────┬───────┬─────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬────┬────────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┐
│ (index) │  c  │  h  │  l  │  o  │  bu   │ val_bu  │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb │  abu   │ asd │ auk │ rbu │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼─────┼─────┼─────┼─────┼───────┼─────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼────┼────────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│    0    │ 700 │ 700 │ 700 │ 700 │ 10100 │ 7070000 │   10100   │  10100  │ 7070000 │ 7070000  │ 1677204000000 │ '2023-02-24T02:00:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4217.6 │  0  │  0  │ 2.4 │ 10100 │  7070000  │ 2952352.9  │     0      │   10100   │    7070000    │   7070000   │      0      │  2.4  │
│    1    │ 700 │ 700 │ 700 │ 700 │  100  │  70000  │   10200   │   100   │  70000  │ 7140000  │ 1677229200000 │ '2023-02-24T09:00:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4217.6 │  0  │  0  │  0  │  100  │   70000   │ 2952352.9  │     0      │   10200   │    7140000    │   7140000   │      0      │   0   │
│    2    │ 700 │ 700 │ 700 │ 700 │  500  │ 350000  │   10700   │   500   │ 350000  │ 7490000  │ 1677229500000 │ '2023-02-24T09:05:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4217.6 │  0  │  0  │ 0.1 │  500  │  350000   │ 2952352.9  │     0      │   10700   │    7490000    │   7490000   │      0      │  0.1  │
│    3    │ 700 │ 700 │ 700 │ 700 │ 7200  │ 5040000 │   17900   │  7200   │ 5040000 │ 12530000 │ 1677230100000 │ '2023-02-24T09:15:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4217.6 │  0  │  0  │ 1.7 │ 7200  │  5040000  │ 2952352.9  │     0      │   17900   │   12530000    │  12530000   │      0      │  1.7  │
│    4    │ 700 │ 700 │ 700 │ 700 │ 5700  │ 3990000 │   23600   │  5700   │ 3990000 │ 16520000 │ 1677230400000 │ '2023-02-24T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4217.6 │  0  │  0  │ 1.4 │ 5700  │  3990000  │ 2952352.9  │     0      │   23600   │   16520000    │  16520000   │      0      │  1.4  │
│    5    │ 700 │ 700 │ 700 │ 700 │ 5800  │ 4060000 │   29400   │  5800   │ 4060000 │ 20580000 │ 1677231000000 │ '2023-02-24T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4217.6 │  0  │  0  │ 1.4 │ 5800  │  4060000  │ 2952352.9  │     0      │   29400   │   20580000    │  20580000   │      0      │  1.4  │
│    6    │ 700 │ 700 │ 700 │ 700 │ 10000 │ 7000000 │   39400   │  10000  │ 7000000 │ 27580000 │ 1677231900000 │ '2023-02-24T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4217.6 │  0  │  0  │ 2.4 │ 10000 │  7000000  │ 2952352.9  │     0      │   39400   │   27580000    │  27580000   │      0      │  2.4  │
│    7    │ 700 │ 700 │ 700 │ 700 │  100  │  70000  │   39500   │   100   │  70000  │ 27650000 │ 1677232200000 │ '2023-02-24T09:50:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4217.6 │  0  │  0  │  0  │  100  │   70000   │ 2952352.9  │     0      │   39500   │   27650000    │  27650000   │      0      │   0   │
│    8    │ 700 │ 700 │ 700 │ 700 │ 4600  │ 3220000 │   44100   │  4600   │ 3220000 │ 30870000 │ 1677233100000 │ '2023-02-24T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 4217.6 │  0  │  0  │ 1.1 │ 4600  │  3220000  │ 2952352.9  │     0      │   44100   │   30870000    │  30870000   │      0      │  1.1  │
