"acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","accum_bu","accum_sd","avg_val_bu","avg_val_sd","avg_val","avg_vol","avg_bu","avg_sd","avg_busd","avg_busd_val","rbusd","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
-28583300,-387237999000,658089014000,1045327013000,1795635806000,44686600,73269900,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,2.7,1724600,-3207100,-41559203000,"2023-02-13T09:58:00.000Z",1676282280000,4931700,6674100,124609600,17800,104384700000,31209112000,72768315000,407273000
-29752500,-385760276000,698252078000,1084012354000,1874908904000,46873100,76625600,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.1,2186500,-1169200,1477723000,"2023-02-13T10:00:00.000Z",1676282400000,3355700,5567100,130176700,24900,79273098000,40163064000,38685341000,424693000
-29341100,-375352932000,727095676000,1102448608000,1922284744000,48809500,78150600,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.7,1936400,411400,10407344000,"2023-02-13T10:02:00.000Z",1676282520000,1525000,3464800,133641500,3400,47375840000,28843598000,18436254000,95988000
-28724300,-367142977000,751130922000,1118273899000,1962201987000,50544200,79268500,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.5,1734700,616800,8209955000,"2023-02-13T10:04:00.000Z",1676282640000,1117900,2856200,136497700,3600,39917243000,24035246000,15825291000,56706000
-28889800,-369185428000,769732768000,1138918196000,2001568381000,51829200,80719000,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.1,1285000,-165500,-2042451000,"2023-02-13T10:06:00.000Z",1676282760000,1450500,2743300,139241000,7800,39366394000,18601846000,20644297000,120251000
-30819300,-388166802000,786659792000,1174826594000,2054474803000,53125800,83945100,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,1.2,1296600,-1929500,-18981374000,"2023-02-13T10:08:00.000Z",1676282880000,3226100,4529200,143770200,6500,52906422000,16927024000,35908398000,71000000
-32641500,-421103816000,807092280000,1228196096000,2128841245000,55281100,87922600,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,2.1,2155300,-1822200,-32937014000,"2023-02-13T10:10:00.000Z",1676283000000,3977500,6179400,149949600,46600,74366442000,20432488000,53369502000,564452000
-35918500,-477609390000,825541242000,1303150632000,2222545958000,56973600,92892100,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,3.7,1692500,-3277000,-56505574000,"2023-02-13T10:12:00.000Z",1676283120000,4969500,6690300,156639900,28300,93704713000,18448962000,74954536000,301215000
-41061800,-560539119000,846304061000,1406843180000,2347157863000,58649300,99711100,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,5.4,1675700,-5143300,-82929729000,"2023-02-13T10:14:00.000Z",1676283240000,6819000,8513400,165153300,18700,124611905000,20762819000,103692548000,156538000
-46394800,-632754024000,879101810000,1511855834000,2485185921000,60734900,107129700,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,4.7,2085600,-5333000,-72214905000,"2023-02-13T10:16:00.000Z",1676283360000,7418600,9517200,174670500,13000,138028058000,32797749000,105012654000,217655000
-49763500,-673990167000,910202992000,1584193159000,2589620213000,62563900,112327400,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,2.7,1829000,-3368700,-41236143000,"2023-02-13T10:18:00.000Z",1676283480000,5197700,7090800,181761300,64100,104434292000,31101182000,72337325000,995785000
-50970500,-684960324000,942926637000,1627886961000,2666160544000,64584000,115554500,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.7,2020100,-1207000,-10970157000,"2023-02-13T10:20:00.000Z",1676283600000,3227100,5253400,187014700,6200,76540331000,32723645000,43693802000,122884000
-50103100,-679961430000,984502115000,1664463545000,2744431098000,67450700,117553800,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.3,2866700,867400,4998894000,"2023-02-13T10:22:00.000Z",1676283720000,1999300,4873500,191888200,7500,78270554000,41575478000,36576584000,118492000
-48533300,-666656700000,1025772815000,1692429515000,2813907397000,70723000,119256300,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.9,3272300,1569800,13304730000,"2023-02-13T10:24:00.000Z",1676283840000,1702500,4989400,196877600,14600,69476299000,41270700000,27965970000,239629000
-47950900,-665074041000,1048549975000,1713624016000,2857951039000,72427600,120378500,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.1,1704600,582400,1582659000,"2023-02-13T10:26:00.000Z",1676283960000,1122200,2833300,199710900,6500,44043642000,22777160000,21194501000,71981000
-47520000,-658984989000,1079367033000,1738352022000,2913716207000,74607000,122127000,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.4,2179400,430900,6089052000,"2023-02-13T10:28:00.000Z",1676284080000,1748500,3943600,203654500,15700,55765168000,30817058000,24728006000,220104000
-47489900,-651916030000,1100532039000,1752448069000,2949078366000,75886600,123376500,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.5,1279600,30100,7068959000,"2023-02-13T10:30:00.000Z",1676284200000,1249500,2533800,206188300,4700,35362159000,21165006000,14096047000,101106000
-46076900,-632355561000,1131538644000,1763894205000,2991742814000,78037100,124114000,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,1.3,2150500,1413000,19560469000,"2023-02-13T10:32:00.000Z",1676284320000,737500,2904700,209093000,16700,42664448000,31006605000,11446136000,211707000
