┌─────────┬───────────────┬─────────┬──────────┬──────────┬─────────────┬──────────────┬────────────────────┬──────────┬──────────────┬────────────────────────────┬───────────────┬───────────┬──────────┬──────────────┬───────────┬───────────────┬───────────────┬───────────────┬───────────┬───────────┬───────────────┬───────────────┬───────────────┬───────────┬───────────┬───────────┬──────────┬───────────────┬───────┐
│ (index) │   datetime    │   sd    │    bu    │    uk    │   val_sd    │    val_bu    │       val_uk       │ sum_vol  │     val      │            date            │   acum_val    │ total_vol │  bu-sd   │  bu-sd_val   │ acum_busd │ acum_busd_val │  acum_val_bu  │  acum_val_sd  │ accum_bu  │ accum_sd  │  avg_val_bu   │  avg_val_sd   │    avg_val    │  avg_vol  │  avg_bu   │  avg_sd   │ avg_busd │ avg_busd_val  │ rbusd │
├─────────┼───────────────┼─────────┼──────────┼──────────┼─────────────┼──────────────┼────────────────────┼──────────┼──────────────┼────────────────────────────┼───────────────┼───────────┼──────────┼──────────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────────┼───────────────┼───────────────┼───────────┼───────────┼───────────┼──────────┼───────────────┼───────┤
│    0    │ 1673946840000 │ 1023500 │ 1732600  │ 2049000  │ 13509356300 │ 30224460700  │    33011079700     │ 4805100  │ 76744896700  │ '2023-01-17T09:14:00.000Z' │  76744896700  │  4805100  │  709100  │ 16715104400  │  709100   │  16715104400  │  30224460700  │  13509356300  │  1732600  │  1023500  │ 45206938879.3 │ 29398573265.5 │ 78583983608.6 │ 4857765.5 │ 2748419.8 │ 1856384.5 │ 892035.3 │ 15808365613.8 │  1.1  │
│    1    │ 1673946960000 │ 860000  │ 2600100  │  19400   │ 12019030500 │ 38019468300  │     750660000      │ 3479500  │ 50789158800  │ '2023-01-17T09:16:00.000Z' │ 127534055500  │  8284600  │ 1740100  │ 26000437800  │  2449200  │  42715542200  │  68243929000  │  25528386800  │  4332700  │  1883500  │ 45206938879.3 │ 29398573265.5 │ 78583983608.6 │ 4857765.5 │ 2748419.8 │ 1856384.5 │ 892035.3 │ 15808365613.8 │  1.6  │
│    2    │ 1673947080000 │ 1601300 │ 3011000  │  10700   │ 23205202700 │ 49650498400  │     179895000      │ 4623000  │ 73035596100  │ '2023-01-17T09:18:00.000Z' │ 200569651600  │ 12907600  │ 1409700  │ 26445295700  │  3858900  │  69160837900  │ 117894427400  │  48733589500  │  7343700  │  3484800  │ 45206938879.3 │ 29398573265.5 │ 78583983608.6 │ 4857765.5 │ 2748419.8 │ 1856384.5 │ 892035.3 │ 15808365613.8 │  1.7  │
│    3    │ 1673947200000 │ 1724700 │ 3214200  │  23400   │ 25816911300 │ 50141601000  │     322003500      │ 4962300  │ 76280515800  │ '2023-01-17T09:20:00.000Z' │ 276850167400  │ 17869900  │ 1489500  │ 24324689700  │  5348400  │  93485527600  │ 168036028400  │  74550500800  │ 10557900  │  5209500  │ 45206938879.3 │ 29398573265.5 │ 78583983608.6 │ 4857765.5 │ 2748419.8 │ 1856384.5 │ 892035.3 │ 15808365613.8 │  1.5  │
│    4    │ 1673947320000 │ 1859200 │ 3145600  │  49000   │ 31470351100 │ 48198044600  │     1040765500     │ 5053800  │ 80709161200  │ '2023-01-17T09:22:00.000Z' │ 357559328600  │ 22923700  │ 1286400  │ 16727693500  │  6634800  │ 110213221100  │ 216234073000  │ 106020851900  │ 13703500  │  7068700  │ 45206938879.3 │ 29398573265.5 │ 78583983608.6 │ 4857765.5 │ 2748419.8 │ 1856384.5 │ 892035.3 │ 15808365613.8 │  1.1  │
│    5    │ 1673947440000 │ 1880700 │ 2681200  │   4100   │ 29899098200 │ 45061115400  │      42301000      │ 4566000  │ 75002514600  │ '2023-01-17T09:24:00.000Z' │ 432561843200  │ 27489700  │  800500  │ 15162017200  │  7435300  │ 125375238300  │ 261295188400  │ 135919950100  │ 16384700  │  8949400  │ 45206938879.3 │ 29398573265.5 │ 78583983608.6 │ 4857765.5 │ 2748419.8 │ 1856384.5 │ 892035.3 │ 15808365613.8 │   1   │
│    6    │ 1673947560000 │ 1575800 │ 2143300  │  106700  │ 27617577700 │ 38280080600  │     731345000      │ 3825800  │ 66629003300  │ '2023-01-17T09:26:00.000Z' │ 499190846500  │ 31315500  │  567500  │ 10662502900  │  8002800  │ 136037741200  │ 299575269000  │ 163537527800  │ 18528000  │ 10525200  │ 45206938879.3 │ 29398573265.5 │ 78583983608.6 │ 4857765.5 │ 2748419.8 │ 1856384.5 │ 892035.3 │ 15808365613.8 │  0.7  │
│    7    │ 1673947680000 │ 1956800 │ 3401900  │   9000   │ 31834114500 │ 52355849200  │     135529200      │ 5367700  │ 84325492900  │ '2023-01-17T09:28:00.000Z' │ 583516339400  │ 36683200  │ 1445100  │ 20521734700  │  9447900  │ 156559475900  │ 351931118200  │ 195371642300  │ 21929900  │ 12482000  │ 45206938879.3 │ 29398573265.5 │ 78583983608.6 │ 4857765.5 │ 2748419.8 │ 1856384.5 │ 892035.3 │ 15808365613.8 │  1.3  │
│    8    │ 1673947800000 │ 1801300 │ 3571500  │   9000   │ 31148329800 │ 50172882300  │      76540200      │ 5381800  │ 81397752300  │ '2023-01-17T09:30:00.000Z' │ 664914091700  │ 42065000  │ 1770200  │ 19024552500  │ 11218100  │ 175584028400  │ 402104000500  │ 226519972100  │ 25501400  │ 14283300  │ 45206938879.3 │ 29398573265.5 │ 78583983608.6 │ 4857765.5 │ 2748419.8 │ 1856384.5 │ 892035.3 │ 15808365613.8 │  1.2  │
│    9    │ 1673947920000 │ 2084000 │ 2569800  │  40800   │ 34469766700 │ 38706179100  │     427173000      │ 4694600  │ 73603118800  │ '2023-01-17T09:32:00.000Z' │ 738517210500  │ 46759600  │  485800  │  4236412400  │ 11703900  │ 179820440800  │ 440810179600  │ 260989738800  │ 28071200  │ 16367300  │ 45206938879.3 │ 29398573265.5 │ 78583983608.6 │ 4857765.5 │ 2748419.8 │ 1856384.5 │ 892035.3 │ 15808365613.8 │  0.3  │
│   10    │ 1673948040000 │ 2398500 │ 2537800  │   6800   │ 39750682900 │ 41109270200  │      65781000      │ 4943100  │ 80925734100  │ '2023-01-17T09:34:00.000Z' │ 819442944600  │ 51702700  │  139300  │  1358587300  │ 11843200  │ 181179028100  │ 481919449800  │ 300740421700  │ 30609000  │ 18765800  │ 45206938879.3 │ 29398573265.5 │ 78583983608.6 │ 4857765.5 │ 2748419.8 │ 1856384.5 │ 892035.3 │ 15808365613.8 │  0.1  │
