┌─────────┬───────┬───────┬───────┬───────┬─────┬────────────────────┬───────────┬─────────┬────────────────────┬────────────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬─────┬─────┬──────┬───────┬─────────────────────┬────────────┬────────────┬───────────┬─────────────────────┬─────────────┬────────────────────┬───────┬──────┬────────────────────┬─────┬──────┬──────────┬──────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │       val_uk       │ total_vol │ sum_vol │        val         │      acum_val      │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd │ auk │ ruk  │ bu-sd │      bu-sd_val      │ avg_val_bu │ avg_val_sd │ acum_busd │    acum_busd_val    │ acum_val_bu │    acum_val_sd     │ rbusd │  sd  │       val_sd       │ rsd │  bu  │  val_bu  │ rbu  │
├─────────┼───────┼───────┼───────┼───────┼─────┼────────────────────┼───────────┼─────────┼────────────────────┼────────────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼─────┼─────┼──────┼───────┼─────────────────────┼────────────┼────────────┼───────────┼─────────────────────┼─────────────┼────────────────────┼───────┼──────┼────────────────────┼─────┼──────┼──────────┼──────┤
│    0    │ 32.45 │ 32.45 │ 32.45 │ 32.45 │ 100 │ 3245000.0000000005 │    100    │   100   │ 3245000.0000000005 │ 3245000.0000000005 │ 1673428440000 │ '2023-01-11T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 106.3 │ 700 │ 6.3 │ 15.9 │   0   │          0          │  3410625   │ 22479687.5 │     0     │          0          │      0      │         0          │   0   │      │                    │     │      │          │      │
│    1    │ 32.45 │ 32.45 │ 32.45 │ 32.45 │     │                    │    200    │   100   │ 3245000.0000000005 │ 6490000.000000001  │ 1673428680000 │ '2023-01-11T09:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 106.3 │ 700 │ 6.3 │      │ -100  │ -3245000.0000000005 │  3410625   │ 22479687.5 │   -100    │ -3245000.0000000005 │      0      │ 3245000.0000000005 │  0.2  │ 100  │ 3245000.0000000005 │ 0.1 │      │          │      │
│    2    │ 32.15 │ 32.15 │ 32.15 │ 32.15 │     │                    │    400    │   200   │      6430000       │      12920000      │ 1673431200000 │ '2023-01-11T10:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 106.3 │ 700 │ 6.3 │      │ -200  │      -6430000       │  3410625   │ 22479687.5 │   -300    │      -9675000       │      0      │      9675000       │  0.3  │ 200  │      6430000       │ 0.3 │      │          │      │
│    3    │ 32.1  │ 32.1  │ 32.1  │ 32.1  │     │                    │    500    │   100   │      3210000       │      16130000      │ 1673432280000 │ '2023-01-11T10:18:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 106.3 │ 700 │ 6.3 │      │ -100  │      -3210000       │  3410625   │ 22479687.5 │   -400    │      -12885000      │      0      │      12885000      │  0.2  │ 100  │      3210000       │ 0.1 │      │          │      │
│    4    │ 32.1  │ 32.1  │ 32.1  │ 32.1  │     │                    │    700    │   200   │      6420000       │      22550000      │ 1673433240000 │ '2023-01-11T10:34:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 106.3 │ 700 │ 6.3 │      │ -200  │      -6420000       │  3410625   │ 22479687.5 │   -600    │      -19305000      │      0      │      19305000      │  0.3  │ 200  │      6420000       │ 0.3 │      │          │      │
│    5    │ 32.1  │ 32.1  │ 32.1  │ 32.1  │     │                    │   1000    │   300   │      9630000       │      32180000      │ 1673435160000 │ '2023-01-11T11:06:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 106.3 │ 700 │ 6.3 │      │ -300  │      -9630000       │  3410625   │ 22479687.5 │   -900    │      -28935000      │      0      │      28935000      │  0.5  │ 300  │      9630000       │ 0.4 │      │          │      │
│    6    │ 32.1  │ 32.1  │ 32.1  │ 32.1  │     │                    │   2500    │  1500   │      48150000      │      80330000      │ 1673435280000 │ '2023-01-11T11:08:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 106.3 │ 700 │ 6.3 │      │ 1500  │      48150000       │  3410625   │ 22479687.5 │    600    │      19215000       │  48150000   │      28935000      │  2.5  │      │                    │     │ 1500 │ 48150000 │ 14.1 │
│    7    │ 32.15 │ 32.15 │ 32.15 │ 32.15 │     │                    │   2600    │   100   │      3215000       │      83545000      │ 1673443680000 │ '2023-01-11T13:28:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 106.3 │ 700 │ 6.3 │      │ -100  │      -3215000       │  3410625   │ 22479687.5 │    500    │      16000000       │  48150000   │      32150000      │  0.2  │ 100  │      3215000       │ 0.1 │      │          │      │
│    8    │ 32.1  │ 32.1  │ 32.1  │ 32.1  │     │                    │   3000    │   400   │      12840000      │      96385000      │ 1673443800000 │ '2023-01-11T13:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 106.3 │ 700 │ 6.3 │      │ -400  │      -12840000      │  3410625   │ 22479687.5 │    100    │       3160000       │  48150000   │      44990000      │  0.7  │ 400  │      12840000      │ 0.6 │      │          │      │
│    9    │ 32.15 │ 32.15 │ 32.15 │ 32.15 │     │                    │   5600    │  2600   │      83590000      │     179975000      │ 1673444160000 │ '2023-01-11T13:36:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 106.3 │ 700 │ 6.3 │      │ -2600 │      -83590000      │  3410625   │ 22479687.5 │   -2500   │      -80430000      │  48150000   │     128580000      │  4.4  │ 2600 │      83590000      │ 3.7 │      │          │      │
│   10    │ 32.1  │ 32.1  │ 32.1  │ 32.1  │     │                    │   7300    │  1700   │      54570000      │     234545000      │ 1673444400000 │ '2023-01-11T13:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 106.3 │ 700 │ 6.3 │      │ -1700 │      -54570000      │  3410625   │ 22479687.5 │   -4200   │     -135000000      │  48150000   │     183150000      │  2.9  │ 1700 │      54570000      │ 2.4 │      │          │      │
