┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬───────────┬─────┬─────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ ruk │ bu-sd │ bu-sd_val  │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd   │ rsd │ bu  │ val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼───────────┼─────┼─────┼─────────┼─────┤
│    0    │ 84.5 │ 84.5 │ 84.5 │ 84.5 │ 100 │ 8450000 │    100    │   100   │  8450000  │  8450000  │ 1675936800000 │ '2023-02-09T10:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 20  │ 760 │ 10  │ 10  │   0   │     0      │  1692000   │  64196000  │     0     │       0       │      0      │      0      │  -0   │      │           │     │     │         │     │
│    1    │ 84.5 │ 84.5 │ 84.5 │ 84.5 │     │         │    500    │   400   │ 33800000  │ 42250000  │ 1675939800000 │ '2023-02-09T10:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 760 │ 10  │     │ -400  │ -33800000  │  1692000   │  64196000  │   -400    │   -33800000   │      0      │  33800000   │  0.5  │ 400  │ 33800000  │ 0.5 │     │         │     │
│    2    │ 84.5 │ 84.5 │ 84.5 │ 84.5 │     │         │   2100    │  1600   │ 135200000 │ 177450000 │ 1675941600000 │ '2023-02-09T11:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 760 │ 10  │     │ -1600 │ -135200000 │  1692000   │  64196000  │   -2000   │  -169000000   │      0      │  169000000  │  2.2  │ 1600 │ 135200000 │ 2.1 │     │         │     │
│    3    │ 84.3 │ 84.3 │ 84.3 │ 84.3 │     │         │   3300    │  1200   │ 101160000 │ 278610000 │ 1675941900000 │ '2023-02-09T11:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 760 │ 10  │     │ -1200 │ -101160000 │  1692000   │  64196000  │   -3200   │  -270160000   │      0      │  270160000  │  1.6  │ 1200 │ 101160000 │ 1.6 │     │         │     │
│    4    │ 84.6 │ 84.6 │ 84.6 │ 84.6 │     │         │   3400    │   100   │  8460000  │ 287070000 │ 1675951500000 │ '2023-02-09T14:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 20  │ 760 │ 10  │     │  100  │  8460000   │  1692000   │  64196000  │   -3100   │  -261700000   │   8460000   │  270160000  │ -0.1  │      │           │     │ 100 │ 8460000 │  5  │
│    5    │ 84.6 │ 84.6 │ 84.6 │ 84.6 │     │         │   3500    │   100   │  8460000  │ 295530000 │ 1675951800000 │ '2023-02-09T14:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 20  │ 760 │ 10  │     │  100  │  8460000   │  1692000   │  64196000  │   -3000   │  -253240000   │  16920000   │  270160000  │ -0.1  │      │           │     │ 100 │ 8460000 │  5  │
│    6    │ 84.5 │ 84.5 │ 84.5 │ 84.5 │     │         │   4500    │  1000   │ 84500000  │ 380030000 │ 1675952700000 │ '2023-02-09T14:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 760 │ 10  │     │ -1000 │ -84500000  │  1692000   │  64196000  │   -4000   │  -337740000   │  16920000   │  354660000  │  1.4  │ 1000 │ 84500000  │ 1.3 │     │         │     │
│    7    │ 84.5 │ 84.5 │ 84.5 │ 84.5 │     │         │   4600    │   100   │  8450000  │ 388480000 │ 1675953000000 │ '2023-02-09T14:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 760 │ 10  │     │ -100  │  -8450000  │  1692000   │  64196000  │   -4100   │  -346190000   │  16920000   │  363110000  │  0.1  │ 100  │  8450000  │ 0.1 │     │         │     │
│    8    │ 84.5 │ 84.5 │ 84.5 │ 84.5 │     │         │   5600    │  1000   │ 84500000  │ 472980000 │ 1675953900000 │ '2023-02-09T14:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 760 │ 10  │     │ -1000 │ -84500000  │  1692000   │  64196000  │   -5100   │  -430690000   │  16920000   │  447610000  │  1.4  │ 1000 │ 84500000  │ 1.3 │     │         │     │
│    9    │ 84.5 │ 84.5 │ 84.5 │ 84.5 │     │         │   7900    │  2300   │ 194350000 │ 667330000 │ 1675954200000 │ '2023-02-09T14:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 20  │ 760 │ 10  │     │ -2300 │ -194350000 │  1692000   │  64196000  │   -7400   │  -625040000   │  16920000   │  641960000  │  3.1  │ 2300 │ 194350000 │  3  │     │         │     │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴───────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴─────┴─────┴───────┴────────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴───────────┴─────┴─────┴─────────┴─────┘
