┌─────────┬─────┬─────┬─────┬─────┬───────┬────────────────────┬───────────┬─────────┬────────────────────┬────────────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬────────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬─────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │  uk   │       val_uk       │ total_vol │ sum_vol │        val         │      acum_val      │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │  auk   │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  sd  │ val_sd  │ rsd │
├─────────┼─────┼─────┼─────┼─────┼───────┼────────────────────┼───────────┼─────────┼────────────────────┼────────────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼────────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼─────────┼─────┤
│    0    │ 2.7 │ 2.7 │ 2.7 │ 2.7 │ 12000 │ 32400000.000000004 │   12000   │  12000  │ 32400000.000000004 │ 32400000.000000004 │ 1672997040000 │ '2023-01-06T09:24:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 911.1 │ 488.9 │ 1333.3 │  9  │   0   │     0     │  2460000   │ 1271111.1  │     0     │       0       │      0      │      0      │   0   │      │          │     │      │         │     │
│    1    │ 2.7 │ 2.7 │ 2.7 │ 2.7 │       │                    │   18400   │  6400   │      17280000      │ 49680000.00000001  │ 1672999560000 │ '2023-01-06T10:06:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 911.1 │ 488.9 │ 1333.3 │     │ 6400  │ 17280000  │  2460000   │ 1271111.1  │   6400    │   17280000    │  17280000   │      0      │ 14.5  │ 6400 │ 17280000 │  7  │      │         │     │
│    2    │ 2.7 │ 2.7 │ 2.7 │ 2.7 │       │                    │   19200   │   800   │      2160000       │ 51840000.00000001  │ 1673002680000 │ '2023-01-06T10:58:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 911.1 │ 488.9 │ 1333.3 │     │  800  │  2160000  │  2460000   │ 1271111.1  │   7200    │   19440000    │  19440000   │      0      │  1.8  │ 800  │ 2160000  │ 0.9 │      │         │     │
│    3    │ 2.7 │ 2.7 │ 2.7 │ 2.7 │       │                    │   20200   │  1000   │      2700000       │ 54540000.00000001  │ 1673004000000 │ '2023-01-06T11:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 911.1 │ 488.9 │ 1333.3 │     │ 1000  │  2700000  │  2460000   │ 1271111.1  │   8200    │   22140000    │  22140000   │      0      │  2.3  │ 1000 │ 2700000  │ 1.1 │      │         │     │
│    4    │ 2.6 │ 2.6 │ 2.6 │ 2.6 │       │                    │   20300   │   100   │       260000       │ 54800000.00000001  │ 1673012040000 │ '2023-01-06T13:34:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 911.1 │ 488.9 │ 1333.3 │     │ -100  │  -260000  │  2460000   │ 1271111.1  │   8100    │   21880000    │  22140000   │   260000    │  0.2  │      │          │     │ 100  │ 260000  │ 0.2 │
│    5    │ 2.6 │ 2.6 │ 2.6 │ 2.6 │       │                    │   23100   │  2800   │      7280000       │ 62080000.00000001  │ 1673015400000 │ '2023-01-06T14:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 911.1 │ 488.9 │ 1333.3 │     │ -2800 │ -7280000  │  2460000   │ 1271111.1  │   5300    │   14600000    │  22140000   │   7540000   │  6.1  │      │          │     │ 2800 │ 7280000 │ 5.7 │
│    6    │ 2.6 │ 2.6 │ 2.6 │ 2.6 │       │                    │   23600   │   500   │      1300000       │ 63380000.00000001  │ 1673016120000 │ '2023-01-06T14:42:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 911.1 │ 488.9 │ 1333.3 │     │ -500  │ -1300000  │  2460000   │ 1271111.1  │   4800    │   13300000    │  22140000   │   8840000   │  1.1  │      │          │     │ 500  │ 1300000 │  1  │
│    7    │ 2.6 │ 2.6 │ 2.6 │ 2.6 │       │                    │   24100   │   500   │      1300000       │ 64680000.00000001  │ 1673016360000 │ '2023-01-06T14:46:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 911.1 │ 488.9 │ 1333.3 │     │ -500  │ -1300000  │  2460000   │ 1271111.1  │   4300    │   12000000    │  22140000   │  10140000   │  1.1  │      │          │     │ 500  │ 1300000 │  1  │
│    8    │ 2.6 │ 2.6 │ 2.6 │ 2.6 │       │                    │   24600   │   500   │      1300000       │ 65980000.00000001  │ 1673016840000 │ '2023-01-06T14:54:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 911.1 │ 488.9 │ 1333.3 │     │ -500  │ -1300000  │  2460000   │ 1271111.1  │   3800    │   10700000    │  22140000   │  11440000   │  1.1  │      │          │     │ 500  │ 1300000 │  1  │
└─────────┴─────┴─────┴─────┴─────┴───────┴────────────────────┴───────────┴─────────┴────────────────────┴────────────────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴────────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴─────────┴─────┘

