┌─────────┬─────┬─────┬─────┬─────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ sd  │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │  auk  │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  uk  │ val_uk │ ruk │
├─────────┼─────┼─────┼─────┼─────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼────────┼─────┤
│    0    │ 6.8 │ 6.8 │ 6.8 │ 6.8 │ 300 │ 2040000 │    300    │   300   │ 2040000  │ 2040000  │ 1672997880000 │ '2023-01-06T09:38:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 788.9 │ 33.3 │ 122.2 │  9  │ -300  │ -2040000  │ 1639933.3  │  226666.7  │   -300    │   -2040000    │      0      │   2040000   │  1.4  │      │          │     │      │        │     │
│    1    │ 7.7 │ 7.7 │ 7.7 │ 7.7 │     │         │    400    │   100   │  770000  │ 2810000  │ 1673003880000 │ '2023-01-06T11:18:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 788.9 │ 33.3 │ 122.2 │     │  100  │  770000   │ 1639933.3  │  226666.7  │   -200    │   -1270000    │   770000    │   2040000   │  0.5  │ 100  │  770000  │ 0.1 │      │        │     │
│    2    │ 6.6 │ 6.6 │ 6.6 │ 6.6 │     │         │   2400    │  2000   │ 13200000 │ 16010000 │ 1673010000000 │ '2023-01-06T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 788.9 │ 33.3 │ 122.2 │     │ 2000  │ 13200000  │ 1639933.3  │  226666.7  │   1800    │   11930000    │  13970000   │   2040000   │  9.3  │ 2000 │ 13200000 │ 2.5 │      │        │     │
│    3    │  6  │  6  │  6  │  6  │     │         │   2500    │   100   │   600    │ 16010600 │ 1673010240000 │ '2023-01-06T13:04:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 788.9 │ 33.3 │ 122.2 │     │  100  │    600    │ 1639933.3  │  226666.7  │   1900    │   11930600    │  13970600   │   2040000   │   0   │ 100  │   600    │ 0.1 │      │        │     │
│    4    │  6  │  6  │  6  │  6  │     │         │   2900    │   400   │   2400   │ 16013000 │ 1673010480000 │ '2023-01-06T13:08:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 788.9 │ 33.3 │ 122.2 │     │  400  │   2400    │ 1639933.3  │  226666.7  │   2300    │   11933000    │  13973000   │   2040000   │   0   │ 400  │   2400   │ 0.5 │      │        │     │
│    5    │  6  │  6  │  6  │  6  │     │         │   5100    │  2200   │  13200   │ 16026200 │ 1673010840000 │ '2023-01-06T13:14:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 788.9 │ 33.3 │ 122.2 │     │ 2200  │   13200   │ 1639933.3  │  226666.7  │   4500    │   11946200    │  13986200   │   2040000   │   0   │ 2200 │  13200   │ 2.8 │      │        │     │
│    6    │  6  │  6  │  6  │  6  │     │         │   7300    │  2200   │  13200   │ 16039400 │ 1673010960000 │ '2023-01-06T13:16:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 788.9 │ 33.3 │ 122.2 │     │ 2200  │   13200   │ 1639933.3  │  226666.7  │   6700    │   11959400    │  13999400   │   2040000   │   0   │ 2200 │  13200   │ 2.8 │      │        │     │
│    7    │  6  │  6  │  6  │  6  │     │         │   8400    │  1100   │   6600   │ 16046000 │ 1673011080000 │ '2023-01-06T13:18:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 788.9 │ 33.3 │ 122.2 │     │   0   │     0     │ 1639933.3  │  226666.7  │   6700    │   11959400    │  13999400   │   2040000   │   0   │      │          │     │ 1100 │  6600  │  9  │
│    8    │ 7.6 │ 7.6 │ 7.6 │ 7.6 │     │         │   8500    │   100   │  760000  │ 16806000 │ 1673012880000 │ '2023-01-06T13:48:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 788.9 │ 33.3 │ 122.2 │     │  100  │  760000   │ 1639933.3  │  226666.7  │   6800    │   12719400    │  14759400   │   2040000   │  0.5  │ 100  │  760000  │ 0.1 │      │        │     │
└─────────┴─────┴─────┴─────┴─────┴─────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴──────┴───────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴────────┴─────┘

