┌─────────┬───────┬───────┬───────┬───────┬───────┬───────────┬───────────┬─────────┬───────────┬────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬────┬────────┬─────┬─────┬─────┬───────┬───────────┬───────────┬───────────────┐
│ (index) │   c   │   h   │   l   │   o   │  bu   │  val_bu   │ total_vol │ sum_vol │    val    │  acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb │  abu   │ asd │ auk │ rbu │ bu-sd │ bu-sd_val │ acum_busd │ acum_busd_val │
│    9    │ 46200 │ 46200 │ 46200 │ 46200 │ 10800 │ 498960000 │   64200   │  10800  │ 498960000 │ 2972140000 │ 1676367600000 │ '2023-02-14T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6888.2 │  0  │  0  │ 1.6 │ 10800 │ 498960000 │   64200   │  2972140000   │
│   10    │ 46200 │ 46200 │ 46200 │ 46200 │ 4500  │ 207900000 │   68700   │  4500   │ 207900000 │ 3180040000 │ 1676367720000 │ '2023-02-14T09:42:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6888.2 │  0  │  0  │ 0.7 │ 4500  │ 207900000 │   68700   │  3180040000   │
│   11    │ 46100 │ 46100 │ 46000 │ 46000 │ 12600 │ 580100000 │   81300   │  12600  │ 580100000 │ 3760140000 │ 1676371320000 │ '2023-02-14T10:42:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6888.2 │  0  │  0  │ 1.8 │ 12600 │ 580100000 │   81300   │  3760140000   │
│   12    │ 46100 │ 46100 │ 46100 │ 46100 │ 11600 │ 534760000 │   92900   │  11600  │ 534760000 │ 4294900000 │ 1676371440000 │ '2023-02-14T10:44:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6888.2 │  0  │  0  │ 1.7 │ 11600 │ 534760000 │   92900   │  4294900000   │
│   13    │ 46100 │ 46100 │ 46100 │ 46100 │ 8400  │ 387240000 │  101300   │  8400   │ 387240000 │ 4682140000 │ 1676371560000 │ '2023-02-14T10:46:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6888.2 │  0  │  0  │ 1.2 │ 8400  │ 387240000 │  101300   │  4682140000   │
│   14    │ 46100 │ 46100 │ 46100 │ 46100 │ 6200  │ 285820000 │  107500   │  6200   │ 285820000 │ 4967960000 │ 1676371680000 │ '2023-02-14T10:48:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6888.2 │  0  │  0  │ 0.9 │ 6200  │ 285820000 │  107500   │  4967960000   │
│   15    │ 46100 │ 46100 │ 46100 │ 46100 │ 4000  │ 184400000 │  111500   │  4000   │ 184400000 │ 5152360000 │ 1676371800000 │ '2023-02-14T10:50:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6888.2 │  0  │  0  │ 0.6 │ 4000  │ 184400000 │  111500   │  5152360000   │
│   16    │ 46000 │ 46000 │ 46000 │ 46000 │ 5600  │ 257600000 │  117100   │  5600   │ 257600000 │ 5409960000 │ 1676372880000 │ '2023-02-14T11:08:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 6888.2 │  0  │  0  │ 0.8 │ 5600  │ 257600000 │  117100   │  5409960000   │
└─────────┴───────┴───────┴───────┴───────┴───────┴───────────┴───────────┴─────────┴───────────┴────────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴────┴────────┴─────┴─────┴─────┴───────┴───────────┴───────────┴───────────────┘

