┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬─────┬─────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │ sd  │ val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼─────┼─────────┼─────┼──────┼──────────┼─────┤
│    0    │ 23300 │ 23300 │ 23300 │ 23300 │ 100 │ 2330000 │    100    │   100   │ 2330000  │ 2330000  │ 1676372880000 │ '2023-02-14T11:08:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 144.4 │ 77.8 │ 11.1 │  9  │   0   │     0     │  3370000   │  1810000   │     0     │       0       │      0      │      0      │   0   │     │         │     │      │          │     │
│    1    │ 23300 │ 23300 │ 23300 │ 23300 │     │         │    300    │   200   │ 4660000  │ 6990000  │ 1676382000000 │ '2023-02-14T13:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 144.4 │ 77.8 │ 11.1 │     │ -200  │ -4660000  │  3370000   │  1810000   │   -200    │   -4660000    │      0      │   4660000   │  -3   │ 200 │ 4660000 │ 2.6 │      │          │     │
│    2    │ 23300 │ 23300 │ 23300 │ 23300 │     │         │    600    │   300   │ 6990000  │ 13980000 │ 1676382120000 │ '2023-02-14T13:42:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 144.4 │ 77.8 │ 11.1 │     │ -300  │ -6990000  │  3370000   │  1810000   │   -500    │   -11650000   │      0      │  11650000   │ -4.5  │ 300 │ 6990000 │ 3.9 │      │          │     │
│    3    │ 23300 │ 23300 │ 23300 │ 23300 │     │         │    700    │   100   │ 2330000  │ 16310000 │ 1676382600000 │ '2023-02-14T13:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 144.4 │ 77.8 │ 11.1 │     │  100  │  2330000  │  3370000   │  1810000   │   -400    │   -9320000    │   2330000   │  11650000   │  1.5  │     │         │     │ 100  │ 2330000  │ 0.7 │
│    4    │ 23300 │ 23300 │ 23300 │ 23300 │     │         │    800    │   100   │ 2330000  │ 18640000 │ 1676383680000 │ '2023-02-14T14:08:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 144.4 │ 77.8 │ 11.1 │     │  100  │  2330000  │  3370000   │  1810000   │   -300    │   -6990000    │   4660000   │  11650000   │  1.5  │     │         │     │ 100  │ 2330000  │ 0.7 │
│    5    │ 23200 │ 23200 │ 23200 │ 23200 │     │         │    900    │   100   │ 2320000  │ 20960000 │ 1676384160000 │ '2023-02-14T14:16:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 144.4 │ 77.8 │ 11.1 │     │ -100  │ -2320000  │  3370000   │  1810000   │   -400    │   -9310000    │   4660000   │  13970000   │ -1.5  │ 100 │ 2320000 │ 1.3 │      │          │     │
│    6    │ 23200 │ 23200 │ 23200 │ 23200 │     │         │   1000    │   100   │ 2320000  │ 23280000 │ 1676384400000 │ '2023-02-14T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 144.4 │ 77.8 │ 11.1 │     │ -100  │ -2320000  │  3370000   │  1810000   │   -500    │   -11630000   │   4660000   │  16290000   │ -1.5  │ 100 │ 2320000 │ 1.3 │      │          │     │
│    7    │ 23300 │ 23300 │ 23300 │ 23300 │     │         │   2000    │  1000   │ 23300000 │ 46580000 │ 1676384520000 │ '2023-02-14T14:22:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 144.4 │ 77.8 │ 11.1 │     │ 1000  │ 23300000  │  3370000   │  1810000   │    500    │   11670000    │  27960000   │  16290000   │ 14.9  │     │         │     │ 1000 │ 23300000 │ 6.9 │
│    8    │ 23700 │ 23700 │ 23700 │ 23700 │     │         │   2100    │   100   │ 2370000  │ 48950000 │ 1676385840000 │ '2023-02-14T14:44:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 144.4 │ 77.8 │ 11.1 │     │  100  │  2370000  │  3370000   │  1810000   │    600    │   14040000    │  30330000   │  16290000   │  1.5  │     │         │     │ 100  │ 2370000  │ 0.7 │
└─────────┴───────┴───────┴───────┴───────┴─────┴─────────┴───────────┴─────────┴──────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴──────┴──────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴─────┴─────────┴─────┴──────┴──────────┴─────┘

