┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬──────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬─────┬─────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │ sd  │ val_sd  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │ asd  │ auk  │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │ uk  │ val_uk  │ ruk │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼──────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼─────┼─────────┼─────┤
│    0    │ 28250 │ 28250 │ 28250 │ 28250 │ 100 │ 2825000 │    100    │   100   │ 2825000  │  2825000  │ 1676369700000 │ '2023-02-14T10:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 272.7 │ 27.3 │ 27.3 │ 3.7 │ -100  │ -2825000  │ 7710454.5  │  764545.5  │   -100    │   -2825000    │      0      │   2825000   │ -0.4  │      │          │     │     │         │     │
│    1    │ 27850 │ 28000 │ 27850 │ 28000 │ 200 │ 5585000 │    300    │   200   │ 5585000  │  8410000  │ 1676370600000 │ '2023-02-14T10:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 272.7 │ 27.3 │ 27.3 │ 7.3 │ -200  │ -5585000  │ 7710454.5  │  764545.5  │   -300    │   -8410000    │      0      │   8410000   │ -0.8  │      │          │     │     │         │     │
│    2    │ 28250 │ 28250 │ 28250 │ 28250 │     │         │   1000    │   700   │ 19775000 │ 28185000  │ 1676371500000 │ '2023-02-14T10:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 272.7 │ 27.3 │ 27.3 │     │  700  │ 19775000  │ 7710454.5  │  764545.5  │    400    │   11365000    │  19775000   │   8410000   │  2.8  │ 700  │ 19775000 │ 2.6 │     │         │     │
│    3    │ 28250 │ 28250 │ 28250 │ 28250 │     │         │   1400    │   400   │ 11300000 │ 39485000  │ 1676371800000 │ '2023-02-14T10:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 272.7 │ 27.3 │ 27.3 │     │  400  │ 11300000  │ 7710454.5  │  764545.5  │    800    │   22665000    │  31075000   │   8410000   │  1.6  │ 400  │ 11300000 │ 1.5 │     │         │     │
│    4    │ 28250 │ 28250 │ 28250 │ 28250 │     │         │   1500    │   100   │ 2825000  │ 42310000  │ 1676379600000 │ '2023-02-14T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 272.7 │ 27.3 │ 27.3 │     │  100  │  2825000  │ 7710454.5  │  764545.5  │    900    │   25490000    │  33900000   │   8410000   │  0.4  │ 100  │ 2825000  │ 0.4 │     │         │     │
│    5    │ 28250 │ 28250 │ 28250 │ 28250 │     │         │   1700    │   200   │ 5650000  │ 47960000  │ 1676379900000 │ '2023-02-14T13:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 272.7 │ 27.3 │ 27.3 │     │  200  │  5650000  │ 7710454.5  │  764545.5  │   1100    │   31140000    │  39550000   │   8410000   │  0.8  │ 200  │ 5650000  │ 0.7 │     │         │     │
│    6    │ 28250 │ 28250 │ 28250 │ 28250 │     │         │   1900    │   200   │ 5650000  │ 53610000  │ 1676380200000 │ '2023-02-14T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 272.7 │ 27.3 │ 27.3 │     │  200  │  5650000  │ 7710454.5  │  764545.5  │   1300    │   36790000    │  45200000   │   8410000   │  0.8  │ 200  │ 5650000  │ 0.7 │     │         │     │
│    7    │ 28250 │ 28250 │ 28250 │ 28250 │     │         │   2000    │   100   │ 2825000  │ 56435000  │ 1676380500000 │ '2023-02-14T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 272.7 │ 27.3 │ 27.3 │     │  100  │  2825000  │ 7710454.5  │  764545.5  │   1400    │   39615000    │  48025000   │   8410000   │  0.4  │ 100  │ 2825000  │ 0.4 │     │         │     │
│    8    │ 28250 │ 28250 │ 28250 │ 28250 │     │         │   3200    │  1200   │ 33900000 │ 90335000  │ 1676382000000 │ '2023-02-14T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 272.7 │ 27.3 │ 27.3 │     │ 1200  │ 33900000  │ 7710454.5  │  764545.5  │   2600    │   73515000    │  81925000   │   8410000   │  4.9  │ 1200 │ 33900000 │ 4.4 │     │         │     │
│    9    │ 28900 │ 28900 │ 28900 │ 28900 │     │         │   3300    │   100   │ 2890000  │ 93225000  │ 1676384700000 │ '2023-02-14T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 272.7 │ 27.3 │ 27.3 │     │  100  │  2890000  │ 7710454.5  │  764545.5  │   2700    │   76405000    │  84815000   │   8410000   │  0.4  │ 100  │ 2890000  │ 0.4 │     │         │     │
│   10    │ 28750 │ 28750 │ 28750 │ 28750 │     │         │   3600    │   300   │ 8625000  │ 101850000 │ 1676385900000 │ '2023-02-14T14:45:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 272.7 │ 27.3 │ 27.3 │     │   0   │     0     │ 7710454.5  │  764545.5  │   2700    │   76405000    │  84815000   │   8410000   │   0   │      │          │     │ 300 │ 8625000 │ 11  │
