┌─────────┬──────┬──────┬──────┬──────┬─────┬────────────────────┬───────────┬─────────┬────────────────────┬────────────────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬──────┬─────┬───────┬─────────────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬────────────────────┬───────┬──────┬──────────┬─────┬──────┬────────────────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │       val_uk       │ total_vol │ sum_vol │        val         │      acum_val      │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk  │ ruk │ bu-sd │      bu-sd_val      │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │    acum_val_sd     │ rbusd │  bu  │  val_bu  │ rbu │  sd  │       val_sd       │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼────────────────────┼───────────┼─────────┼────────────────────┼────────────────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼──────┼─────┼───────┼─────────────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼────────────────────┼───────┼──────┼──────────┼─────┼──────┼────────────────────┼─────┤
│    0    │ 5.11 │ 5.11 │ 5.11 │ 5.11 │ 100 │ 511000.00000000006 │    100    │   100   │ 511000.00000000006 │ 511000.00000000006 │ 1673947800000 │ '2023-01-17T09:30:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 944.4 │ 333.3 │ 11.1 │  9  │   0   │          0          │ 4826111.1  │ 1701111.1  │     0     │       0       │      0      │         0          │   0   │      │          │     │      │                    │     │
│    1    │ 5.11 │ 5.11 │ 5.11 │ 5.11 │     │                    │   4100    │  4000   │      20440000      │      20951000      │ 1673949600000 │ '2023-01-17T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 944.4 │ 333.3 │ 11.1 │     │ 4000  │      20440000       │ 4826111.1  │ 1701111.1  │   4000    │   20440000    │  20440000   │         0          │  6.5  │ 4000 │ 20440000 │ 4.2 │      │                    │     │
│    2    │ 5.11 │ 5.11 │ 5.11 │ 5.11 │     │                    │   8100    │  4000   │      20440000      │      41391000      │ 1673949900000 │ '2023-01-17T10:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 944.4 │ 333.3 │ 11.1 │     │ 4000  │      20440000       │ 4826111.1  │ 1701111.1  │   8000    │   40880000    │  40880000   │         0          │  6.5  │ 4000 │ 20440000 │ 4.2 │      │                    │     │
│    3    │ 5.11 │ 5.11 │ 5.11 │ 5.11 │     │                    │   8600    │   500   │      2555000       │      43946000      │ 1673951700000 │ '2023-01-17T10:35:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 944.4 │ 333.3 │ 11.1 │     │  500  │       2555000       │ 4826111.1  │ 1701111.1  │   8500    │   43435000    │  43435000   │         0          │  0.8  │ 500  │ 2555000  │ 0.5 │      │                    │     │
│    4    │ 5.11 │ 5.11 │ 5.11 │ 5.11 │     │                    │   8800    │   200   │ 1022000.0000000001 │      44968000      │ 1673952600000 │ '2023-01-17T10:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 944.4 │ 333.3 │ 11.1 │     │ -200  │ -1022000.0000000001 │ 4826111.1  │ 1701111.1  │   8300    │   42413000    │  43435000   │ 1022000.0000000001 │ -0.3  │      │          │     │ 200  │ 1022000.0000000001 │ 0.6 │
│    5    │ 5.11 │ 5.11 │ 5.11 │ 5.11 │     │                    │   9300    │   500   │      2555000       │      47523000      │ 1673953800000 │ '2023-01-17T11:10:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 944.4 │ 333.3 │ 11.1 │     │ -500  │      -2555000       │ 4826111.1  │ 1701111.1  │   7800    │   39858000    │  43435000   │      3577000       │ -0.8  │      │          │     │ 500  │      2555000       │ 1.5 │
│    6    │ 5.11 │ 5.11 │ 5.11 │ 5.11 │     │                    │   9600    │   300   │ 1533000.0000000002 │      49056000      │ 1673960400000 │ '2023-01-17T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 944.4 │ 333.3 │ 11.1 │     │ -300  │ -1533000.0000000002 │ 4826111.1  │ 1701111.1  │   7500    │   38325000    │  43435000   │      5110000       │ -0.5  │      │          │     │ 300  │ 1533000.0000000002 │ 0.9 │
│    7    │ 5.1  │ 5.1  │ 5.1  │ 5.1  │     │                    │   9800    │   200   │ 1019999.9999999999 │      50076000      │ 1673964300000 │ '2023-01-17T14:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 944.4 │ 333.3 │ 11.1 │     │ -200  │ -1019999.9999999999 │ 4826111.1  │ 1701111.1  │   7300    │   37305000    │  43435000   │      6130000       │ -0.3  │      │          │     │ 200  │ 1019999.9999999999 │ 0.6 │
│    8    │ 5.1  │ 5.1  │ 5.1  │ 5.1  │     │                    │   11600   │  1800   │      9180000       │      59256000      │ 1673965200000 │ '2023-01-17T14:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 944.4 │ 333.3 │ 11.1 │     │ -1800 │      -9180000       │ 4826111.1  │ 1701111.1  │   5500    │   28125000    │  43435000   │      15310000      │ -2.9  │      │          │     │ 1800 │      9180000       │ 5.4 │
└─────────┴──────┴──────┴──────┴──────┴─────┴────────────────────┴───────────┴─────────┴────────────────────┴────────────────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴──────┴─────┴───────┴─────────────────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴────────────────────┴───────┴──────┴──────────┴─────┴──────┴────────────────────┴─────┘

