┌─────────┬───────┬───────┬───────┬───────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬─────┬──────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  uk  │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb  │ abu  │ asd │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼─────┼──────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┤
│    0    │ 10.8  │ 10.8  │ 10.8  │ 10.8  │ 1000 │ 10800000 │   1000    │  1000   │ 10800000 │ 10800000  │ 1673946900000 │ '2023-01-17T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │ NaN │ 1490 │  0  │ 100 │ 10  │   0   │     0     │  15960720  │     0      │     0     │       0       │      0      │      0      │   0   │      │          │     │
│    1    │ 10.8  │ 10.8  │ 10.8  │ 10.8  │      │          │   3300    │  2300   │ 24840000 │ 35640000  │ 1673947800000 │ '2023-01-17T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 1490 │  0  │ 100 │     │ 2300  │ 24840000  │  15960720  │     0      │   2300    │   24840000    │  24840000   │      0      │  1.6  │ 2300 │ 24840000 │ 1.5 │
│    2    │  11   │  11   │ 10.85 │ 10.85 │      │          │   4300    │  1000   │ 8682200  │ 44322200  │ 1673948400000 │ '2023-01-17T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 1490 │  0  │ 100 │     │ 1000  │  8682200  │  15960720  │     0      │   3300    │   33522200    │  33522200   │      0      │  0.5  │ 1000 │ 8682200  │ 0.7 │
│    3    │ 10.9  │ 10.9  │ 10.9  │ 10.9  │      │          │   7300    │  3000   │ 32700000 │ 77022200  │ 1673950800000 │ '2023-01-17T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 1490 │  0  │ 100 │     │ 3000  │ 32700000  │  15960720  │     0      │   6300    │   66222200    │  66222200   │      0      │   2   │ 3000 │ 32700000 │  2  │
│    4    │ 10.9  │ 10.9  │ 10.9  │ 10.9  │      │          │   8300    │  1000   │ 10900000 │ 87922200  │ 1673952000000 │ '2023-01-17T10:40:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 1490 │  0  │ 100 │     │ 1000  │ 10900000  │  15960720  │     0      │   7300    │   77122200    │  77122200   │      0      │  0.7  │ 1000 │ 10900000 │ 0.7 │
│    5    │ 10.85 │ 10.85 │ 10.85 │ 10.85 │      │          │   11300   │  3000   │ 32550000 │ 120472200 │ 1673961300000 │ '2023-01-17T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 1490 │  0  │ 100 │     │ 3000  │ 32550000  │  15960720  │     0      │   10300   │   109672200   │  109672200  │      0      │   2   │ 3000 │ 32550000 │  2  │
│    6    │ 10.85 │ 10.85 │ 10.85 │ 10.85 │      │          │   13300   │  2000   │ 21700000 │ 142172200 │ 1673963400000 │ '2023-01-17T13:50:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 1490 │  0  │ 100 │     │ 2000  │ 21700000  │  15960720  │     0      │   12300   │   131372200   │  131372200  │      0      │  1.4  │ 2000 │ 21700000 │ 1.3 │
│    7    │ 10.85 │ 10.85 │ 10.85 │ 10.85 │      │          │   13400   │   100   │ 1085000  │ 143257200 │ 1673963700000 │ '2023-01-17T13:55:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 1490 │  0  │ 100 │     │  100  │  1085000  │  15960720  │     0      │   12400   │   132457200   │  132457200  │      0      │  0.1  │ 100  │ 1085000  │ 0.1 │
│    8    │ 10.85 │ 10.85 │ 10.85 │ 10.85 │      │          │   15400   │  2000   │ 21700000 │ 164957200 │ 1673964900000 │ '2023-01-17T14:15:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 1490 │  0  │ 100 │     │ 2000  │ 21700000  │  15960720  │     0      │   14400   │   154157200   │  154157200  │      0      │  1.4  │ 2000 │ 21700000 │ 1.3 │
│    9    │ 10.9  │ 10.9  │ 10.9  │ 10.9  │      │          │   15900   │   500   │ 5450000  │ 170407200 │ 1673966700000 │ '2023-01-17T14:45:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 1490 │  0  │ 100 │     │  500  │  5450000  │  15960720  │     0      │   14900   │   159607200   │  159607200  │      0      │  0.3  │ 500  │ 5450000  │ 0.3 │
└─────────┴───────┴───────┴───────┴───────┴──────┴──────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴─────┴──────┴─────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┘

