┌─────────┬──────┬──────┬──────┬──────┬───────┬───────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬────┬──────────┬─────┬────────┬─────┬─────┬────────┬────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┐
│ (index) │  c   │  h   │  l   │  o   │  sd   │  val_sd   │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │ bs │    sb    │ abu │  asd   │ auk │ rsd │ bu-sd  │ bu-sd_val  │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼──────┼──────┼──────┼──────┼───────┼───────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼────┼──────────┼─────┼────────┼─────┼─────┼────────┼────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│    0    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │ 14000 │ 173600000 │   14000   │  14000  │ 173600000 │ 173600000 │ 1673946900000 │ '2023-01-17T09:15:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 7.4 │ -14000 │ -173600000 │     0      │ 23422222.2 │  -14000   │  -173600000   │      0      │  173600000  │  7.4  │
│    1    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │ 7000  │ 86800000  │   21000   │  7000   │ 86800000  │ 260400000 │ 1673947200000 │ '2023-01-17T09:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 3.7 │ -7000  │ -86800000  │     0      │ 23422222.2 │  -21000   │  -260400000   │      0      │  260400000  │  3.7  │
│    2    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │  100  │  1240000  │   21100   │   100   │  1240000  │ 261640000 │ 1673947500000 │ '2023-01-17T09:25:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 0.1 │  -100  │  -1240000  │     0      │ 23422222.2 │  -21100   │  -261640000   │      0      │  261640000  │  0.1  │
│    3    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │ 1000  │ 12400000  │   22100   │  1000   │ 12400000  │ 274040000 │ 1673947800000 │ '2023-01-17T09:30:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 0.5 │ -1000  │ -12400000  │     0      │ 23422222.2 │  -22100   │  -274040000   │      0      │  274040000  │  0.5  │
│    4    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │ 1500  │ 18600000  │   23600   │  1500   │ 18600000  │ 292640000 │ 1673948400000 │ '2023-01-17T09:40:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 0.8 │ -1500  │ -18600000  │     0      │ 23422222.2 │  -23600   │  -292640000   │      0      │  292640000  │  0.8  │
│    5    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │  200  │  2480000  │   23800   │   200   │  2480000  │ 295120000 │ 1673948700000 │ '2023-01-17T09:45:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 0.1 │  -200  │  -2480000  │     0      │ 23422222.2 │  -23800   │  -295120000   │      0      │  295120000  │  0.1  │
│    6    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │ 1000  │ 12400000  │   24800   │  1000   │ 12400000  │ 307520000 │ 1673950800000 │ '2023-01-17T10:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 0.5 │ -1000  │ -12400000  │     0      │ 23422222.2 │  -24800   │  -307520000   │      0      │  307520000  │  0.5  │
│    7    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │ 2000  │ 24800000  │   26800   │  2000   │ 24800000  │ 332320000 │ 1673951400000 │ '2023-01-17T10:30:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 1.1 │ -2000  │ -24800000  │     0      │ 23422222.2 │  -26800   │  -332320000   │      0      │  332320000  │  1.1  │
│    8    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │ 1000  │ 12400000  │   27800   │  1000   │ 12400000  │ 344720000 │ 1673952600000 │ '2023-01-17T10:50:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 0.5 │ -1000  │ -12400000  │     0      │ 23422222.2 │  -27800   │  -344720000   │      0      │  344720000  │  0.5  │
│    9    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │  500  │  6200000  │   28300   │   500   │  6200000  │ 350920000 │ 1673952900000 │ '2023-01-17T10:55:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 0.3 │  -500  │  -6200000  │     0      │ 23422222.2 │  -28300   │  -350920000   │      0      │  350920000  │  0.3  │
│   10    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │  400  │  4960000  │   28700   │   400   │  4960000  │ 355880000 │ 1673960400000 │ '2023-01-17T13:00:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 0.2 │  -400  │  -4960000  │     0      │ 23422222.2 │  -28700   │  -355880000   │      0      │  355880000  │  0.2  │
│   11    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │  300  │  3720000  │   29000   │   300   │  3720000  │ 359600000 │ 1673961000000 │ '2023-01-17T13:10:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 0.2 │  -300  │  -3720000  │     0      │ 23422222.2 │  -29000   │  -359600000   │      0      │  359600000  │  0.2  │
│   12    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │ 4000  │ 49600000  │   33000   │  4000   │ 49600000  │ 409200000 │ 1673961600000 │ '2023-01-17T13:20:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 2.1 │ -4000  │ -49600000  │     0      │ 23422222.2 │  -33000   │  -409200000   │      0      │  409200000  │  2.1  │
│   13    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │  300  │  3720000  │   33300   │   300   │  3720000  │ 412920000 │ 1673962800000 │ '2023-01-17T13:40:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 0.2 │  -300  │  -3720000  │     0      │ 23422222.2 │  -33300   │  -412920000   │      0      │  412920000  │  0.2  │
│   14    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │  200  │  2480000  │   33500   │   200   │  2480000  │ 415400000 │ 1673963400000 │ '2023-01-17T13:50:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 0.1 │  -200  │  -2480000  │     0      │ 23422222.2 │  -33500   │  -415400000   │      0      │  415400000  │  0.1  │
│   15    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │  200  │  2480000  │   33700   │   200   │  2480000  │ 417880000 │ 1673964600000 │ '2023-01-17T14:10:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 0.1 │  -200  │  -2480000  │     0      │ 23422222.2 │  -33700   │  -417880000   │      0      │  417880000  │  0.1  │
│   16    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │  200  │  2480000  │   33900   │   200   │  2480000  │ 420360000 │ 1673964900000 │ '2023-01-17T14:15:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 0.1 │  -200  │  -2480000  │     0      │ 23422222.2 │  -33900   │  -420360000   │      0      │  420360000  │  0.1  │
│   17    │ 12.4 │ 12.4 │ 12.4 │ 12.4 │  100  │  1240000  │   34000   │   100   │  1240000  │ 421600000 │ 1673966700000 │ '2023-01-17T14:45:00.000Z' │  0  │ 100 │  0  │ 0  │ Infinity │  0  │ 1888.9 │  0  │ 0.1 │  -100  │  -1240000  │     0      │ 23422222.2 │  -34000   │  -421600000   │      0      │  421600000  │  0.1  │
└─────────┴──────┴──────┴──────┴──────┴───────┴───────────┴───────────┴─────────┴───────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴────┴──────────┴─────┴────────┴─────┴─────┴────────┴────────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┘

