┌─────────┬─────┬─────┬─────┬─────┬──────┬─────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬───────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬─────┬──────┬─────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │  uk  │ val_uk  │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │  auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │ val_bu  │ rbu │  sd  │ val_sd  │ rsd │
├─────────┼─────┼─────┼─────┼─────┼──────┼─────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼───────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼─────┼──────┼─────────┼─────┤
│    0    │ 4.8 │ 4.8 │ 4.8 │ 4.8 │ 2000 │ 9600000 │   2000    │  2000   │ 9600000 │ 9600000  │ 1673947800000 │ '2023-01-17T09:30:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 355.6 │ 233.3 │ 222.2 │  9  │   0   │     0     │ 1014055.6  │ 1107777.8  │     0     │       0       │      0      │      0      │  -0   │      │         │     │      │         │     │
│    1    │ 4.8 │ 4.8 │ 4.8 │ 4.8 │      │         │   3600    │  1600   │ 7680000 │ 17280000 │ 1673948400000 │ '2023-01-17T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 355.6 │ 233.3 │ 222.2 │     │ 1600  │  7680000  │ 1014055.6  │ 1107777.8  │   1600    │    7680000    │   7680000   │      0      │ -81.9 │ 1600 │ 7680000 │ 4.5 │      │         │     │
│    2    │ 4.8 │ 4.8 │ 4.8 │ 4.8 │      │         │   4100    │   500   │ 2400000 │ 19680000 │ 1673948700000 │ '2023-01-17T09:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 355.6 │ 233.3 │ 222.2 │     │ -500  │ -2400000  │ 1014055.6  │ 1107777.8  │   1100    │    5280000    │   7680000   │   2400000   │ 25.6  │      │         │     │ 500  │ 2400000 │ 2.1 │
│    3    │ 4.8 │ 4.8 │ 4.8 │ 4.8 │      │         │   4400    │   300   │ 1440000 │ 21120000 │ 1673950500000 │ '2023-01-17T10:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 355.6 │ 233.3 │ 222.2 │     │  300  │  1440000  │ 1014055.6  │ 1107777.8  │   1400    │    6720000    │   9120000   │   2400000   │ -15.4 │ 300  │ 1440000 │ 0.8 │      │         │     │
│    4    │ 4.7 │ 4.7 │ 4.7 │ 4.7 │      │         │   5500    │  1100   │ 5170000 │ 26290000 │ 1673951700000 │ '2023-01-17T10:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 355.6 │ 233.3 │ 222.2 │     │ -1100 │ -5170000  │ 1014055.6  │ 1107777.8  │    300    │    1550000    │   9120000   │   7570000   │ 55.2  │      │         │     │ 1100 │ 5170000 │ 4.7 │
│    5    │ 4.8 │ 4.8 │ 4.8 │ 4.8 │      │         │   6000    │   500   │ 2400000 │ 28690000 │ 1673961900000 │ '2023-01-17T13:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 355.6 │ 233.3 │ 222.2 │     │ -500  │ -2400000  │ 1014055.6  │ 1107777.8  │   -200    │    -850000    │   9120000   │   9970000   │ 25.6  │      │         │     │ 500  │ 2400000 │ 2.1 │
│    6    │  5  │  5  │  5  │  5  │      │         │   6200    │   200   │  1000   │ 28691000 │ 1673963400000 │ '2023-01-17T13:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 355.6 │ 233.3 │ 222.2 │     │  200  │   1000    │ 1014055.6  │ 1107777.8  │     0     │    -849000    │   9121000   │   9970000   │  -0   │ 200  │  1000   │ 0.6 │      │         │     │
│    7    │  5  │  5  │  5  │  5  │      │         │   6300    │   100   │   500   │ 28691500 │ 1673963700000 │ '2023-01-17T13:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 355.6 │ 233.3 │ 222.2 │     │  100  │    500    │ 1014055.6  │ 1107777.8  │    100    │    -848500    │   9121500   │   9970000   │  -0   │ 100  │   500   │ 0.3 │      │         │     │
│    8    │  5  │  5  │  5  │  5  │      │         │   7300    │  1000   │  5000   │ 28696500 │ 1673965200000 │ '2023-01-17T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 355.6 │ 233.3 │ 222.2 │     │ 1000  │   5000    │ 1014055.6  │ 1107777.8  │   1100    │    -843500    │   9126500   │   9970000   │ -0.1  │ 1000 │  5000   │ 2.8 │      │         │     │
└─────────┴─────┴─────┴─────┴─────┴──────┴─────────┴───────────┴─────────┴─────────┴──────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴───────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴─────────┴─────┴──────┴─────────┴─────┘

