"symbol","stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType"
"PAN","hose:2570",16500,182600,2929400,"14:45:04",16000,"unknown",500,3.1,"U"
"PAN","hose:2570",16350,1300,2746800,"14:29:57",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,300,2745500,"14:29:57",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,1800,2745200,"14:29:57",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,100,2743400,"14:29:57",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,3300,2743300,"14:29:57",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,500,2740000,"14:29:57",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16300,1200,2739500,"14:29:52",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,500,2738300,"14:29:38",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,300,2737800,"14:29:29",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16350,1000,2737500,"14:29:26",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,2000,2736500,"14:29:23",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,500,2734500,"14:29:22",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,700,2734000,"14:29:16",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,100,2733300,"14:29:16",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,500,2733200,"14:29:16",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,3000,2732700,"14:29:16",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,200,2729700,"14:29:16",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,400,2729500,"14:28:55",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,100,2729100,"14:28:55",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,600,2729000,"14:28:35",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,500,2728400,"14:28:35",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,800,2727900,"14:28:35",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,1100,2727100,"14:28:35",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,600,2726000,"14:27:47",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,400,2725400,"14:27:47",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,1600,2725000,"14:26:49",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16350,400,2723400,"14:26:49",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16300,200,2723000,"14:26:44",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,500,2722800,"14:26:38",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,500,2722300,"14:26:35",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,400,2721800,"14:26:34",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,700,2721400,"14:26:11",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,100,2720700,"14:26:11",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,200,2720600,"14:26:11",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16350,200,2720400,"14:26:08",16000,"bu",350,2.2,"U"
"PAN","hose:2570",16300,2800,2720200,"14:26:06",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,2200,2717400,"14:26:06",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,500,2715200,"14:26:06",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,1000,2714700,"14:25:59",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,1000,2713700,"14:25:57",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,300,2712700,"14:25:51",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,100,2712400,"14:25:51",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,100,2712300,"14:25:51",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,4500,2712200,"14:25:51",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,500,2707700,"14:25:19",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16300,5000,2707200,"14:25:17",16000,"sd",300,1.9,"U"
"PAN","hose:2570",16350,500,2702200,"14:24:54",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,200,2701700,"14:24:54",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,1700,2701500,"14:24:54",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,3300,2699800,"14:24:53",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,100,2696500,"14:24:53",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,100,2696400,"14:24:53",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,500,2696300,"14:24:53",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,500,2695800,"14:24:53",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,300,2695300,"14:24:53",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,100,2695000,"14:24:53",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,100,2694900,"14:24:53",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,100,2694800,"14:24:52",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,1400,2694700,"14:24:52",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,300,2693300,"14:24:49",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,200,2693000,"14:24:41",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,100,2692800,"14:24:20",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,3900,2692700,"14:24:20",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,400,2688800,"14:24:17",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,700,2688400,"14:24:09",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16350,100,2687700,"14:24:09",16000,"sd",350,2.2,"U"
"PAN","hose:2570",16400,4000,2687600,"14:24:09",16000,"sd",400,2.5,"U"
"PAN","hose:2570",16400,5200,2683600,"14:24:09",16000,"sd",400,2.5,"U"
