"symbol","stockNo","price","vol","accumulatedVol","time","ref","side","priceChange","priceChangePercent","changeType"
"MCG","hose:2023",3120,2500,188500,"14:45:03",3090,"sd",30,1,"U"
"MCG","hose:2023",3100,500,186000,"14:21:05",3090,"bu",10,0.3,"U"
"MCG","hose:2023",3100,200,185500,"14:21:05",3090,"bu",10,0.3,"U"
"MCG","hose:2023",3100,200,185300,"14:20:10",3090,"bu",10,0.3,"U"
"MCG","hose:2023",3100,200,185100,"14:17:47",3090,"bu",10,0.3,"U"
"MCG","hose:2023",3100,300,184900,"14:17:47",3090,"bu",10,0.3,"U"
"MCG","hose:2023",3100,500,184600,"14:05:19",3090,"sd",10,0.3,"U"
"MCG","hose:2023",3100,4000,184100,"14:03:58",3090,"sd",10,0.3,"U"
"MCG","hose:2023",3100,1000,180100,"14:03:58",3090,"sd",10,0.3,"U"
"MCG","hose:2023",3190,300,179100,"13:55:48",3090,"sd",100,3.2,"U"
"MCG","hose:2023",3190,4000,178800,"13:55:43",3090,"sd",100,3.2,"U"
"MCG","hose:2023",3190,4000,174800,"13:55:08",3090,"sd",100,3.2,"U"
"MCG","hose:2023",3190,500,170800,"13:54:25",3090,"sd",100,3.2,"U"
"MCG","hose:2023",3190,500,170300,"13:53:29",3090,"bu",100,3.2,"U"
"MCG","hose:2023",3190,9800,169800,"13:53:29",3090,"bu",100,3.2,"U"
"MCG","hose:2023",3180,400,160000,"13:53:29",3090,"bu",90,2.9,"U"
"MCG","hose:2023",3190,200,159600,"13:51:21",3090,"sd",100,3.2,"U"
"MCG","hose:2023",3190,1000,159400,"13:49:49",3090,"bu",100,3.2,"U"
"MCG","hose:2023",3180,3000,158400,"13:49:49",3090,"bu",90,2.9,"U"
"MCG","hose:2023",3190,500,155400,"13:45:59",3090,"bu",100,3.2,"U"
"MCG","hose:2023",3190,500,154900,"13:45:59",3090,"bu",100,3.2,"U"
"MCG","hose:2023",3190,2200,154400,"13:45:48",3090,"bu",100,3.2,"U"
"MCG","hose:2023",3180,500,152200,"13:45:48",3090,"bu",90,2.9,"U"
"MCG","hose:2023",3180,400,151700,"13:45:48",3090,"bu",90,2.9,"U"
"MCG","hose:2023",3170,100,151300,"13:45:48",3090,"bu",80,2.6,"U"
"MCG","hose:2023",3150,800,151200,"13:45:48",3090,"bu",60,1.9,"U"
"MCG","hose:2023",3140,500,150400,"13:43:47",3090,"bu",50,1.6,"U"
"MCG","hose:2023",3140,1900,149900,"13:43:47",3090,"bu",50,1.6,"U"
"MCG","hose:2023",3130,400,148000,"13:43:04",3090,"bu",40,1.3,"U"
"MCG","hose:2023",3130,2000,147600,"13:43:04",3090,"bu",40,1.3,"U"
"MCG","hose:2023",3130,3000,145600,"13:41:50",3090,"bu",40,1.3,"U"
"MCG","hose:2023",3090,100,142600,"13:39:40",3090,"bu",0,0,"R"
"MCG","hose:2023",3090,9200,142500,"13:39:40",3090,"bu",0,0,"R"
"MCG","hose:2023",3090,300,133300,"13:36:04",3090,"bu",0,0,"R"
"MCG","hose:2023",3090,100,133000,"13:35:12",3090,"bu",0,0,"R"
"MCG","hose:2023",3090,2500,132900,"13:33:56",3090,"bu",0,0,"R"
"MCG","hose:2023",3090,2000,130400,"13:33:08",3090,"sd",0,0,"R"
"MCG","hose:2023",3090,3900,128400,"13:33:08",3090,"sd",0,0,"R"
"MCG","hose:2023",3090,4000,124500,"13:29:14",3090,"sd",0,0,"R"
"MCG","hose:2023",3090,2100,120500,"13:29:00",3090,"bu",0,0,"R"
"MCG","hose:2023",3090,1200,118400,"13:27:56",3090,"sd",0,0,"R"
"MCG","hose:2023",3100,100,117200,"13:27:56",3090,"sd",10,0.3,"U"
"MCG","hose:2023",3100,500,117100,"13:26:29",3090,"bu",10,0.3,"U"
"MCG","hose:2023",3100,800,116600,"13:26:29",3090,"bu",10,0.3,"U"
"MCG","hose:2023",3100,100,115800,"13:24:31",3090,"bu",10,0.3,"U"
"MCG","hose:2023",3100,100,115700,"13:24:31",3090,"bu",10,0.3,"U"
"MCG","hose:2023",3090,1800,115600,"13:24:17",3090,"bu",0,0,"R"
"MCG","hose:2023",3090,3200,113800,"13:23:48",3090,"bu",0,0,"R"
"MCG","hose:2023",3090,800,110600,"13:23:48",3090,"bu",0,0,"R"
"MCG","hose:2023",3090,500,109800,"13:23:44",3090,"bu",0,0,"R"
"MCG","hose:2023",3090,200,109300,"13:23:30",3090,"bu",0,0,"R"
"MCG","hose:2023",3080,2400,109100,"13:17:17",3090,"sd",-10,-0.3,"D"
"MCG","hose:2023",3080,100,106700,"13:17:17",3090,"sd",-10,-0.3,"D"
"MCG","hose:2023",3090,2300,106600,"13:16:48",3090,"bu",0,0,"R"
