"acum_busd","acum_busd_val","acum_val","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
100,1190000,1190000,100,100,1190000,"2022-12-30T09:06:00.000Z",1672391160000,0,100,100,0,1190000,1190000,0,0
600,7140000,7140000,500,500,5950000,"2022-12-30T09:08:00.000Z",1672391280000,0,500,600,0,5950000,5950000,0,0
-82500,2364001300,60508989300,1306800,-83100,2356861300,"2022-12-30T09:14:00.000Z",1672391640000,1389900,4479300,4479900,1782600,60501849300,19717025800,17360164500,23424659000
345600,9014951200,97346159800,1336100,428100,6650949900,"2022-12-30T09:16:00.000Z",1672391760000,908000,2263100,6743000,19000,36837170500,21533022200,14882072300,422076000
404500,16250456800,130455251200,992600,58900,7235505600,"2022-12-30T09:18:00.000Z",1672391880000,933700,1932500,8675500,6200,33109091400,20047674200,12812168600,249248600
68100,13513696400,156827861600,668700,-336400,-2736760400,"2022-12-30T09:20:00.000Z",1672392000000,1005100,1701100,10376600,27300,26372610400,11656218000,14392978400,323414000
37100,18716167800,188937401200,939900,-31000,5202471400,"2022-12-30T09:22:00.000Z",1672392120000,970900,1923200,12299800,12400,32109539600,18540259500,13337788100,231492000
586400,22841340600,221403352400,1436700,549300,4125172800,"2022-12-30T09:24:00.000Z",1672392240000,887400,2346300,14646100,22200,32465951200,18228783800,14103611000,133556400
346600,21241208300,251983583500,859500,-239800,-1600132300,"2022-12-30T09:26:00.000Z",1672392360000,1099300,1962800,16608900,4000,30580231100,14455124900,16055257200,69849000
87900,19012180000,280581895200,769200,-258700,-2229028300,"2022-12-30T09:28:00.000Z",1672392480000,1027900,1797200,18406100,100,28598311700,13184019200,15413047500,1245000
-111500,20994260300,303776749700,718500,-199400,1982080300,"2022-12-30T09:30:00.000Z",1672392600000,917900,1644700,20050800,8300,23194854500,12527311900,10545231600,122311000
-387200,18000721900,325164198100,557000,-275700,-2993538400,"2022-12-30T09:32:00.000Z",1672392720000,832700,1391200,21442000,1500,21387448400,9187601500,12181139900,18707000
-621700,19702503900,350337020500,564000,-234500,1701782000,"2022-12-30T09:34:00.000Z",1672392840000,798500,1380800,22822800,18300,25172822400,13280280200,11578498200,314044000
-417700,24780863100,371486378500,876500,204000,5078359200,"2022-12-30T09:36:00.000Z",1672392960000,672500,1551900,24374700,2900,21149358000,13098430500,8020071300,30856200
-239900,30347340400,395484842000,728200,177800,5566477300,"2022-12-30T09:38:00.000Z",1672393080000,550400,1281900,25656600,3300,23998463500,14760008400,9193531100,44924000
-54900,35577456000,416531481600,698800,185000,5230115600,"2022-12-30T09:40:00.000Z",1672393200000,513800,1218400,26875000,5800,21046639600,13108815600,7878700000,59124000
-561800,33230601700,438743402700,621700,-506900,-2346854300,"2022-12-30T09:42:00.000Z",1672393320000,1128600,1763000,28638000,12700,22211921100,9791185900,12138040200,282695000
-1159300,28399342400,463257356200,520700,-597500,-4831259300,"2022-12-30T09:44:00.000Z",1672393440000,1118200,1668500,30306500,29600,24513953500,9440532100,14271791400,801630000
-1771600,21870661500,482163692500,338400,-612300,-6528680900,"2022-12-30T09:46:00.000Z",1672393560000,950700,1293400,31599900,4300,18906336300,6162180400,12690861300,53294600
-2123500,21131751000,498224265400,483000,-351900,-738910500,"2022-12-30T09:48:00.000Z",1672393680000,834900,1318400,32918300,500,16060572900,7658566200,8397476700,4530000
-2819900,11138247000,525627442000,559100,-696400,-9993504000,"2022-12-30T09:50:00.000Z",1672393800000,1255500,1843700,34762000,29100,27403176600,8505619300,18499123300,398434000
-3051400,12427079000,556422963400,782400,-231500,1288832000,"2022-12-30T09:52:00.000Z",1672393920000,1013900,1798800,36560800,2500,30795521400,16023999700,14735167700,36354000
-3240600,10006371400,580261515200,595700,-189200,-2420707600,"2022-12-30T09:54:00.000Z",1672394040000,784900,1389200,37950000,8600,23838551800,10564901100,12985608700,288042000
-3148000,11825669700,597217494900,559600,92600,1819298300,"2022-12-30T09:56:00.000Z",1672394160000,467000,1032600,38982600,6000,16955979700,9311964000,7492665700,151350000
-3055700,12632034700,611026773900,438900,92300,806365000,"2022-12-30T09:58:00.000Z",1672394280000,346600,790600,39773200,5100,13809279000,7283824000,6477459000,47996000
