┌─────────┬──────┬──────┬──────┬──────┬─────┬─────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬────────┬───────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬───────────┬─────┬─────┬─────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu   │  asd  │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu   │  val_bu   │ rbu │ sd  │ val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼─────┼─────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼────────┼───────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼───────────┼─────┼─────┼─────────┼─────┤
│    0    │ 8.6  │ 8.6  │ 8.6  │ 8.6  │ 400 │ 3440000 │    400    │   400   │  3440000  │  3440000  │ 1675761240000 │ '2023-02-07T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 1555.6 │ 222.2 │ 44.4 │  9  │   0   │     0     │ 13596666.7 │ 1868444.4  │     0     │       0       │      0      │      0      │   0   │       │           │     │     │         │     │
│    1    │ 8.8  │ 8.9  │ 8.68 │ 8.86 │     │         │   13600   │  13200  │ 115556000 │ 118996000 │ 1675762440000 │ '2023-02-07T09:34:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1555.6 │ 222.2 │ 44.4 │     │ 13200 │ 115556000 │ 13596666.7 │ 1868444.4  │   13200   │   115556000   │  115556000  │      0      │  9.9  │ 13200 │ 115556000 │ 8.5 │     │         │     │
│    2    │ 8.5  │ 8.55 │ 8.5  │ 8.55 │     │         │   14100   │   500   │  4260000  │ 123256000 │ 1675763400000 │ '2023-02-07T09:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1555.6 │ 222.2 │ 44.4 │     │ -500  │ -4260000  │ 13596666.7 │ 1868444.4  │   12700   │   111296000   │  115556000  │   4260000   │  0.4  │       │           │     │ 500 │ 4260000 │ 2.3 │
│    3    │ 8.5  │ 8.5  │ 8.5  │ 8.5  │     │         │   14700   │   600   │  5100000  │ 128356000 │ 1675763520000 │ '2023-02-07T09:52:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1555.6 │ 222.2 │ 44.4 │     │  600  │  5100000  │ 13596666.7 │ 1868444.4  │   13300   │   116396000   │  120656000  │   4260000   │  0.4  │  600  │  5100000  │ 0.4 │     │         │     │
│    4    │ 8.35 │ 8.41 │ 8.35 │ 8.41 │     │         │   15200   │   500   │  4197000  │ 132553000 │ 1675763640000 │ '2023-02-07T09:54:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1555.6 │ 222.2 │ 44.4 │     │ -500  │ -4197000  │ 13596666.7 │ 1868444.4  │   12800   │   112199000   │  120656000  │   8457000   │  0.4  │       │           │     │ 500 │ 4197000 │ 2.3 │
│    5    │ 8.36 │ 8.36 │ 8.36 │ 8.36 │     │         │   15600   │   400   │  3344000  │ 135897000 │ 1675767480000 │ '2023-02-07T10:58:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1555.6 │ 222.2 │ 44.4 │     │ -400  │ -3344000  │ 13596666.7 │ 1868444.4  │   12400   │   108855000   │  120656000  │  11801000   │  0.3  │       │           │     │ 400 │ 3344000 │ 1.8 │
│    6    │ 8.35 │ 8.35 │ 8.35 │ 8.35 │     │         │   16100   │   500   │  4175000  │ 140072000 │ 1675767600000 │ '2023-02-07T11:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1555.6 │ 222.2 │ 44.4 │     │ -500  │ -4175000  │ 13596666.7 │ 1868444.4  │   11900   │   104680000   │  120656000  │  15976000   │  0.4  │       │           │     │ 500 │ 4175000 │ 2.3 │
│    7    │ 8.4  │ 8.4  │ 8.4  │ 8.4  │     │         │   16200   │   100   │  840000   │ 140912000 │ 1675777560000 │ '2023-02-07T13:46:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 1555.6 │ 222.2 │ 44.4 │     │ -100  │  -840000  │ 13596666.7 │ 1868444.4  │   11800   │   103840000   │  120656000  │  16816000   │  0.1  │       │           │     │ 100 │ 840000  │ 0.5 │
│    8    │ 8.57 │ 8.57 │ 8.57 │ 8.57 │     │         │   16400   │   200   │  1714000  │ 142626000 │ 1675781040000 │ '2023-02-07T14:44:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 1555.6 │ 222.2 │ 44.4 │     │  200  │  1714000  │ 13596666.7 │ 1868444.4  │   12000   │   105554000   │  122370000  │  16816000   │  0.1  │  200  │  1714000  │ 0.1 │     │         │     │
└─────────┴──────┴──────┴──────┴──────┴─────┴─────────┴───────────┴─────────┴───────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴────────┴───────┴──────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴───────┴───────────┴─────┴─────┴─────────┴─────┘

