┌─────────┬──────┬──────┬──────┬──────┬────────┬───────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬────┬──────┬─────┬─────┬──────┬────────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┐
│ (index) │  c   │  h   │  l   │  o   │   bu   │  val_bu   │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb │ abu  │ asd │ auk │ rbu  │ bu-sd  │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼──────┼──────┼──────┼──────┼────────┼───────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼────┼──────┼─────┼─────┼──────┼────────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│    0    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │ 182900 │ 453592000 │  182900   │ 182900  │ 453592000 │ 453592000 │ 1675761240000 │ '2023-02-07T09:14:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 35.4 │ 182900 │ 453592000 │  12796800  │     0      │  182900   │   453592000   │  453592000  │      0      │ 35.4  │
│    1    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  1700  │  4216000  │  184600   │  1700   │  4216000  │ 457808000 │ 1675761360000 │ '2023-02-07T09:16:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 0.3  │  1700  │  4216000  │  12796800  │     0      │  184600   │   457808000   │  457808000  │      0      │  0.3  │
│    2    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │ 10000  │ 24800000  │  194600   │  10000  │ 24800000  │ 482608000 │ 1675761480000 │ '2023-02-07T09:18:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 1.9  │ 10000  │ 24800000  │  12796800  │     0      │  194600   │   482608000   │  482608000  │      0      │  1.9  │
│    3    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  2100  │  5208000  │  196700   │  2100   │  5208000  │ 487816000 │ 1675761600000 │ '2023-02-07T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 0.4  │  2100  │  5208000  │  12796800  │     0      │  196700   │   487816000   │  487816000  │      0      │  0.4  │
│    4    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │ 12900  │ 31992000  │  209600   │  12900  │ 31992000  │ 519808000 │ 1675761720000 │ '2023-02-07T09:22:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 2.5  │ 12900  │ 31992000  │  12796800  │     0      │  209600   │   519808000   │  519808000  │      0      │  2.5  │
│    5    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  500   │  1240000  │  210100   │   500   │  1240000  │ 521048000 │ 1675761960000 │ '2023-02-07T09:26:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 0.1  │  500   │  1240000  │  12796800  │     0      │  210100   │   521048000   │  521048000  │      0      │  0.1  │
│    6    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  1400  │  3472000  │  211500   │  1400   │  3472000  │ 524520000 │ 1675762080000 │ '2023-02-07T09:28:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 0.3  │  1400  │  3472000  │  12796800  │     0      │  211500   │   524520000   │  524520000  │      0      │  0.3  │
│    7    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  400   │  992000   │  211900   │   400   │  992000   │ 525512000 │ 1675762200000 │ '2023-02-07T09:30:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 0.1  │  400   │  992000   │  12796800  │     0      │  211900   │   525512000   │  525512000  │      0      │  0.1  │
│    8    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  800   │  1984000  │  212700   │   800   │  1984000  │ 527496000 │ 1675762320000 │ '2023-02-07T09:32:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 0.2  │  800   │  1984000  │  12796800  │     0      │  212700   │   527496000   │  527496000  │      0      │  0.2  │
│    9    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  1600  │  3968000  │  214300   │  1600   │  3968000  │ 531464000 │ 1675762440000 │ '2023-02-07T09:34:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 0.3  │  1600  │  3968000  │  12796800  │     0      │  214300   │   531464000   │  531464000  │      0      │  0.3  │
│   10    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  400   │  992000   │  214700   │   400   │  992000   │ 532456000 │ 1675762560000 │ '2023-02-07T09:36:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 0.1  │  400   │  992000   │  12796800  │     0      │  214700   │   532456000   │  532456000  │      0      │  0.1  │
│   11    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  300   │  744000   │  215000   │   300   │  744000   │ 533200000 │ 1675762680000 │ '2023-02-07T09:38:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 0.1  │  300   │  744000   │  12796800  │     0      │  215000   │   533200000   │  533200000  │      0      │  0.1  │
│   12    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  100   │  248000   │  215100   │   100   │  248000   │ 533448000 │ 1675762800000 │ '2023-02-07T09:40:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │  0   │  100   │  248000   │  12796800  │     0      │  215100   │   533448000   │  533448000  │      0      │   0   │
│   13    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  1100  │  2728000  │  216200   │  1100   │  2728000  │ 536176000 │ 1675762920000 │ '2023-02-07T09:42:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 0.2  │  1100  │  2728000  │  12796800  │     0      │  216200   │   536176000   │  536176000  │      0      │  0.2  │
│   14    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  6000  │ 14880000  │  222200   │  6000   │ 14880000  │ 551056000 │ 1675763040000 │ '2023-02-07T09:44:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 1.2  │  6000  │ 14880000  │  12796800  │     0      │  222200   │   551056000   │  551056000  │      0      │  1.2  │
│   15    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  3200  │  7936000  │  225400   │  3200   │  7936000  │ 558992000 │ 1675763280000 │ '2023-02-07T09:48:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 0.6  │  3200  │  7936000  │  12796800  │     0      │  225400   │   558992000   │  558992000  │      0      │  0.6  │
│   16    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  200   │  496000   │  225600   │   200   │  496000   │ 559488000 │ 1675763520000 │ '2023-02-07T09:52:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │  0   │  200   │  496000   │  12796800  │     0      │  225600   │   559488000   │  559488000  │      0      │   0   │
│   17    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  100   │  248000   │  225700   │   100   │  248000   │ 559736000 │ 1675763640000 │ '2023-02-07T09:54:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │  0   │  100   │  248000   │  12796800  │     0      │  225700   │   559736000   │  559736000  │      0      │   0   │
│   18    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  2000  │  4960000  │  227700   │  2000   │  4960000  │ 564696000 │ 1675763880000 │ '2023-02-07T09:58:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 0.4  │  2000  │  4960000  │  12796800  │     0      │  227700   │   564696000   │  564696000  │      0      │  0.4  │
│   19    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  600   │  1488000  │  228300   │   600   │  1488000  │ 566184000 │ 1675764000000 │ '2023-02-07T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 0.1  │  600   │  1488000  │  12796800  │     0      │  228300   │   566184000   │  566184000  │      0      │  0.1  │
│   20    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  3600  │  8928000  │  231900   │  3600   │  8928000  │ 575112000 │ 1675764120000 │ '2023-02-07T10:02:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 0.7  │  3600  │  8928000  │  12796800  │     0      │  231900   │   575112000   │  575112000  │      0      │  0.7  │
├─────────┼──────┼──────┼──────┼──────┼────────┼───────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼────┼──────┼─────┼─────┼──────┼────────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│ (index) │  c   │  h   │  l   │  o   │   bu   │  val_bu   │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb │ abu  │ asd │ auk │ rbu  │ bu-sd  │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │
├─────────┼──────┼──────┼──────┼──────┼────────┼───────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼────┼──────┼─────┼─────┼──────┼────────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┤
│   21    │ 2.48 │ 2.48 │ 2.48 │ 2.48 │  2000  │  4960000  │  233900   │  2000   │  4960000  │ 580072000 │ 1675764360000 │ '2023-02-07T10:06:00.000Z' │ 100 │  0  │  0  │ Infinity │ 0  │ 5160 │  0  │  0  │ 0.4  │  2000  │  4960000  │  12796800  │     0      │  233900   │   580072000   │  580072000  │      0      │  0.4  │
