[2023-07-26T02:58:19.380] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB|Threshold                    |
[2023-07-26T02:58:19.382] [INFO] default - My Object      |1000000|3333333.333  |0.12     |298.92   |0.138    |1000000|3333333.333  |3333333.333  |3333333.333  |0.12        |298.92      |0.138       |100         |100         |100.000    |333333.333  |95.367  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:19.683] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB |Threshold                    |
[2023-07-26T02:58:19.683] [INFO] default - My Object      |2000000|3311258.278  |0.12     |298.92   |0.138    |1000000|3289473.684  |3289473.684  |3333333.333  |0.12        |245.18      |0.139       |100         |100         |100.000    |328947.368  |190.735  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:19.972] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB |Threshold                    |
[2023-07-26T02:58:19.972] [INFO] default - My Object      |3000000|3359462.486  |0.12     |298.92   |0.138    |1000000|3460207.612  |3289473.684  |3460207.612  |0.12        |80.64       |0.137       |100         |100         |100.000    |346020.761  |286.102  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:20.288] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB |Threshold                    |
[2023-07-26T02:58:20.288] [INFO] default - My Object      |4000000|3308519.438  |0.12     |298.92   |0.140    |1000000|3164556.962  |3164556.962  |3460207.612  |0.12        |220.64      |0.145       |100         |100         |100.000    |316455.696  |381.470  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:20.591] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB |Threshold                    |
[2023-07-26T02:58:20.591] [INFO] default - My Object      |5000000|3306878.307  |0.12     |298.92   |0.140    |1000000|3300330.033  |3164556.962  |3460207.612  |0.12        |205.59      |0.141       |100         |100         |100.000    |330033.003  |476.837  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:20.889] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB |Threshold                    |
[2023-07-26T02:58:20.889] [INFO] default - My Object      |6000000|3314917.127  |0.12     |298.92   |0.140    |1000000|3355704.698  |3164556.962  |3460207.612  |0.12        |202.51      |0.139       |100         |100         |100.000    |335570.470  |572.205  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:21.190] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB |Threshold                    |
[2023-07-26T02:58:21.190] [INFO] default - My Object      |7000000|3315963.998  |0.12     |298.92   |0.140    |1000000|3322259.136  |3164556.962  |3460207.612  |0.12        |145.47      |0.139       |100         |100         |100.000    |332225.914  |667.572  |200_300=0 0.100=0 100_200=0  |
[2023-07-26T02:58:21.488] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB |Threshold                    |
[2023-07-26T02:58:21.488] [INFO] default - My Object      |8000000|3320880.033  |0.12     |298.92   |0.140    |1000000|3355704.698  |3164556.962  |3460207.612  |0.12        |158.68      |0.139       |100         |100         |100.000    |335570.470  |762.939  |200_300=0 0.100=0 100_200=0  |
