┌─────────┬───────┬───────┬───────┬───────┬──────┬──────────┬───────────┬─────────┬───────────────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬──────┬─────┬───────┬───────────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬───────────────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  uk  │  val_uk  │ total_vol │ sum_vol │        val        │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk  │ ruk │ bu-sd │     bu-sd_val     │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │      val_bu       │ rbu │  sd  │  val_sd  │ rsd │
├─────────┼───────┼───────┼───────┼───────┼──────┼──────────┼───────────┼─────────┼───────────────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼──────┼─────┼───────┼───────────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼───────────────────┼─────┼──────┼──────────┼─────┤
│    0    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │ 1000 │ 10950000 │   1000    │  1000   │     10950000      │ 10950000  │ 1674119640000 │ '2023-01-19T09:14:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 816.7 │ 141.7 │ 83.3 │ 12  │   0   │         0         │  7575125   │ 1547083.3  │     0     │       0       │      0      │      0      │   0   │      │                   │     │      │          │     │
│    1    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │      │          │   2300    │  1300   │     14235000      │ 25185000  │ 1674119760000 │ '2023-01-19T09:16:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 816.7 │ 141.7 │ 83.3 │     │ 1300  │     14235000      │  7575125   │ 1547083.3  │   1300    │   14235000    │  14235000   │      0      │  2.4  │ 1300 │     14235000      │ 1.6 │      │          │     │
│    2    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │      │          │   3300    │  1000   │     10950000      │ 36135000  │ 1674120840000 │ '2023-01-19T09:34:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 816.7 │ 141.7 │ 83.3 │     │ 1000  │     10950000      │  7575125   │ 1547083.3  │   2300    │   25185000    │  25185000   │      0      │  1.8  │ 1000 │     10950000      │ 1.2 │      │          │     │
│    3    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │      │          │   4000    │   700   │ 7664999.999999999 │ 43800000  │ 1674121440000 │ '2023-01-19T09:44:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 816.7 │ 141.7 │ 83.3 │     │  700  │ 7664999.999999999 │  7575125   │ 1547083.3  │   3000    │   32850000    │  32850000   │      0      │  1.3  │ 700  │ 7664999.999999999 │ 0.9 │      │          │     │
│    4    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │      │          │   4300    │   300   │      3285000      │ 47085000  │ 1674121560000 │ '2023-01-19T09:46:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 816.7 │ 141.7 │ 83.3 │     │  300  │      3285000      │  7575125   │ 1547083.3  │   3300    │   36135000    │  36135000   │      0      │  0.5  │ 300  │      3285000      │ 0.4 │      │          │     │
│    5    │  11   │  11   │  11   │  11   │      │          │   4400    │   100   │       1100        │ 47086100  │ 1674126000000 │ '2023-01-19T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 816.7 │ 141.7 │ 83.3 │     │  100  │       1100        │  7575125   │ 1547083.3  │   3400    │   36136100    │  36136100   │      0      │   0   │ 100  │       1100        │ 0.1 │      │          │     │
│    6    │  11   │  11   │  11   │  11   │      │          │   5400    │  1000   │       11000       │ 47097100  │ 1674133200000 │ '2023-01-19T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 816.7 │ 141.7 │ 83.3 │     │ 1000  │       11000       │  7575125   │ 1547083.3  │   4400    │   36147100    │  36147100   │      0      │   0   │ 1000 │       11000       │ 1.2 │      │          │     │
│    7    │ 10.9  │ 10.9  │ 10.9  │ 10.9  │      │          │   5800    │   400   │      4360000      │ 51457100  │ 1674134520000 │ '2023-01-19T13:22:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 816.7 │ 141.7 │ 83.3 │     │ -400  │     -4360000      │  7575125   │ 1547083.3  │   4000    │   31787100    │  36147100   │   4360000   │  0.7  │      │                   │     │ 400  │ 4360000  │ 2.8 │
│    8    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │      │          │   10800   │  5000   │     54750000      │ 106207100 │ 1674134640000 │ '2023-01-19T13:24:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 816.7 │ 141.7 │ 83.3 │     │ 5000  │     54750000      │  7575125   │ 1547083.3  │   9000    │   86537100    │  90897100   │   4360000   │  9.1  │ 5000 │     54750000      │ 6.1 │      │          │     │
│    9    │ 10.95 │ 10.95 │ 10.95 │ 10.95 │      │          │   11800   │  1000   │     10950000      │ 117157100 │ 1674134880000 │ '2023-01-19T13:28:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 816.7 │ 141.7 │ 83.3 │     │ -1000 │     -10950000     │  7575125   │ 1547083.3  │   8000    │   75587100    │  90897100   │  15310000   │  1.8  │      │                   │     │ 1000 │ 10950000 │ 7.1 │
│   10    │ 10.85 │ 10.85 │ 10.85 │ 10.85 │      │          │   12100   │   300   │      3255000      │ 120412100 │ 1674137040000 │ '2023-01-19T14:04:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 816.7 │ 141.7 │ 83.3 │     │ -300  │     -3255000      │  7575125   │ 1547083.3  │   7700    │   72332100    │  90897100   │  18565000   │  0.5  │      │                   │     │ 300  │ 3255000  │ 2.1 │
│   11    │  11   │  11   │  11   │  11   │      │          │   12500   │   400   │       4400        │ 120416500 │ 1674139440000 │ '2023-01-19T14:44:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 816.7 │ 141.7 │ 83.3 │     │  400  │       4400        │  7575125   │ 1547083.3  │   8100    │   72336500    │  90901500   │  18565000   │   0   │ 400  │       4400        │ 0.5 │      │          │     │
└─────────┴───────┴───────┴───────┴───────┴──────┴──────────┴───────────┴─────────┴───────────────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴───────┴───────┴──────┴─────┴───────┴───────────────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴───────────────────┴─────┴──────┴──────────┴─────┘

