┌─────────┬───────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬───────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬────────┬─────┬─────┬────────┬────────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬───────┬───────────┬─────┬──────┬──────────┬──────┐
│ (index) │   c   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │    val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd   │ auk │ ruk │ bu-sd  │ bu-sd_val  │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd   │  val_sd   │ rsd │  bu  │  val_bu  │ rbu  │
├─────────┼───────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼───────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼────────┼─────┼─────┼────────┼────────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼───────┼───────────┼─────┼──────┼──────────┼──────┤
│    0    │ 12100 │ 12100 │ 12100 │ 12100 │ 300 │ 3630000 │    300    │   300   │  3630000  │  3630000  │ 1678180500000 │ '2023-03-07T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 258.3 │ 1308.3 │ 25  │ 12  │   0    │     0      │ 3107083.3  │ 15645833.3 │     0     │       0       │      0      │      0      │  -0   │       │           │     │      │          │      │
│    1    │ 12000 │ 12000 │ 12000 │ 12000 │     │         │   1000    │   700   │  8400000  │ 12030000  │ 1678181100000 │ '2023-03-07T09:25:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 258.3 │ 1308.3 │ 25  │     │  -700  │  -8400000  │ 3107083.3  │ 15645833.3 │   -700    │   -8400000    │      0      │   8400000   │  0.7  │  700  │  8400000  │ 0.5 │      │          │      │
│    2    │ 12000 │ 12000 │ 12000 │ 12000 │     │         │   1500    │   500   │  6000000  │ 18030000  │ 1678182600000 │ '2023-03-07T09:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 258.3 │ 1308.3 │ 25  │     │  -500  │  -6000000  │ 3107083.3  │ 15645833.3 │   -1200   │   -14400000   │      0      │  14400000   │  0.5  │  500  │  6000000  │ 0.4 │      │          │      │
│    3    │ 12000 │ 12000 │ 11950 │ 12000 │     │         │   11500   │  10000  │ 119750000 │ 137780000 │ 1678183500000 │ '2023-03-07T10:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 258.3 │ 1308.3 │ 25  │     │ -10000 │ -119750000 │ 3107083.3  │ 15645833.3 │  -11200   │  -134150000   │      0      │  134150000  │  9.6  │ 10000 │ 119750000 │ 7.6 │      │          │      │
│    4    │ 12050 │ 12050 │ 12050 │ 12050 │     │         │   11600   │   100   │  1205000  │ 138985000 │ 1678183800000 │ '2023-03-07T10:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 258.3 │ 1308.3 │ 25  │     │  100   │  1205000   │ 3107083.3  │ 15645833.3 │  -11100   │  -132945000   │   1205000   │  134150000  │ -0.1  │       │           │     │ 100  │ 1205000  │ 0.4  │
│    5    │ 12000 │ 12000 │ 12000 │ 12000 │     │         │   11900   │   300   │  3600000  │ 142585000 │ 1678186800000 │ '2023-03-07T11:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 258.3 │ 1308.3 │ 25  │     │  -300  │  -3600000  │ 3107083.3  │ 15645833.3 │  -11400   │  -136545000   │   1205000   │  137750000  │  0.3  │  300  │  3600000  │ 0.2 │      │          │      │
│    6    │ 11950 │ 11950 │ 11950 │ 11950 │     │         │   12900   │  1000   │ 11950000  │ 154535000 │ 1678188000000 │ '2023-03-07T11:20:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 258.3 │ 1308.3 │ 25  │     │ -1000  │ -11950000  │ 3107083.3  │ 15645833.3 │  -12400   │  -148495000   │   1205000   │  149700000  │   1   │ 1000  │ 11950000  │ 0.8 │      │          │      │
│    7    │ 11900 │ 11900 │ 11900 │ 11900 │     │         │   13000   │   100   │  1190000  │ 155725000 │ 1678194000000 │ '2023-03-07T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 258.3 │ 1308.3 │ 25  │     │  -100  │  -1190000  │ 3107083.3  │ 15645833.3 │  -12500   │  -149685000   │   1205000   │  150890000  │  0.1  │  100  │  1190000  │ 0.1 │      │          │      │
│    8    │ 11900 │ 11900 │ 11900 │ 11900 │     │         │   13100   │   100   │  1190000  │ 156915000 │ 1678195800000 │ '2023-03-07T13:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 258.3 │ 1308.3 │ 25  │     │  -100  │  -1190000  │ 3107083.3  │ 15645833.3 │  -12600   │  -150875000   │   1205000   │  152080000  │  0.1  │  100  │  1190000  │ 0.1 │      │          │      │
│    9    │ 11800 │ 11900 │ 11800 │ 11900 │     │         │   15900   │  2800   │ 33290000  │ 190205000 │ 1678196100000 │ '2023-03-07T13:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 258.3 │ 1308.3 │ 25  │     │ -2800  │ -33290000  │ 3107083.3  │ 15645833.3 │  -15400   │  -184165000   │   1205000   │  185370000  │  2.7  │ 2800  │ 33290000  │ 2.1 │      │          │      │
│   10    │ 12050 │ 12050 │ 11950 │ 11950 │     │         │   18900   │  3000   │ 36080000  │ 226285000 │ 1678197600000 │ '2023-03-07T14:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 258.3 │ 1308.3 │ 25  │     │  3000  │  36080000  │ 3107083.3  │ 15645833.3 │  -12400   │  -148085000   │  37285000   │  185370000  │ -2.9  │       │           │     │ 3000 │ 36080000 │ 11.6 │
