┌─────────┬───────┬───────┬───────┬───────┬──────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬───────┬───────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬────────┬──────┬──────────┬─────┐
│ (index) │   c   │   h   │   l   │   o   │  sd  │  val_sd  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │  abu  │  asd  │ auk │ rsd │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd  │  bu  │  val_bu  │ rbu │
├─────────┼───────┼───────┼───────┼───────┼──────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼───────┼───────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼────────┼──────┼──────────┼─────┤
│    0    │ 18800 │ 18800 │ 18800 │ 18800 │ 5000 │ 94000000 │   5000    │  5000   │ 94000000 │ 94000000  │ 1678180500000 │ '2023-03-07T09:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 583.3 │ 591.7 │  0  │ 8.5 │ -5000 │ -94000000 │  10911250  │ 11088333.3 │   -5000   │   -94000000   │      0      │  94000000   │ 530.8  │      │          │     │
│    1    │ 18800 │ 18800 │ 18800 │ 18800 │      │          │   5700    │   700   │ 13160000 │ 107160000 │ 1678182900000 │ '2023-03-07T09:55:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 591.7 │  0  │     │  700  │ 13160000  │  10911250  │ 11088333.3 │   -4300   │   -80840000   │  13160000   │  94000000   │ -74.3  │ 700  │ 13160000 │ 1.2 │
│    2    │ 18700 │ 18700 │ 18700 │ 18700 │      │          │   5900    │   200   │ 3740000  │ 110900000 │ 1678194000000 │ '2023-03-07T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 591.7 │  0  │     │  200  │  3740000  │  10911250  │ 11088333.3 │   -4100   │   -77100000   │  16900000   │  94000000   │ -21.1  │ 200  │ 3740000  │ 0.3 │
│    3    │ 18700 │ 18700 │ 18700 │ 18700 │      │          │   6000    │   100   │ 1870000  │ 112770000 │ 1678194900000 │ '2023-03-07T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 591.7 │  0  │     │  100  │  1870000  │  10911250  │ 11088333.3 │   -4000   │   -75230000   │  18770000   │  94000000   │ -10.6  │ 100  │ 1870000  │ 0.2 │
│    4    │ 18700 │ 18700 │ 18700 │ 18700 │      │          │   7000    │  1000   │ 18700000 │ 131470000 │ 1678195500000 │ '2023-03-07T13:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 591.7 │  0  │     │ 1000  │ 18700000  │  10911250  │ 11088333.3 │   -3000   │   -56530000   │  37470000   │  94000000   │ -105.6 │ 1000 │ 18700000 │ 1.7 │
│    5    │ 18700 │ 18700 │ 18700 │ 18700 │      │          │   7700    │   700   │ 13090000 │ 144560000 │ 1678195800000 │ '2023-03-07T13:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 591.7 │  0  │     │  700  │ 13090000  │  10911250  │ 11088333.3 │   -2300   │   -43440000   │  50560000   │  94000000   │ -73.9  │ 700  │ 13090000 │ 1.2 │
│    6    │ 18600 │ 18600 │ 18600 │ 18600 │ 2100 │ 39060000 │   9800    │  2100   │ 39060000 │ 183620000 │ 1678196700000 │ '2023-03-07T13:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 583.3 │ 591.7 │  0  │ 3.5 │ -2100 │ -39060000 │  10911250  │ 11088333.3 │   -4400   │   -82500000   │  50560000   │  133060000  │ 220.6  │      │          │     │
│    7    │ 18700 │ 18700 │ 18700 │ 18700 │      │          │   11500   │  1700   │ 31790000 │ 215410000 │ 1678197600000 │ '2023-03-07T14:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 591.7 │  0  │     │ 1700  │ 31790000  │  10911250  │ 11088333.3 │   -2700   │   -50710000   │  82350000   │  133060000  │ -179.5 │ 1700 │ 31790000 │ 2.9 │
│    8    │ 18700 │ 18700 │ 18650 │ 18650 │      │          │   13500   │  2000   │ 37345000 │ 252755000 │ 1678198800000 │ '2023-03-07T14:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 591.7 │  0  │     │ 2000  │ 37345000  │  10911250  │ 11088333.3 │   -700    │   -13365000   │  119695000  │  133060000  │ -210.9 │ 2000 │ 37345000 │ 3.4 │
│    9    │ 18700 │ 18700 │ 18700 │ 18700 │      │          │   13900   │   400   │ 7480000  │ 260235000 │ 1678199100000 │ '2023-03-07T14:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 591.7 │  0  │     │  400  │  7480000  │  10911250  │ 11088333.3 │   -300    │   -5885000    │  127175000  │  133060000  │ -42.2  │ 400  │ 7480000  │ 0.7 │
│   10    │ 18800 │ 18800 │ 18800 │ 18800 │      │          │   14000   │   100   │ 1880000  │ 262115000 │ 1678199400000 │ '2023-03-07T14:30:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 583.3 │ 591.7 │  0  │     │  100  │  1880000  │  10911250  │ 11088333.3 │   -200    │   -4005000    │  129055000  │  133060000  │ -10.6  │ 100  │ 1880000  │ 0.2 │
