┌─────────┬──────┬──────┬──────┬──────┬─────┬────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬──────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │ uk  │ val_uk │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd  │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼──────┼──────┼──────┼──────┼─────┼────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼──────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 9620 │ 9620 │ 9620 │ 9620 │ 100 │ 962000 │    100    │   100   │  962000  │  962000   │ 1678180500000 │ '2023-03-07T09:15:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 430 │ 1170 │ 10  │ 10  │   0   │     0     │  4211600   │  11289600  │     0     │       0       │      0      │      0      │  -0   │      │          │     │      │          │     │
│    1    │ 9630 │ 9630 │ 9630 │ 9630 │     │        │    300    │   200   │ 1926000  │  2888000  │ 1678184100000 │ '2023-03-07T10:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 430 │ 1170 │ 10  │     │ -200  │ -1926000  │  4211600   │  11289600  │   -200    │   -1926000    │      0      │   1926000   │  0.3  │ 200  │ 1926000  │ 0.2 │      │          │     │
│    2    │ 9630 │ 9630 │ 9630 │ 9630 │     │        │   1200    │   900   │ 8667000  │ 11555000  │ 1678185000000 │ '2023-03-07T10:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 430 │ 1170 │ 10  │     │ -900  │ -8667000  │  4211600   │  11289600  │   -1100   │   -10593000   │      0      │  10593000   │  1.2  │ 900  │ 8667000  │ 0.8 │      │          │     │
│    3    │ 9630 │ 9630 │ 9630 │ 9630 │     │        │   2200    │  1000   │ 9630000  │ 21185000  │ 1678186200000 │ '2023-03-07T10:50:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 430 │ 1170 │ 10  │     │ 1000  │  9630000  │  4211600   │  11289600  │   -100    │    -963000    │   9630000   │  10593000   │ -1.4  │      │          │     │ 1000 │ 9630000  │ 2.3 │
│    4    │ 9630 │ 9630 │ 9630 │ 9630 │     │        │   2900    │   700   │ 6741000  │ 27926000  │ 1678186800000 │ '2023-03-07T11:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 430 │ 1170 │ 10  │     │  700  │  6741000  │  4211600   │  11289600  │    600    │    5778000    │  16371000   │  10593000   │  -1   │      │          │     │ 700  │ 6741000  │ 1.6 │
│    5    │ 9650 │ 9650 │ 9650 │ 9650 │     │        │   12200   │  9300   │ 89745000 │ 117671000 │ 1678187100000 │ '2023-03-07T11:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 430 │ 1170 │ 10  │     │ -9300 │ -89745000 │  4211600   │  11289600  │   -8700   │   -83967000   │  16371000   │  100338000  │ 12.7  │ 9300 │ 89745000 │ 7.9 │      │          │     │
│    6    │ 9890 │ 9890 │ 9880 │ 9880 │     │        │   13800   │  1600   │ 15823000 │ 133494000 │ 1678194300000 │ '2023-03-07T13:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 430 │ 1170 │ 10  │     │ 1600  │ 15823000  │  4211600   │  11289600  │   -7100   │   -68144000   │  32194000   │  100338000  │ -2.2  │      │          │     │ 1600 │ 15823000 │ 3.7 │
│    7    │ 9950 │ 9950 │ 9890 │ 9890 │     │        │   14600   │   800   │ 7926000  │ 141420000 │ 1678194600000 │ '2023-03-07T13:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 430 │ 1170 │ 10  │     │  800  │  7926000  │  4211600   │  11289600  │   -6300   │   -60218000   │  40120000   │  100338000  │ -1.1  │      │          │     │ 800  │ 7926000  │ 1.9 │
│    8    │ 9980 │ 9980 │ 9980 │ 9980 │     │        │   14800   │   200   │ 1996000  │ 143416000 │ 1678194900000 │ '2023-03-07T13:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 430 │ 1170 │ 10  │     │  200  │  1996000  │  4211600   │  11289600  │   -6100   │   -58222000   │  42116000   │  100338000  │ -0.3  │      │          │     │ 200  │ 1996000  │ 0.5 │
│    9    │ 9660 │ 9660 │ 9660 │ 9660 │     │        │   16100   │  1300   │ 12558000 │ 155974000 │ 1678200300000 │ '2023-03-07T14:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 430 │ 1170 │ 10  │     │ -1300 │ -12558000 │  4211600   │  11289600  │   -7400   │   -70780000   │  42116000   │  112896000  │  1.8  │ 1300 │ 12558000 │ 1.1 │      │          │     │
└─────────┴──────┴──────┴──────┴──────┴─────┴────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴──────┴─────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴──────────┴─────┘

