┌─────────┬──────┬──────┬──────┬──────┬───────┬──────────┬───────────┬─────────┬──────────┬───────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │  c   │  h   │  l   │  o   │  uk   │  val_uk  │ total_vol │ sum_vol │   val    │ acum_val  │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │  val_bu  │ rbu │  sd  │  val_sd  │ rsd │
├─────────┼──────┼──────┼──────┼──────┼───────┼──────────┼───────────┼─────────┼──────────┼───────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 4800 │ 4800 │ 4800 │ 4800 │ 10200 │ 48960000 │   10200   │  10200  │ 48960000 │ 48960000  │ 1678179900000 │ '2023-03-07T09:05:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 890 │ 450 │ 1020 │ 10  │   0   │     0     │  4272000   │  2160000   │     0     │       0       │      0      │      0      │   0   │      │          │     │      │          │     │
│    1    │ 4800 │ 4800 │ 4800 │ 4800 │       │          │   10400   │   200   │  960000  │ 49920000  │ 1678182300000 │ '2023-03-07T09:45:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 890 │ 450 │ 1020 │     │  200  │  960000   │  4272000   │  2160000   │    200    │    960000     │   960000    │      0      │  0.5  │ 200  │  960000  │ 0.2 │      │          │     │
│    2    │ 4800 │ 4800 │ 4800 │ 4800 │       │          │   11400   │  1000   │ 4800000  │ 54720000  │ 1678183200000 │ '2023-03-07T10:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 890 │ 450 │ 1020 │     │ 1000  │  4800000  │  4272000   │  2160000   │   1200    │    5760000    │   5760000   │      0      │  2.3  │ 1000 │ 4800000  │ 1.1 │      │          │     │
│    3    │ 4800 │ 4800 │ 4800 │ 4800 │       │          │   11900   │   500   │ 2400000  │ 57120000  │ 1678183800000 │ '2023-03-07T10:10:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 890 │ 450 │ 1020 │     │  500  │  2400000  │  4272000   │  2160000   │   1700    │    8160000    │   8160000   │      0      │  1.1  │ 500  │ 2400000  │ 0.6 │      │          │     │
│    4    │ 4800 │ 4800 │ 4800 │ 4800 │       │          │   12800   │   900   │ 4320000  │ 61440000  │ 1678187100000 │ '2023-03-07T11:05:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 890 │ 450 │ 1020 │     │  900  │  4320000  │  4272000   │  2160000   │   2600    │   12480000    │  12480000   │      0      │   2   │ 900  │ 4320000  │  1  │      │          │     │
│    5    │ 4800 │ 4800 │ 4800 │ 4800 │       │          │   14800   │  2000   │ 9600000  │ 71040000  │ 1678187700000 │ '2023-03-07T11:15:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 890 │ 450 │ 1020 │     │ 2000  │  9600000  │  4272000   │  2160000   │   4600    │   22080000    │  22080000   │      0      │  4.5  │ 2000 │ 9600000  │ 2.2 │      │          │     │
│    6    │ 4800 │ 4800 │ 4800 │ 4800 │       │          │   19100   │  4300   │ 20640000 │ 91680000  │ 1678197600000 │ '2023-03-07T14:00:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 890 │ 450 │ 1020 │     │ 4300  │ 20640000  │  4272000   │  2160000   │   8900    │   42720000    │  42720000   │      0      │  9.8  │ 4300 │ 20640000 │ 4.8 │      │          │     │
│    7    │ 4800 │ 4800 │ 4800 │ 4800 │       │          │   22400   │  3300   │ 15840000 │ 107520000 │ 1678198500000 │ '2023-03-07T14:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 890 │ 450 │ 1020 │     │ -3300 │ -15840000 │  4272000   │  2160000   │   5600    │   26880000    │  42720000   │  15840000   │ -7.5  │      │          │     │ 3300 │ 15840000 │ 7.3 │
│    8    │ 4800 │ 4800 │ 4800 │ 4800 │       │          │   23200   │   800   │ 3840000  │ 111360000 │ 1678200000000 │ '2023-03-07T14:40:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 890 │ 450 │ 1020 │     │ -800  │ -3840000  │  4272000   │  2160000   │   4800    │   23040000    │  42720000   │  19680000   │ -1.8  │      │          │     │ 800  │ 3840000  │ 1.8 │
│    9    │ 4800 │ 4800 │ 4800 │ 4800 │       │          │   23600   │   400   │ 1920000  │ 113280000 │ 1678200600000 │ '2023-03-07T14:50:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 890 │ 450 │ 1020 │     │ -400  │ -1920000  │  4272000   │  2160000   │   4400    │   21120000    │  42720000   │  21600000   │ -0.9  │      │          │     │ 400  │ 1920000  │ 0.9 │
└─────────┴──────┴──────┴──────┴──────┴───────┴──────────┴───────────┴─────────┴──────────┴───────────┴───────────────┴────────────────────────────┴─────┴─────┴─────┴──────────┴──────────┴─────┴─────┴──────┴─────┴───────┴───────────┴────────────┴────────────┴───────────┴───────────────┴─────────────┴─────────────┴───────┴──────┴──────────┴─────┴──────┴──────────┴─────┘

