┌─────────┬─────┬─────┬─────┬─────┬─────┬─────────┬───────────┬─────────┬─────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬─────┬───────┬─────┬──────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬─────────┬─────┐
│ (index) │  c  │  h  │  l  │  o  │ uk  │ val_uk  │ total_vol │ sum_vol │   val   │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │ sb  │  abu  │ asd │ auk  │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  bu  │ val_bu  │ rbu │
├─────────┼─────┼─────┼─────┼─────┼─────┼─────────┼───────────┼─────────┼─────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼─────┼───────┼─────┼──────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼─────────┼─────┤
│    0    │ 7.7 │ 7.7 │ 7.7 │ 7.7 │ 300 │ 2310000 │    300    │   300   │ 2310000 │ 2310000  │ 1673946360000 │ '2023-01-17T09:06:00.000Z' │  0  │  0  │ 100 │   NaN    │ NaN │ 530.8 │  0  │ 92.3 │ 3.3 │   0   │     0     │ 4071538.5  │     0      │     0     │       0       │      0      │      0      │   0   │      │         │     │
│    1    │ 7.7 │ 7.7 │ 7.7 │ 7.7 │     │         │   1000    │   700   │ 5390000 │ 7700000  │ 1673948520000 │ '2023-01-17T09:42:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 530.8 │  0  │ 92.3 │     │  700  │  5390000  │ 4071538.5  │     0      │    700    │    5390000    │   5390000   │      0      │  1.3  │ 700  │ 5390000 │ 1.3 │
│    2    │ 7.7 │ 7.7 │ 7.7 │ 7.7 │     │         │   2000    │  1000   │ 7700000 │ 15400000 │ 1673950320000 │ '2023-01-17T10:12:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 530.8 │  0  │ 92.3 │     │ 1000  │  7700000  │ 4071538.5  │     0      │   1700    │   13090000    │  13090000   │      0      │  1.9  │ 1000 │ 7700000 │ 1.9 │
│    3    │ 7.6 │ 7.6 │ 7.6 │ 7.6 │     │         │   2200    │   200   │ 1520000 │ 16920000 │ 1673960400000 │ '2023-01-17T13:00:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 530.8 │  0  │ 92.3 │     │  200  │  1520000  │ 4071538.5  │     0      │   1900    │   14610000    │  14610000   │      0      │  0.4  │ 200  │ 1520000 │ 0.4 │
│    4    │ 7.6 │ 7.6 │ 7.6 │ 7.6 │     │         │   2800    │   600   │ 4560000 │ 21480000 │ 1673961240000 │ '2023-01-17T13:14:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 530.8 │  0  │ 92.3 │     │  600  │  4560000  │ 4071538.5  │     0      │   2500    │   19170000    │  19170000   │      0      │  1.1  │ 600  │ 4560000 │ 1.1 │
│    5    │ 7.6 │ 7.6 │ 7.6 │ 7.6 │     │         │   3400    │   600   │ 4560000 │ 26040000 │ 1673961480000 │ '2023-01-17T13:18:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 530.8 │  0  │ 92.3 │     │  600  │  4560000  │ 4071538.5  │     0      │   3100    │   23730000    │  23730000   │      0      │  1.1  │ 600  │ 4560000 │ 1.1 │
│    6    │ 7.6 │ 7.6 │ 7.6 │ 7.6 │     │         │   3500    │   100   │ 760000  │ 26800000 │ 1673961600000 │ '2023-01-17T13:20:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 530.8 │  0  │ 92.3 │     │  100  │  760000   │ 4071538.5  │     0      │   3200    │   24490000    │  24490000   │      0      │  0.2  │ 100  │ 760000  │ 0.2 │
│    7    │ 7.6 │ 7.6 │ 7.6 │ 7.6 │     │         │   4000    │   500   │ 3800000 │ 30600000 │ 1673961960000 │ '2023-01-17T13:26:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 530.8 │  0  │ 92.3 │     │  500  │  3800000  │ 4071538.5  │     0      │   3700    │   28290000    │  28290000   │      0      │  0.9  │ 500  │ 3800000 │ 0.9 │
│    8    │ 7.7 │ 7.7 │ 7.7 │ 7.7 │     │         │   5000    │  1000   │ 7700000 │ 38300000 │ 1673965080000 │ '2023-01-17T14:18:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 530.8 │  0  │ 92.3 │     │ 1000  │  7700000  │ 4071538.5  │     0      │   4700    │   35990000    │  35990000   │      0      │  1.9  │ 1000 │ 7700000 │ 1.9 │
│    9    │ 7.7 │ 7.7 │ 7.7 │ 7.7 │     │         │   6000    │  1000   │ 7700000 │ 46000000 │ 1673965440000 │ '2023-01-17T14:24:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 530.8 │  0  │ 92.3 │     │ 1000  │  7700000  │ 4071538.5  │     0      │   5700    │   43690000    │  43690000   │      0      │  1.9  │ 1000 │ 7700000 │ 1.9 │
│   10    │ 7.7 │ 7.7 │ 7.7 │ 7.7 │     │         │   6200    │   200   │ 1540000 │ 47540000 │ 1673965560000 │ '2023-01-17T14:26:00.000Z' │ 100 │  0  │  0  │ Infinity │  0  │ 530.8 │  0  │ 92.3 │     │  200  │  1540000  │ 4071538.5  │     0      │   5900    │   45230000    │  45230000   │      0      │  0.4  │ 200  │ 1540000 │ 0.4 │
