"acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","accum_bu","accum_sd","avg_val_bu","avg_val_sd","avg_val","avg_vol","avg_bu","avg_sd","avg_busd","avg_busd_val","rbusd","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
-3012600,-55237857600,43347427400,98585285000,202043927600,3855100,6867700,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,15.2,3855100,-3012600,-55237857600,"2022-12-16T09:14:00.000Z",1671182040000,6867700,15806600,15806600,5083800,202043927600,43347427400,98585285000,60111215200
-2966000,-49547405000,108558377500,158105782500,328112815000,8197700,11163700,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,1.6,4342600,46600,5690452600,"2022-12-16T09:16:00.000Z",1671182160000,4296000,8736400,24543000,97800,126068887400,65210950100,59520497500,1337439800
-416000,-17460150900,183394001600,200854152500,446335146100,13497700,13913700,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,8.8,5300000,2550000,32087254100,"2022-12-16T09:18:00.000Z",1671182280000,2750000,8089100,32632100,39100,118222331100,74835624100,42748370000,638337000
949300,43234400,251652205600,251608971200,566429928800,18011800,17062500,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,4.8,4514100,1365300,17503385300,"2022-12-16T09:20:00.000Z",1671182400000,3148800,7714600,40346700,51700,120094782700,68258204000,50754818700,1081760000
986600,-2134596400,304970883200,307105479600,675480721600,21329700,20343100,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,0.6,3317900,37300,-2177830800,"2022-12-16T09:22:00.000Z",1671182520000,3280600,6614200,46960900,15700,109050792800,53318677600,55496508400,235606800
-160800,-17586852100,340407791700,357994643800,762378998300,23778600,23939400,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,4.2,2448900,-1147400,-15452255700,"2022-12-16T09:24:00.000Z",1671182640000,3596300,6090700,53051600,45500,86898276700,35436908500,50889164200,572204000
-667100,-23744582800,379120092500,402864675300,846035662600,26133300,26800400,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,1.7,2354700,-506300,-6157730700,"2022-12-16T09:26:00.000Z",1671182760000,2861000,5221500,58273100,5800,83656664300,38712300800,44870031500,74332000
89600,-20418361800,425276013200,445694375000,935197841000,29299700,29210100,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,0.9,3166400,756700,3326221000,"2022-12-16T09:28:00.000Z",1671182880000,2409700,5584200,63857300,8100,89162178400,46155920700,42829699700,176558000
2972400,2292122700,478520644600,476228521900,1019088524300,33968400,30996000,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,6.2,4668700,2882800,22710484500,"2022-12-16T09:30:00.000Z",1671183000000,1785900,6462200,70319500,7600,83890683300,53244631400,30534146900,111905000
12450300,137316260700,650065252600,512748991900,1228313711100,45649100,33198800,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,37.1,11680700,9477900,135024138000,"2022-12-16T09:32:00.000Z",1671183120000,2202800,13963300,84282800,79800,209225186800,171544608000,36520470000,1160108800
21327000,260180030400,812920344200,552740313800,1433399991400,56964700,35637700,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,33.7,11315600,8876700,122863769700,"2022-12-16T09:34:00.000Z",1671183240000,2438900,13901500,98184300,147000,205086280300,162855091600,39991321900,2239866800
27210700,324640669900,945035571500,620394901600,1634199483500,66840000,39629300,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,17.7,9875300,5883700,64460639500,"2022-12-16T09:36:00.000Z",1671183360000,3991600,13939400,112123700,72500,200799492100,132115227300,67654587800,1029677000
26892300,317156560900,1010179118300,693022557400,1772275086100,71527600,44635300,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,2.1,4687600,-318400,-7484109000,"2022-12-16T09:38:00.000Z",1671183480000,5006000,9706400,121830100,12800,138075602600,65143546800,72627655800,304400000
25308200,294307292600,1045900027000,751592734400,1866632551700,74038400,48730200,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,6.3,2510800,-1584100,-22849268300,"2022-12-16T09:40:00.000Z",1671183600000,4094900,6618000,128448100,12300,94357465600,35720908700,58570177000,66379900
24642000,289836341500,1085359445900,795523104400,1950333479200,77273000,52631000,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,1.2,3234600,-666200,-4470951100,"2022-12-16T09:42:00.000Z",1671183720000,3900800,7184400,135632500,49000,83700927500,39459418900,43930370000,311138600
26917800,332938417300,1164446294400,831507877100,2065419778800,82140400,55222600,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,11.8,4867400,2275800,43102075800,"2022-12-16T09:44:00.000Z",1671183840000,2591600,7463100,143095600,4100,115086299600,79086848500,35984772700,14678400
32636100,421558088800,1287956519000,866398430200,2223967732500,90051800,57415700,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,24.3,7911400,5718300,88619671500,"2022-12-16T09:46:00.000Z",1671183960000,2193100,10117000,153212600,12500,158547953700,123510224600,34890553100,147176000
40867000,538387649500,1430981082200,892593432700,2393330749200,99795300,58928300,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,32.1,9743500,8230900,116829560700,"2022-12-16T09:48:00.000Z",1671184080000,1512600,11259500,164472100,3400,169363016700,143024563200,26195002500,143451000
43759600,585347404300,1510061714400,924714310100,2504623352800,104702900,60943300,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,12.9,4907600,2892600,46959754800,"2022-12-16T09:50:00.000Z",1671184200000,2015000,6926700,171398800,4100,111292603600,79080632200,32120877400,91094000
46602000,630997368300,1587081560600,956084192300,2613548656200,109369600,62767600,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,12.5,4666700,2842400,45649964000,"2022-12-16T09:52:00.000Z",1671184320000,1824300,6537300,177936100,46300,108925303400,77019846200,31369882200,535575000
47415400,648054740700,1657331334800,1009276594100,2737197536100,113547800,66132400,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,4.7,4178200,813400,17057372400,"2022-12-16T09:54:00.000Z",1671184440000,3364800,7561200,185497300,18200,123648879900,70249774200,53192401800,206703900
47791800,664008614400,1717383351100,1053374736700,2841551712000,117065800,69274000,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,4.4,3518000,376400,15953873700,"2022-12-16T09:56:00.000Z",1671184560000,3141600,6666800,192164100,7200,104354175900,60052016300,44098142600,204017000
48217600,664038187600,1759608605700,1095570418100,2926233711000,119949000,71731400,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,0,2883200,425800,29573200,"2022-12-16T09:58:00.000Z",1671184680000,2457400,5350800,197514900,10200,84681999000,42225254600,42195681400,261063000
47544700,650496780400,1791270660300,1140773879900,3003374772800,122204400,74659700,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,3.7,2255400,-672900,-13541407200,"2022-12-16T10:00:00.000Z",1671184800000,2928300,5195000,202709900,11300,77141061800,31662054600,45203461800,275545400
46367800,634524695100,1816911059800,1182386364700,3070814538900,123996300,77628500,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,4.4,1791900,-1176900,-15972085300,"2022-12-16T10:02:00.000Z",1671184920000,2968800,4767300,207477200,6600,67439766100,25640399500,41612484800,186881800
45649400,624788320500,1846286222800,1221497902300,3139472335500,125912500,80263100,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,2.7,1916200,-718400,-9736374600,"2022-12-16T10:04:00.000Z",1671185040000,2634600,4564000,212041200,13200,68657796600,29375163000,39111537600,171096000
45464700,616262921000,1876019852400,1259756931400,3207832665200,128198000,82733300,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,2.3,2285500,-184700,-8525399500,"2022-12-16T10:06:00.000Z",1671185160000,2470200,4785100,216826300,29400,68360329700,29733629600,38259029100,367671000
45999600,616319840000,1912939260500,1296619420500,3281768765400,130891000,84891400,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,0,2693000,534900,56919000,"2022-12-16T10:08:00.000Z",1671185280000,2158100,4860400,221686700,9300,73936100200,36919408100,36862489100,154203000
47515300,629396883800,1958540682500,1329143798700,3359930802600,134396700,86881400,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,3.6,3505700,1515700,13077043800,"2022-12-16T10:10:00.000Z",1671185400000,1990000,5497900,227184600,2200,78162037200,45601422000,32524378200,36237000
50699300,668326183500,2022272162600,1353945979100,3448714035500,139097200,88397900,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,10.7,4700500,3184000,38929299700,"2022-12-16T10:12:00.000Z",1671185520000,1516500,6233300,233417900,16300,88783232900,63731480100,24802180400,249572400
54164700,706635149000,2093626606400,1386991457400,3553377901600,144561800,90397100,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,10.5,5464600,3465400,38308965500,"2022-12-16T10:14:00.000Z",1671185640000,1999200,7486200,240904100,22400,104663866100,71354443800,33045478300,263944000
57600900,759132455800,2182294090900,1423161635100,3678271324800,150027900,92427000,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,14.4,5466100,3436200,52497306800,"2022-12-16T10:16:00.000Z",1671185760000,2029900,7502000,248406100,6000,124893423200,88667484500,36170177700,55761000
63164600,818776336500,2273586024900,1454809688400,3802516147100,157702100,94537500,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,16.4,7674200,5563700,59643880700,"2022-12-16T10:18:00.000Z",1671185880000,2110500,9841200,258247300,56500,124244822300,91291934000,31648053300,1304835000
68590400,895460130700,2385931805100,1490471674400,3950601410300,165496700,96906300,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,21,7794600,5425800,76683794200,"2022-12-16T10:20:00.000Z",1671186000000,2368800,10173000,268420300,9600,148085263200,112345780200,35661986000,77497000
73774200,975274574100,2505190688800,1529916114700,4110196481300,173378800,99604600,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,21.9,7882100,5183800,79814443400,"2022-12-16T10:22:00.000Z",1671186120000,2698300,10619500,279039800,39100,159595071000,119258883700,39444440300,891747000
75651200,1004338271200,2580141091700,1575802820500,4232007799000,178240200,102589000,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,8,4861400,1877000,29063697100,"2022-12-16T10:24:00.000Z",1671186240000,2984400,7907800,286947600,62000,121811317700,74950402900,45886705800,974209000
75642900,1016327793100,2633667676800,1617339883700,4327116978300,181407600,105764700,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,3.3,3167400,-8300,11989521900,"2022-12-16T10:26:00.000Z",1671186360000,3175700,6347600,293295200,4500,95109179300,53526585100,41537063200,45531000
75761800,1023551940200,2682313219900,1658761279700,4417391371900,184513700,108751900,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,2,3106100,118900,7224147100,"2022-12-16T10:28:00.000Z",1671186480000,2987200,6110900,299406100,17600,90274393600,48645543100,41421396000,207454500
73950300,989641989500,2711409245500,1721767256000,4509630513800,186406600,112456300,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,9.3,1892900,-1811500,-33909950700,"2022-12-16T10:30:00.000Z",1671186600000,3704400,5605500,305011600,8200,92239141900,29096025600,63005976300,137140000
71283000,951368725800,2735910992700,1784542266900,4597255363000,188120800,116837800,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,10.5,1714200,-2667300,-38273263700,"2022-12-16T10:32:00.000Z",1671186720000,4381500,6111500,311123100,15800,87624849200,24501747200,62775010900,348091100
69826300,931404941900,2762097981700,1830693039800,4670187244900,189633600,119807300,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,5.5,1512800,-1456700,-19963783900,"2022-12-16T10:34:00.000Z",1671186840000,2969500,4513500,315636600,31200,72931881900,26186989000,46150772900,594120000
67792900,900611739800,2793125043000,1892513303200,4763499072600,191451700,123658800,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,8.5,1818100,-2033400,-30793202100,"2022-12-16T10:36:00.000Z",1671186960000,3851500,5693900,321330500,24300,93311827700,31027061300,61820263400,464503000
66768500,885441751200,2815760912000,1930319160800,4824321255200,192702600,125934100,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,4.2,1250900,-1024400,-15169988600,"2022-12-16T10:38:00.000Z",1671187080000,2275300,3545000,324875500,18800,60822182600,22635869000,37805857600,380456000
65597700,866810105500,2836079640600,1969269535100,4883654565100,193908900,128311200,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,5.1,1206300,-1170800,-18631645700,"2022-12-16T10:40:00.000Z",1671187200000,2377100,3590000,328465500,6600,59333309900,20318728600,38950374300,64207000
64768900,859822036500,2858965407000,1999143370500,4936652169900,195097400,130328500,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,1.9,1188500,-828800,-6988069000,"2022-12-16T10:42:00.000Z",1671187320000,2017300,3217800,331683300,12000,52997604800,22885766400,29873835400,238003000
62994100,835865935300,2873077218100,2037211282800,4988983923300,195932800,132938700,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,6.6,835400,-1774800,-23956101200,"2022-12-16T10:44:00.000Z",1671187440000,2610200,3456100,335139400,10500,52331753400,14111811100,38067912300,152030000
62075800,818425292200,2892648840000,2074223547800,5045588449200,197138800,135063000,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,4.8,1206000,-918300,-17440643100,"2022-12-16T10:46:00.000Z",1671187560000,2124300,3333400,338472800,3100,56604525900,19571621900,37012265000,20639000
60600900,797975766300,2915953773100,2117978006800,5113117944300,198441100,137840200,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,5.6,1302300,-1474900,-20449525900,"2022-12-16T10:48:00.000Z",1671187680000,2777200,4110700,342583500,31200,67529495100,23304933100,43754459000,470103000
59127400,770764519200,2932238898000,2161474378800,5173039106200,199469400,140342000,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,7.5,1028300,-1473500,-27211247100,"2022-12-16T10:50:00.000Z",1671187800000,2501800,3542500,346126000,12400,59921161900,16285124900,43496372000,139665000
58257700,758384180700,2951496402700,2193112222000,5224032119100,200674800,142417100,43486573649.6,39842980124,100053895917.4,6239306.6,2869669.4,2540826.4,328843,3643593525.6,3.4,1205400,-869700,-12380338500,"2022-12-16T10:52:00.000Z",1671187920000,2075100,3283200,349409200,2700,50993012900,19257504700,31637843200,97665000
