┌─────────┬───────┬────────┬────────┬───────┬───────┬───────┬─────┬─────────┬───────────┬─────────┬──────────┬──────────┬───────────────┬────────────────────────────┬─────┬─────┬─────┬──────────┬──────────┬─────┬─────┬─────┬─────┬───────┬───────────┬────────────┬────────────┬───────────┬───────────────┬─────────────┬─────────────┬───────┬──────┬──────────┬─────┬──────┬──────────┬─────┐
│ (index) │   c   │ change │  pct   │   h   │   l   │   o   │ uk  │ val_uk  │ total_vol │ sum_vol │   val    │ acum_val │   datetime    │            date            │ pbu │ psd │ puk │    bs    │    sb    │ abu │ asd │ auk │ ruk │ bu-sd │ bu-sd_val │ avg_val_bu │ avg_val_sd │ acum_busd │ acum_busd_val │ acum_val_bu │ acum_val_sd │ rbusd │  sd  │  val_sd  │ rsd │  bu  │  val_bu  │ rbu │
├─────────┼───────┼────────┼────────┼───────┼───────┼───────┼─────┼─────────┼───────────┼─────────┼──────────┼──────────┼───────────────┼────────────────────────────┼─────┼─────┼─────┼──────────┼──────────┼─────┼─────┼─────┼─────┼───────┼───────────┼────────────┼────────────┼───────────┼───────────────┼─────────────┼─────────────┼───────┼──────┼──────────┼─────┼──────┼──────────┼─────┤
│    0    │ 18000 │  2100  │  13.2  │ 18000 │ 18000 │ 18000 │ 100 │ 1800000 │    100    │   100   │ 1800000  │ 1800000  │ 1679994000000 │ '2023-03-28T09:00:00.000Z' │  0  │  0  │ 100 │   NaN    │   NaN    │ 250 │ 250 │ 8.3 │ 12  │   0   │     0     │ 3523333.3  │ 3410833.3  │     0     │       0       │      0      │      0      │   0   │      │          │     │      │          │     │
│    1    │ 13700 │ -2200  │ -13.84 │ 13700 │ 13700 │ 13700 │     │         │    200    │   100   │ 1370000  │ 3170000  │ 1679994300000 │ '2023-03-28T09:05:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 250 │ 250 │ 8.3 │     │ -100  │ -1370000  │ 3523333.3  │ 3410833.3  │   -100    │   -1370000    │      0      │   1370000   │ -12.2 │ 100  │ 1370000  │ 0.4 │      │          │     │
│    2    │ 16000 │  100   │  0.62  │ 16000 │ 16000 │ 16000 │     │         │    600    │   400   │ 6400000  │ 9570000  │ 1679995200000 │ '2023-03-28T09:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 250 │ 250 │ 8.3 │     │  400  │  6400000  │ 3523333.3  │ 3410833.3  │    300    │    5030000    │   6400000   │   1370000   │ 56.9  │      │          │     │ 400  │ 6400000  │ 1.6 │
│    3    │ 13600 │ -2300  │ -14.47 │ 13600 │ 13600 │ 13600 │     │         │    800    │   200   │ 2720000  │ 12290000 │ 1679996700000 │ '2023-03-28T09:45:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 250 │ 250 │ 8.3 │     │ -200  │ -2720000  │ 3523333.3  │ 3410833.3  │    100    │    2310000    │   6400000   │   4090000   │ -24.2 │ 200  │ 2720000  │ 0.8 │      │          │     │
│    4    │ 13600 │ -2300  │ -14.47 │ 13600 │ 13600 │ 13600 │     │         │   3000    │  2200   │ 29920000 │ 42210000 │ 1679998500000 │ '2023-03-28T10:15:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 250 │ 250 │ 8.3 │     │ -2200 │ -29920000 │ 3523333.3  │ 3410833.3  │   -2100   │   -27610000   │   6400000   │  34010000   │ -266  │ 2200 │ 29920000 │ 8.8 │      │          │     │
│    5    │ 13600 │ -2300  │ -14.47 │ 13600 │ 13600 │ 13600 │     │         │   4000    │  1000   │ 13600000 │ 55810000 │ 1679998800000 │ '2023-03-28T10:20:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 250 │ 250 │ 8.3 │     │ 1000  │ 13600000  │ 3523333.3  │ 3410833.3  │   -1100   │   -14010000   │  20000000   │  34010000   │ 120.9 │      │          │     │ 1000 │ 13600000 │  4  │
│    6    │ 13600 │ -2300  │ -14.47 │ 13600 │ 13600 │ 13600 │     │         │   5300    │  1300   │ 17680000 │ 73490000 │ 1679999100000 │ '2023-03-28T10:25:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 250 │ 250 │ 8.3 │     │ 1300  │ 17680000  │ 3523333.3  │ 3410833.3  │    200    │    3670000    │  37680000   │  34010000   │ 157.2 │      │          │     │ 1300 │ 17680000 │ 5.2 │
│    7    │ 13800 │ -2100  │ -13.21 │ 13800 │ 13800 │ 13800 │     │         │   5400    │   100   │ 1380000  │ 74870000 │ 1680008400000 │ '2023-03-28T13:00:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 250 │ 250 │ 8.3 │     │ -100  │ -1380000  │ 3523333.3  │ 3410833.3  │    100    │    2290000    │  37680000   │  35390000   │ -12.3 │ 100  │ 1380000  │ 0.4 │      │          │     │
│    8    │ 14000 │ -1900  │ -11.95 │ 14000 │ 14000 │ 14000 │     │         │   5500    │   100   │ 1400000  │ 76270000 │ 1680010500000 │ '2023-03-28T13:35:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 250 │ 250 │ 8.3 │     │ -100  │ -1400000  │ 3523333.3  │ 3410833.3  │     0     │    890000     │  37680000   │  36790000   │ -12.4 │ 100  │ 1400000  │ 0.4 │      │          │     │
│    9    │ 14200 │ -1700  │ -10.7  │ 14200 │ 14200 │ 14200 │     │         │   5600    │   100   │ 1420000  │ 77690000 │ 1680010800000 │ '2023-03-28T13:40:00.000Z' │ 100 │  0  │  0  │ Infinity │    0     │ 250 │ 250 │ 8.3 │     │  100  │  1420000  │ 3523333.3  │ 3410833.3  │    100    │    2310000    │  39100000   │  36790000   │ 12.6  │      │          │     │ 100  │ 1420000  │ 0.4 │
│   10    │ 13800 │ -2100  │ -13.21 │ 13800 │ 13800 │ 13800 │     │         │   5900    │   300   │ 4140000  │ 81830000 │ 1680013800000 │ '2023-03-28T14:30:00.000Z' │  0  │ 100 │  0  │    0     │ Infinity │ 250 │ 250 │ 8.3 │     │ -300  │ -4140000  │ 3523333.3  │ 3410833.3  │   -200    │   -1830000    │  39100000   │  40930000   │ -36.8 │ 300  │ 4140000  │ 1.2 │      │          │     │
